Regions-ID	Regionsname	Anteil der Steuerbelastung* am Bruttoarbeitseinkommen in %
1	Aeugst am Albis	8.43982
2	Affoltern am Albis	9.3082333333
3	Bonstetten	8.67666
4	Hausen am Albis	8.8740266667
5	Hedingen	8.79508
6	Kappel am Albis	8.9924466667
7	Knonau	9.3477066667
8	Maschwanden	9.3477066667
9	Mettmenstetten	8.3214
10	Obfelden	9.2292866667
11	Ottenbach	9.1108666667
12	Rifferswil	8.9924466667
13	Stallikon	7.9266666667
14	Wettswil am Albis	7.5319333333
21	Adlikon	8.9135
22	Benken (ZH)	9.2292866667
23	Berg am Irchel	9.03192
24	Buch am Irchel	9.1898133333
25	Dachsen	8.9135
26	Dorf	9.1108666667
27	Feuerthalen	9.26876
28	Flaach	8.9924466667
29	Flurlingen	9.03192
30	Andelfingen	8.6371866667
31	Henggart	8.8740266667
32	Humlikon	9.26876
33	Kleinandelfingen	8.8740266667
34	Laufen-Uhwiesen	8.9924466667
35	Marthalen	9.1108666667
36	Oberstammheim	9.3477066667
37	Ossingen	9.3477066667
38	Rheinau	9.3477066667
39	Thalheim an der Thur	9.03192
40	Trüllikon	8.9529733333
41	Truttikon	8.9924466667
42	Unterstammheim	9.3477066667
43	Volken	9.3477066667
44	Waltalingen	9.3477066667
51	Bachenbülach	8.3608733333
52	Bassersdorf	8.2819266667
53	Bülach	9.1108666667
54	Dietlikon	8.20298
55	Eglisau	9.3477066667
56	Embrach	9.03192
57	Freienstein-Teufen	8.9529733333
58	Glattfelden	9.0713933333
59	Hochfelden	8.8345533333
60	Höri	9.0713933333
61	Hüntwangen	8.9529733333
62	Kloten	8.7161333333
63	Lufingen	8.0450866667
64	Nürensdorf	8.0056133333
65	Oberembrach	9.0713933333
66	Opfikon	8.5187666667
67	Rafz	9.15034
68	Rorbas	8.9529733333
69	Wallisellen	8.1635066667
70	Wasterkingen	9.2292866667
71	Wil (ZH)	8.9529733333
72	Winkel	7.4135133333
81	Bachs	9.3477066667
82	Boppelsen	8.0056133333
83	Buchs (ZH)	8.9135
84	Dällikon	8.7556066667
85	Dänikon	8.8345533333
86	Dielsdorf	8.67666
87	Hüttikon	8.9529733333
88	Neerach	7.25562
89	Niederglatt	8.8740266667
90	Niederhasli	9.2292866667
91	Niederweningen	8.79508
92	Oberglatt	9.26876
93	Oberweningen	8.8740266667
94	Otelfingen	8.7556066667
95	Regensberg	8.6371866667
96	Regensdorf	8.5977133333
97	Rümlang	8.7556066667
98	Schleinikon	9.1898133333
99	Schöfflisdorf	8.8345533333
100	Stadel	8.9529733333
101	Steinmaur	8.8740266667
102	Weiach	7.84772
111	Bäretswil	9.1898133333
112	Bubikon	8.8345533333
113	Dürnten	9.2292866667
114	Fischenthal	9.3477066667
115	Gossau (ZH)	9.2292866667
116	Grüningen	8.9529733333
117	Hinwil	8.8345533333
118	Rüti (ZH)	9.26876
119	Seegräben	9.1108666667
120	Wald (ZH)	9.3477066667
121	Wetzikon (ZH)	9.1108666667
131	Adliswil	8.79508
132	Hirzel	8.9924466667
133	Horgen	7.9266666667
134	Hütten	9.3477066667
135	Kilchberg (ZH)	7.49246
136	Langnau am Albis	8.3214
137	Oberrieden	7.7293
138	Richterswil	8.55824
139	Rüschlikon	7.5714066667
140	Schönenberg (ZH)	8.9529733333
141	Thalwil	7.5319333333
142	Wädenswil	8.79508
151	Erlenbach (ZH)	7.61088
152	Herrliberg	7.4529866667
153	Hombrechtikon	9.15034
154	Küsnacht (ZH)	7.25562
155	Männedorf	8.0056133333
156	Meilen	7.5714066667
157	Oetwil am See	9.3477066667
158	Stäfa	7.5714066667
159	Uetikon am See	8.0056133333
160	Zumikon	7.2161466667
161	Zollikon	7.37404
171	Bauma	9.3477066667
172	Fehraltorf	8.8345533333
173	Hittnau	9.3477066667
174	Illnau-Effretikon	9.03192
175	Kyburg	9.3477066667
176	Lindau	8.9135
177	Pfäffikon	8.9924466667
178	Russikon	9.03192
179	Sternenberg	9.3477066667
180	Weisslingen	8.8740266667
181	Wila	9.3477066667
182	Wildberg	9.3477066667
191	Dübendorf	8.8345533333
192	Egg	8.2424533333
193	Fällanden	8.0450866667
194	Greifensee	8.4792933333
195	Maur	7.5714066667
196	Mönchaltorf	9.0713933333
197	Schwerzenbach	7.9266666667
198	Uster	8.79508
199	Volketswil	8.0450866667
200	Wangen-Brüttisellen	8.55824
211	Altikon	8.9529733333
212	Bertschikon	8.9924466667
213	Brütten	8.0056133333
214	Dägerlen	9.1898133333
215	Dättlikon	9.03192
216	Dinhard	8.5977133333
217	Elgg	9.2292866667
218	Ellikon an der Thur	8.9924466667
219	Elsau	9.1108666667
220	Hagenbuch	8.9529733333
221	Hettlingen	8.55824
222	Hofstetten (ZH)	9.3477066667
223	Neftenbach	8.3214
224	Pfungen	8.8345533333
225	Rickenbach (ZH)	8.9135
226	Schlatt (ZH)	9.3477066667
227	Seuzach	8.3214
228	Turbenthal	9.3477066667
229	Wiesendangen	8.2819266667
230	Winterthur	9.3477066667
231	Zell (ZH)	9.3477066667
241	Aesch (ZH)	7.7687733333
242	Birmensdorf (ZH)	8.7556066667
243	Dietikon	9.3082333333
244	Geroldswil	8.1635066667
245	Oberengstringen	8.9135
246	Oetwil an der Limmat	7.96614
247	Schlieren	9.15034
248	Uitikon	7.2950933333
249	Unterengstringen	8.1635066667
250	Urdorf	8.9924466667
251	Weiningen (ZH)	8.4003466667
261	Zürich	9.1354
301	Aarberg	12.5101736
302	Bargen (BE)	12.922768
303	Grossaffoltern	12.9331477333
304	Kallnach	12.7437176
305	Kappelen	12.5101736
306	Lyss	12.8293504
307	Meikirch	12.4141610667
308	Niederried bei Kallnach	12.9513122667
309	Radelfingen	12.922768
310	Rapperswil (BE)	12.8591921333
311	Schüpfen	12.8527048
312	Seedorf (BE)	12.9928312
321	Aarwangen	11.7654277333
