Regions-ID	Regionsname	Einwohnerzahl am Jahresende
2	Affoltern am Albis	11160
3	Bonstetten	5173
4	Hausen am Albis	3356
5	Hedingen	3469
6	Kappel am Albis	956
7	Knonau	1894
8	Maschwanden	641
9	Mettmenstetten	4377
10	Obfelden	4761
11	Ottenbach	2459
12	Rifferswil	933
13	Stallikon	3275
14	Wettswil am Albis	4594
21	Adlikon	577
22	Benken (ZH)	819
23	Berg am Irchel	586
24	Buch am Irchel	894
25	Dachsen	1956
26	Dorf	633
27	Feuerthalen	3474
28	Flaach	1249
29	Flurlingen	1429
30	Andelfingen	1988
31	Henggart	2242
32	Humlikon	476
33	Kleinandelfingen	2028
34	Laufen-Uhwiesen	1530
35	Marthalen	1978
36	Oberstammheim	1105
37	Ossingen	1350
38	Rheinau	1319
39	Thalheim an der Thur	877
40	Trüllikon	993
41	Truttikon	467
42	Unterstammheim	883
43	Volken	307
44	Waltalingen	687
51	Bachenbülach	3995
52	Bassersdorf	11170
53	Bülach	17503
54	Dietlikon	7105
55	Eglisau	4501
56	Embrach	8925
57	Freienstein-Teufen	2279
58	Glattfelden	4474
59	Hochfelden	2010
60	Höri	2450
61	Hüntwangen	959
62	Kloten	18210
63	Lufingen	1828
64	Nürensdorf	5234
65	Oberembrach	1007
66	Opfikon	15995
67	Rafz	4061
68	Rorbas	2479
69	Wallisellen	14075
70	Wasterkingen	547
71	Wil (ZH)	1297
72	Winkel	3909
81	Bachs	563
82	Boppelsen	1291
83	Buchs (ZH)	5695
84	Dällikon	3652
85	Dänikon	1913
86	Dielsdorf	5770
87	Hüttikon	666
88	Neerach	3020
89	Niederglatt	4554
90	Niederhasli	8613
91	Niederweningen	2758
92	Oberglatt	5981
93	Oberweningen	1739
94	Otelfingen	2616
95	Regensberg	498
96	Regensdorf	16849
97	Rümlang	6935
98	Schleinikon	722
99	Schöfflisdorf	1355
100	Stadel	1980
101	Steinmaur	3233
102	Weiach	1029
111	Bäretswil	4878
112	Bubikon	6776
113	Dürnten	7054
114	Fischenthal	2331
115	Gossau (ZH)	9665
116	Grüningen	3188
117	Hinwil	10559
118	Rüti (ZH)	11819
119	Seegräben	1293
120	Wald (ZH)	9223
121	Wetzikon (ZH)	22669
131	Adliswil	17518
132	Hirzel	2101
133	Horgen	19095
134	Hütten	911
135	Kilchberg (ZH)	7570
136	Langnau am Albis	7218
137	Oberrieden	4971
138	Richterswil	12583
139	Rüschlikon	5392
140	Schönenberg (ZH)	1895
141	Thalwil	17286
142	Wädenswil	20870
151	Erlenbach (ZH)	5265
152	Herrliberg	6130
153	Hombrechtikon	8096
154	Küsnacht (ZH)	13524
155	Männedorf	10441
156	Meilen	12705
157	Oetwil am See	4506
158	Stäfa	13886
159	Uetikon am See	5845
160	Zumikon	5148
161	Zollikon	12103
171	Bauma	4206
172	Fehraltorf	5896
173	Hittnau	3470
174	Illnau-Effretikon	15965
175	Kyburg	427
176	Lindau	5079
177	Pfäffikon	10824
178	Russikon	4130
179	Sternenberg	349
180	Weisslingen	3204
181	Wila	1911
182	Wildberg	987
191	Dübendorf	25074
192	Egg	8221
193	Fällanden	8071
194	Greifensee	5126
195	Maur	9556
196	Mönchaltorf	3442
197	Schwerzenbach	4529
198	Uster	32577
199	Volketswil	17604
200	Wangen-Brüttisellen	7582
211	Altikon	621
212	Bertschikon	1049
213	Brütten	1938
214	Dägerlen	994
215	Dättlikon	747
216	Dinhard	1421
217	Elgg	4009
218	Ellikon an der Thur	887
219	Elsau	3364
220	Hagenbuch	1092
221	Hettlingen	2999
222	Hofstetten (ZH)	472
223	Neftenbach	5312
224	Pfungen	3310
225	Rickenbach (ZH)	2539
226	Schlatt (ZH)	737
227	Seuzach	7071
228	Turbenthal	4272
229	Wiesendangen	4875
230	Winterthur	103075
231	Zell (ZH)	5437
241	Aesch (ZH)	1088
242	Birmensdorf (ZH)	5927
243	Dietikon	24183
244	Geroldswil	4704
245	Oberengstringen	6393
246	Oetwil an der Limmat	2333
247	Schlieren	16739
248	Uitikon	3944
249	Unterengstringen	3359
250	Urdorf	9259
251	Weiningen (ZH)	4262
261	Zürich	376990
301	Aarberg	4085
302	Bargen (BE)	993
303	Grossaffoltern	2778
304	Kallnach	1563
305	Kappelen	1288
306	Lyss	13929
307	Meikirch	2372
308	Niederried bei Kallnach	295
309	Radelfingen	1187
310	Rapperswil (BE)	2130
311	Schüpfen	3518
312	Seedorf (BE)	2971
321	Aarwangen	4196
322	Auswil	454
323	Bannwil	674
324	Bleienbach	659
325	Busswil bei Melchnau	204
326	Gondiswil	725
329	Langenthal	15091
331	Lotzwil	2475
332	Madiswil	3130
333	Melchnau	1523
334	Obersteckholz	428
335	Oeschenbach	240
336	Reisiswil	186
337	Roggwil (BE)	3862
338	Rohrbach	1423
339	Rohrbachgraben	415
340	Rütschelen	561
341	Schwarzhäusern	487
342	Thunstetten	3074
344	Ursenbach	901
345	Wynau	1515
351	Bern	125681
352	Bolligen	6035
353	Bremgarten bei Bern	4224
354	Kirchlindach	2822
355	Köniz	38936
356	Muri bei Bern	12686
357	Oberbalm	868
358	Stettlen	2890
359	Vechigen	4691
360	Wohlen bei Bern	8897
361	Zollikofen	9796
362	Ittigen	10961
363	Ostermundigen	15702
371	Biel/Bienne	51635
372	Evilard	2445
381	Arch	1530
382	Büetigen	794
383	Büren an der Aare	3314
385	Diessbach bei Büren	894
386	Dotzigen	1375
387	Lengnau (BE)	4604
388	Leuzigen	1191
389	Meienried	55
390	Meinisberg	1296
391	Oberwil bei Büren	822
392	Pieterlen	3688
393	Rüti bei Büren	809
394	Wengi	615
401	Aefligen	1042
402	Alchenstorf	567
403	Bäriswil	1021
404	Burgdorf	15584
405	Ersigen	1613
406	Hasle bei Burgdorf	3184
407	Heimiswil	1610
408	Hellsau	193
409	Hindelbank	2070
410	Höchstetten	258
411	Kernenried	445
412	Kirchberg (BE)	5602
413	Koppigen	2052
414	Krauchthal	2323
415	Lyssach	1424
416	Mötschwil	139
417	Niederösch	242
418	Oberburg	2931
419	Oberösch	109
420	Rüdtligen-Alchenflüh	2235
421	Rumendingen	86
422	Rüti bei Lyssach	158
423	Willadingen	199
424	Wynigen	2012
431	Corgémont	1561
432	Cormoret	488
433	Cortébert	703
434	Courtelary	1287
435	La Ferrière	550
436	La Heutte	485
437	Mont-Tramelan	120
438	Orvin	1189
439	Péry	1358
440	Plagne	364
441	Renan (BE)	839
442	Romont (BE)	210
443	Saint-Imier	4817
444	Sonceboz-Sombeval	1800
445	Sonvilier	1193
446	Tramelan	4258
447	Vauffelin	427
448	Villeret	890
491	Brüttelen	559
492	Erlach	1294
493	Finsterhennen	490
494	Gals	725
495	Gampelen	799
496	Ins	3274
497	Lüscherz	526
498	Müntschemier	1291
499	Siselen	588
500	Treiten	434
501	Tschugg	448
502	Vinelz	826
532	Bangerten	159
533	Bätterkinden	3162
534	Büren zum Hof	467
535	Deisswil bei Münchenbuchsee	96
536	Diemerswil	195
537	Etzelkofen	291
538	Fraubrunnen	1804
539	Grafenried	980
540	Jegenstorf	4737
541	Iffwil	415
542	Limpach	354
543	Mattstetten	582
544	Moosseedorf	3610
545	Mülchi	233
546	Münchenbuchsee	9780
547	Münchringen	596
548	Ruppoldsried	259
549	Schalunen	359
550	Scheunen	82
551	Urtenen-Schönbühl	5741
552	Utzenstorf	4106
553	Wiggiswil	99
554	Wiler bei Utzenstorf	827
555	Zauggenried	308
556	Zielebach	328
557	Zuzwil (BE)	576
561	Adelboden	3515
562	Aeschi bei Spiez	2069
563	Frutigen	6712
564	Kandergrund	807
565	Kandersteg	1220
566	Krattigen	1008
567	Reichenbach im Kandertal	3449
571	Beatenberg	1139
572	Bönigen	2446
573	Brienz (BE)	2973
574	Brienzwiler	513
575	Därligen	417
576	Grindelwald	3796
577	Gsteigwiler	420
578	Gündlischwand	290
579	Habkern	632
580	Hofstetten bei Brienz	555
581	Interlaken	5468
582	Iseltwald	424
584	Lauterbrunnen	2509
585	Leissigen	948
586	Lütschental	240
587	Matten bei Interlaken	3757
588	Niederried bei Interlaken	345
589	Oberried am Brienzersee	468
590	Ringgenberg (BE)	2627
591	Saxeten	101
592	Schwanden bei Brienz	593
593	Unterseen	5505
594	Wilderswil	2535
602	Arni (BE)	934
603	Biglen	1744
604	Bleiken bei Oberdiessbach	391
605	Bowil	1360
606	Brenzikofen	519
607	Freimettigen	434
608	Grosshöchstetten	3233
609	Häutligen	239
610	Herbligen	555
611	Kiesen	870
612	Konolfingen	4792
613	Landiswil	632
614	Linden	1314
615	Mirchel	595
616	Münsingen	10842
617	Niederhünigen	633
619	Oberdiessbach	3101
620	Oberthal	774
622	Oppligen	668
623	Rubigen	2862
624	Schlosswil	645
625	Tägertschi	414
626	Walkringen	1817
627	Worb	11266
628	Zäziwil	1634
629	Oberhünigen	325
630	Allmendingen	519
631	Trimstein	513
632	Wichtrach	4017
661	Clavaleyres	46
662	Ferenbalm	1252
663	Frauenkappelen	1246
664	Golaten	290
665	Gurbrü	244
666	Kriechenwil	414
667	Laupen	2775
668	Mühleberg	2719
669	Münchenwiler	470
670	Neuenegg	4885
671	Wileroltigen	391
681	Belprahon	303
682	Bévilard	1674
683	Champoz	157
684	Châtelat	111
687	Corcelles (BE)	214
690	Court	1382
691	Crémines	548
692	Eschert	372
694	Grandval	340
696	Loveresse	315
697	Malleray	1970
699	Monible	37
700	Moutier	7480
701	Perrefitte	464
702	Pontenet	216
703	Reconvilier	2187
704	Roches (BE)	212
706	Saicourt	603
707	Saules (BE)	153
708	Schelten	39
709	Seehof	70
710	Sornetan	129
711	Sorvilier	266
712	Souboz	134
713	Tavannes	3525
715	Rebévelier	46
721	Diesse	436
722	Lamboing	680
723	La Neuveville	3552
724	Nods	734
725	Prêles	908
731	Aegerten	1729
732	Bellmund	1528
733	Brügg	4232
734	Bühl	416
735	Epsach	336
736	Hagneck	417
737	Hermrigen	256
738	Jens	667
739	Ipsach	3898
740	Ligerz	519
741	Merzligen	410
742	Mörigen	886
743	Nidau	6810
744	Orpund	2628
745	Port	3243
746	Safnern	1873
747	Scheuren	444
748	Schwadernau	649
749	Studen (BE)	2833
750	Sutz-Lattrigen	1352
751	Täuffelen	2613
754	Walperswil	923
755	Worben	2283
756	Twann-Tüscherz	1118
761	Därstetten	822
762	Diemtigen	2138
763	Erlenbach im Simmental	1689
764	Niederstocken	258
765	Oberstocken	277
766	Oberwil im Simmental	794
767	Reutigen	962
768	Spiez	12417
769	Wimmis	2463
781	Gadmen	228
782	Guttannen	300
783	Hasliberg	1236
784	Innertkirchen	837
785	Meiringen	4602
786	Schattenhalb	577
791	Boltigen	1367
792	Lenk	2450
793	St. Stephan	1366
794	Zweisimmen	2947
841	Gsteig	970
842	Lauenen	806
843	Saanen	6920
852	Guggisberg	1538
853	Rüschegg	1655
855	Schwarzenburg	6718
861	Belp	10551
862	Belpberg	423
863	Burgistein	1021
865	Gelterfingen	243
866	Gerzensee	1140
867	Gurzelen	822
868	Jaberg	258
869	Kaufdorf	1029
870	Kehrsatz	4079
871	Kienersrüti	52
872	Kirchdorf (BE)	823
873	Kirchenthurnen	271
874	Lohnstorf	223
875	Mühledorf (BE)	250
876	Mühlethurnen	1383
877	Niedermuhlern	477
878	Noflen	266
879	Riggisberg	2403
880	Rüeggisberg	1838
881	Rümligen	446
883	Seftigen	2137
884	Toffen	2444
885	Uttigen	1846
886	Wattenwil	2708
888	Wald (BE)	1187
901	Eggiwil	2448
902	Langnau im Emmental	9085
903	Lauperswil	2674
904	Röthenbach im Emmental	1258
905	Rüderswil	2380
906	Schangnau	917
907	Signau	2759
908	Trub	1373
909	Trubschachen	1387
921	Amsoldingen	807
922	Blumenstein	1199
923	Buchholterberg	1550
924	Eriz	488
925	Fahrni	761
927	Heiligenschwendi	678
928	Heimberg	6461
929	Hilterfingen	3984
930	Höfen	444
931	Homberg	497
932	Horrenbach-Buchen	260
934	Oberhofen am Thunersee	2368
935	Oberlangenegg	485
936	Pohlern	273
937	Schwendibach	248
938	Sigriswil	4665
939	Steffisburg	15401
940	Teuffenthal (BE)	164
941	Thierachern	2285
942	Thun	42764
943	Uebeschi	682
944	Uetendorf	5944
945	Unterlangenegg	899
946	Wachseldorn	228
947	Zwieselberg	285
948	Forst-Längenbühl	744
951	Affoltern im Emmental	1144
952	Dürrenroth	1060
953	Eriswil	1348
954	Huttwil	4689
955	Lützelflüh	4024
956	Rüegsau	3081
957	Sumiswald	5034
958	Trachselwald	1012
959	Walterswil (BE)	537
960	Wyssachen	1172
971	Attiswil	1301
972	Berken	46
973	Bettenhausen	680
975	Farnern	206
976	Graben	304
977	Heimenhausen	1012
978	Hermiswil	96
979	Herzogenbuchsee	6860
980	Inkwil	636
981	Niederbipp	4195
982	Niederönz	1558
983	Oberbipp	1590
985	Ochlenberg	583
987	Rumisberg	471
988	Seeberg	1400
989	Thörigen	1034
990	Walliswil bei Niederbipp	201
991	Walliswil bei Wangen	568
992	Wangen an der Aare	2122
993	Wangenried	407
995	Wiedlisbach	2179
996	Wolfisberg	193
1001	Doppleschwand	737
1002	Entlebuch	3298
1003	Escholzmatt	3138
1004	Flühli	1898
1005	Hasle (LU)	1752
