Regions-ID	Regionsname	Anteil der Steuerbelastung* am Bruttoarbeitseinkommen in %
1	Aeugst am Albis	8.229488
2	Affoltern am Albis	9.27773
3	Bonstetten	8.504308
4	Hausen am Albis	8.881204
5	Hedingen	8.539642
6	Kappel am Albis	8.892982
7	Knonau	9.281656
8	Maschwanden	9.281656
9	Mettmenstetten	8.2766
10	Obfelden	9.230618
11	Ottenbach	8.849796
12	Rifferswil	8.892982
13	Stallikon	7.919334
14	Wettswil am Albis	7.573846
21	Adlikon	8.971502
22	Benken (ZH)	9.152098
23	Berg am Irchel	8.936168
24	Buch am Irchel	9.02254
25	Dachsen	8.88513
26	Dorf	9.02254
27	Feuerthalen	9.104986
28	Flaach	8.892982
29	Flurlingen	9.014688
30	Andelfingen	8.6692
31	Henggart	8.841944
32	Humlikon	9.273804
33	Kleinandelfingen	8.841944
34	Laufen-Uhwiesen	8.971502
35	Marthalen	9.02254
36	Oberstammheim	9.281656
37	Ossingen	9.281656
38	Rheinau	9.281656
39	Thalheim an der Thur	8.892982
40	Trüllikon	8.849796
41	Truttikon	8.892982
42	Unterstammheim	9.281656
43	Volken	9.281656
44	Waltalingen	9.281656
51	Bachenbülach	8.31586
52	Bassersdorf	8.488604
53	Bülach	9.050022
54	Dietlikon	8.107782
55	Eglisau	9.281656
56	Embrach	9.093208
57	Freienstein-Teufen	8.849796
58	Glattfelden	8.979354
59	Hochfelden	8.834092
60	Höri	9.093208
61	Hüntwangen	8.849796
62	Kloten	8.53179
63	Lufingen	7.856518
64	Nürensdorf	7.970372
65	Oberembrach	9.136394
66	Opfikon	8.2766
67	Rafz	8.979354
68	Rorbas	8.849796
69	Wallisellen	8.182376
70	Wasterkingen	9.152098
71	Wil (ZH)	8.849796
72	Winkel	7.279396
81	Bachs	9.281656
82	Boppelsen	7.813332
83	Buchs (ZH)	8.959724
84	Dällikon	8.70846
85	Dänikon	8.838018
86	Dielsdorf	8.665274
87	Hüttikon	8.849796
88	Neerach	7.149838
89	Niederglatt	8.881204
90	Niederhasli	9.053948
91	Niederweningen	8.834092
92	Oberglatt	9.273804
93	Oberweningen	8.838018
94	Otelfingen	8.633866
95	Regensberg	8.504308
96	Regensdorf	8.822314
97	Rümlang	8.869426
98	Schleinikon	9.265952
99	Schöfflisdorf	8.838018
100	Stadel	8.849796
101	Steinmaur	8.920464
102	Weiach	8.017484
111	Bäretswil	8.979354
112	Bubikon	8.70846
113	Dürnten	9.152098
114	Fischenthal	9.281656
115	Gossau (ZH)	9.152098
116	Grüningen	8.889056
117	Hinwil	8.838018
118	Rüti (ZH)	9.108912
119	Seegräben	9.057874
120	Wald (ZH)	9.281656
121	Wetzikon (ZH)	9.02254
131	Adliswil	8.755572
132	Hirzel	9.010762
133	Horgen	7.884
134	Hütten	9.281656
135	Kilchberg (ZH)	7.448214
136	Langnau am Albis	8.190228
137	Oberrieden	7.542438
138	Richterswil	8.496456
139	Rüschlikon	7.405028
140	Schönenberg (ZH)	8.62994
141	Thalwil	7.45214
142	Wädenswil	8.539642
151	Erlenbach (ZH)	7.538512
152	Herrliberg	7.357916
153	Hombrechtikon	9.144246
154	Küsnacht (ZH)	7.306878
155	Männedorf	7.887926
156	Meilen	7.534586
157	Oetwil am See	9.273804
158	Stäfa	7.534586
159	Uetikon am See	7.92326
160	Zumikon	7.267618
161	Zollikon	7.397176
171	Bauma	9.281656
172	Fehraltorf	8.633866
173	Hittnau	9.281656
174	Illnau-Effretikon	8.975428
175	Kyburg	9.281656
176	Lindau	8.96365
177	Pfäffikon	8.928316
178	Russikon	9.014688
179	Sternenberg	9.281656
180	Weisslingen	8.586754
181	Wila	9.281656
182	Wildberg	9.281656
191	Dübendorf	8.798758
192	Egg	8.103856
193	Fällanden	8.013558
194	Greifensee	8.449344
195	Maur	7.534586
196	Mönchaltorf	9.018614
197	Schwerzenbach	7.96252
198	Uster	8.834092
199	Volketswil	8.092078
200	Wangen-Brüttisellen	8.535716
211	Altikon	8.849796
212	Bertschikon	8.892982
213	Brütten	7.852592
214	Dägerlen	9.108912
215	Dättlikon	8.936168
216	Dinhard	8.461122
217	Elgg	9.152098
218	Ellikon an der Thur	8.849796
219	Elsau	8.936168
220	Hagenbuch	8.849796
221	Hettlingen	8.457196
222	Hofstetten (ZH)	9.281656
223	Neftenbach	8.154894
224	Pfungen	8.838018
225	Rickenbach (ZH)	8.84587
226	Schlatt (ZH)	9.281656
227	Seuzach	8.186302
228	Turbenthal	9.281656
229	Wiesendangen	8.194154
230	Winterthur	9.27773
231	Zell (ZH)	9.281656
241	Aesch (ZH)	7.758368
242	Birmensdorf (ZH)	8.751646
243	Dietikon	9.27773
244	Geroldswil	8.103856
245	Oberengstringen	8.84587
246	Oetwil an der Limmat	7.887926
247	Schlieren	9.144246
248	Uitikon	7.310804
249	Unterengstringen	8.017484
250	Urdorf	9.089282
251	Weiningen (ZH)	8.2766
261	Zürich	9.1650666667
301	Aarberg	12.1958444
302	Bargen (BE)	12.598072
303	Grossaffoltern	12.6081909333
304	Kallnach	12.4235204
305	Kappelen	12.1958444
306	Lyss	12.4209906667
307	Meikirch	12.1022442667
308	Niederried bei Kallnach	12.6258990667
309	Radelfingen	12.598072
310	Rapperswil (BE)	12.5360935333
311	Schüpfen	12.5297692
312	Seedorf (BE)	12.6663748
321	Aarwangen	11.4698109333
322	Auswil	12.3805149333
323	Bannwil	12.2540282667
324	Bleienbach	12.1174226667
325	Busswil bei Melchnau	12.2692066667
326	Gondiswil	12.8763426667
329	Langenthal	11.5811192
331	Lotzwil	11.9226332
332	Madiswil	11.7480816
333	Melchnau	12.370396
334	Obersteckholz	12.5297692
335	Oeschenbach	13.129316
336	Reisiswil	13.0028293333
337	Roggwil (BE)	11.7582005333
338	Rohrbach	12.2540282667
339	Rohrbachgraben	13.1141376
340	Rütschelen	12.1756065333
341	Schwarzhäusern	11.7227842667
342	Thunstetten	12.2287309333
344	Ursenbach	12.4715853333
345	Wynau	12.294504
351	Bern	12.1022442667
352	Bolligen	12.0010549333
353	Bremgarten bei Bern	11.8492709333
354	Kirchlindach	11.4951082667
355	Köniz	12.0415306667
356	Muri bei Bern	10.6501773333
357	Oberbalm	12.9522346667
358	Stettlen	11.9327521333
359	Vechigen	12.5651854667
360	Wohlen bei Bern	12.1313362
361	Zollikofen	11.7506113333
362	Ittigen	11.0903509333
363	Ostermundigen	12.3805149333
371	Biel/Bienne	12.1933146667
372	Evilard	11.5861786667
381	Arch	12.9269373333
382	Büetigen	11.7885573333
383	Büren an der Aare	12.484234
385	Diessbach bei Büren	13.053424
386	Dotzigen	13.1546133333
387	Lengnau (BE)	12.2249363333
388	Leuzigen	13.1040186667
389	Meienried	11.9365467333
390	Meinisberg	13.1546133333
391	Oberwil bei Büren	12.7625046667
392	Pieterlen	12.3956933333
393	Rüti bei Büren	13.7592196
394	Wengi	12.8662237333
401	Aefligen	11.4660163333
402	Alchenstorf	12.5942774
403	Bäriswil	12.1680173333
