Regions-ID	Regionsname	Anteil der Steuerbelastung* am Bruttoarbeitseinkommen in %
1	Aeugst am Albis	4.0404375
2	Affoltern am Albis	4.4515625
3	Bonstetten	4.1525625
4	Hausen am Albis	4.246
5	Hedingen	4.208625
6	Kappel am Albis	4.3020625
7	Knonau	4.47025
8	Maschwanden	4.47025
9	Mettmenstetten	3.984375
10	Obfelden	4.4141875
11	Ottenbach	4.358125
12	Rifferswil	4.3020625
13	Stallikon	3.7975
14	Wettswil am Albis	3.610625
21	Adlikon	4.2646875
22	Benken (ZH)	4.4141875
23	Berg am Irchel	4.32075
24	Buch am Irchel	4.3955
25	Dachsen	4.2646875
26	Dorf	4.358125
27	Feuerthalen	4.432875
28	Flaach	4.3020625
29	Flurlingen	4.32075
30	Andelfingen	4.133875
31	Henggart	4.246
32	Humlikon	4.432875
33	Kleinandelfingen	4.246
34	Laufen-Uhwiesen	4.3020625
35	Marthalen	4.358125
36	Oberstammheim	4.47025
37	Ossingen	4.47025
38	Rheinau	4.47025
39	Thalheim an der Thur	4.32075
40	Trüllikon	4.283375
41	Truttikon	4.3020625
42	Unterstammheim	4.47025
43	Volken	4.47025
44	Waltalingen	4.47025
51	Bachenbülach	4.0030625
52	Bassersdorf	3.9656875
53	Bülach	4.358125
54	Dietlikon	3.9283125
55	Eglisau	4.47025
56	Embrach	4.32075
57	Freienstein-Teufen	4.283375
58	Glattfelden	4.3394375
59	Hochfelden	4.2273125
60	Höri	4.3394375
61	Hüntwangen	4.283375
62	Kloten	4.17125
63	Lufingen	3.8535625
64	Nürensdorf	3.834875
65	Oberembrach	4.3394375
66	Opfikon	4.0778125
67	Rafz	4.3768125
68	Rorbas	4.283375
69	Wallisellen	3.909625
70	Wasterkingen	4.4141875
71	Wil (ZH)	4.283375
72	Winkel	3.5545625
81	Bachs	4.47025
82	Boppelsen	3.834875
83	Buchs (ZH)	4.2646875
84	Dällikon	4.1899375
85	Dänikon	4.2273125
86	Dielsdorf	4.1525625
87	Hüttikon	4.283375
88	Neerach	3.4798125
89	Niederglatt	4.246
90	Niederhasli	4.4141875
91	Niederweningen	4.208625
92	Oberglatt	4.432875
93	Oberweningen	4.246
94	Otelfingen	4.1899375
95	Regensberg	4.133875
96	Regensdorf	4.1151875
97	Rümlang	4.1899375
98	Schleinikon	4.3955
99	Schöfflisdorf	4.2273125
100	Stadel	4.283375
101	Steinmaur	4.246
102	Weiach	3.760125
111	Bäretswil	4.3955
112	Bubikon	4.2273125
113	Dürnten	4.4141875
114	Fischenthal	4.47025
115	Gossau (ZH)	4.4141875
116	Grüningen	4.283375
117	Hinwil	4.2273125
118	Rüti (ZH)	4.432875
119	Seegräben	4.358125
120	Wald (ZH)	4.47025
121	Wetzikon (ZH)	4.358125
131	Adliswil	4.208625
132	Hirzel	4.3020625
133	Horgen	3.7975
134	Hütten	4.47025
135	Kilchberg (ZH)	3.5919375
136	Langnau am Albis	3.984375
137	Oberrieden	3.7040625
138	Richterswil	4.0965
139	Rüschlikon	3.6293125
140	Schönenberg (ZH)	4.283375
141	Thalwil	3.610625
142	Wädenswil	4.208625
151	Erlenbach (ZH)	3.648
152	Herrliberg	3.57325
153	Hombrechtikon	4.3768125
154	Küsnacht (ZH)	3.4798125
155	Männedorf	3.834875
156	Meilen	3.6293125
157	Oetwil am See	4.47025
158	Stäfa	3.6293125
159	Uetikon am See	3.834875
160	Zumikon	3.461125
161	Zollikon	3.535875
171	Bauma	4.47025
172	Fehraltorf	4.2273125
173	Hittnau	4.47025
174	Illnau-Effretikon	4.32075
175	Kyburg	4.47025
176	Lindau	4.2646875
177	Pfäffikon	4.3020625
178	Russikon	4.32075
179	Sternenberg	4.47025
180	Weisslingen	4.246
181	Wila	4.47025
182	Wildberg	4.47025
191	Dübendorf	4.2273125
