Regions-ID	Regionsname	Zu- oder Abnahme in 24 Jahren in ha
1	Aeugst am Albis	21
2	Affoltern am Albis	94
3	Bonstetten	24
4	Hausen am Albis	33
5	Hedingen	44
6	Kappel am Albis	12
7	Knonau	19
8	Maschwanden	-5
9	Mettmenstetten	65
10	Obfelden	44
11	Ottenbach	20
12	Rifferswil	10
13	Stallikon	45
14	Wettswil am Albis	54
21	Adlikon	10
22	Benken (ZH)	6
23	Berg am Irchel	6
24	Buch am Irchel	10
25	Dachsen	17
26	Dorf	52
27	Feuerthalen	14
28	Flaach	11
29	Flurlingen	14
30	Andelfingen	18
31	Henggart	28
32	Humlikon	11
33	Kleinandelfingen	26
34	Laufen-Uhwiesen	10
35	Marthalen	34
36	Oberstammheim	2
37	Ossingen	18
38	Rheinau	16
39	Thalheim an der Thur	6
40	Trüllikon	15
41	Truttikon	2
42	Unterstammheim	11
43	Volken	2
44	Waltalingen	6
51	Bachenbülach	13
52	Bassersdorf	52
53	Bülach	78
54	Dietlikon	26
55	Eglisau	16
56	Embrach	41
57	Freienstein-Teufen	14
58	Glattfelden	37
59	Hochfelden	19
60	Höri	12
61	Hüntwangen	28
62	Kloten	161
63	Lufingen	22
64	Nürensdorf	40
65	Oberembrach	8
66	Opfikon	66
67	Rafz	34
68	Rorbas	22
69	Wallisellen	44
70	Wasterkingen	3
71	Wil (ZH)	12
72	Winkel	31
81	Bachs	6
82	Boppelsen	11
83	Buchs (ZH)	43
84	Dällikon	29
85	Dänikon	26
86	Dielsdorf	40
87	Hüttikon	11
88	Neerach	23
89	Niederglatt	17
90	Niederhasli	70
91	Niederweningen	31
92	Oberglatt	50
93	Oberweningen	14
94	Otelfingen	85
95	Regensberg	-2
96	Regensdorf	91
97	Rümlang	89
98	Schleinikon	6
99	Schöfflisdorf	7
100	Stadel	29
101	Steinmaur	20
102	Weiach	9
111	Bäretswil	31
112	Bubikon	66
113	Dürnten	26
114	Fischenthal	35
115	Gossau (ZH)	61
116	Grüningen	28
117	Hinwil	84
118	Rüti (ZH)	30
119	Seegräben	7
120	Wald (ZH)	39
121	Wetzikon (ZH)	91
131	Adliswil	44
132	Hirzel	21
133	Horgen	46
134	Hütten	11
135	Kilchberg (ZH)	18
136	Langnau am Albis	32
137	Oberrieden	19
138	Richterswil	67
