Regions-ID	Regionsname	Reineinkommen in Mio. Franken 	Reineinkommen pro Steuerpflichtigem/-r in Franken
1	Aeugst am Albis	99.2859	120639.0036452
2	Affoltern am Albis	389.6228	75449.806351665
3	Bonstetten	233.2153	93962.651087832
4	Hausen am Albis	141.9035	91906.411917099
5	Hedingen	150.4754	96458.58974359
6	Kappel am Albis	38.0549	91698.554216868
7	Knonau	69.2249	86100.621890547
8	Maschwanden	20.631	75021.818181818
9	Mettmenstetten	190.5601	95903.42224459
10	Obfelden	174.5082	82509.787234043
11	Ottenbach	100.2873	87358.275261324
12	Rifferswil	36.479	91886.649874055
13	Stallikon	159.7315	104810.69553806
14	Wettswil am Albis	252.8652	115253.05378304
21	Adlikon	23.6355	81221.649484536
22	Benken (ZH)	29.8433	79582.133333333
23	Berg am Irchel	25.7657	93016.967509025
24	Buch am Irchel	33.632	85795.918367347
25	Dachsen	76.2189	88833.216783217
26	Dorf	26.2998	96690.441176471
27	Feuerthalen	130.5758	76360.116959064
28	Flaach	45.7557	83495.802919708
29	Flurlingen	65.4758	95030.188679245
30	Andelfingen	77.2732	90483.840749415
31	Henggart	86.0468	84691.732283465
32	Humlikon	17.7444	87410.837438424
33	Kleinandelfingen	77.9365	82211.497890295
34	Laufen-Uhwiesen	65.6377	94036.819484241
35	Marthalen	70.693	76177.801724138
36	Oberstammheim	35.7269	72763.543788187
37	Ossingen	46.369	75274.350649351
38	Rheinau	46.7032	78757.504215852
39	Thalheim an der Thur	29.6523	80796.457765668
40	Trüllikon	34.8405	72888.075313807
41	Truttikon	14.5643	72100.495049505
42	Unterstammheim	30.5492	80817.989417989
43	Volken	11.3168	85733.333333333
44	Waltalingen	23.1668	78531.525423729
51	Bachenbülach	153.8245	85648.385300668
52	Bassersdorf	461.0377	86062.665671085
53	Bülach	657.8467	78483.261751372
54	Dietlikon	304.8678	85637.02247191
55	Eglisau	167.4232	88303.375527426
56	Embrach	321.3589	78437.612887479
57	Freienstein-Teufen	89.3187	83867.323943662
58	Glattfelden	150.3349	76312.131979695
59	Hochfelden	76.1384	84317.165005537
60	Höri	77.5634	71421.178637201
61	Hüntwangen	40.3498	94717.840375587
62	Kloten	684.1594	75924.913994007
63	Lufingen	78.8264	96719.509202454
64	Nürensdorf	266.5937	101598.20884146
65	Oberembrach	41.9713	86360.699588477
66	Opfikon	550.3087	74871.931972789
67	Rafz	146.1581	81425.125348189
68	Rorbas	81.0509	75466.387337058
69	Wallisellen	606.326	87962.570723923
70	Wasterkingen	20.4642	79318.604651163
71	Wil (ZH)	51.4804	84811.202635914
72	Winkel	231.4183	110885.62529947
81	Bachs	19.5895	76521.484375
82	Boppelsen	70.9068	118573.24414716
83	Buchs (ZH)	210.3738	82145.177664975
84	Dällikon	135.0348	79013.926272674
85	Dänikon	74.8299	89083.214285714
86	Dielsdorf	215.8886	79722.525849335
87	Hüttikon	29.627	90880.368098159
88	Neerach	183.4908	114969.17293233
89	Niederglatt	180.168	78848.140043764
90	Niederhasli	305.4172	76182.888500873
91	Niederweningen	101.4655	89396.916299559
92	Oberglatt	186.6686	69730.519237953
93	Oberweningen	67.9552	88946.596858639
94	Otelfingen	97.1169	87492.702702703
95	Regensberg	23.6739	100740
96	Regensdorf	614.064	79264.747644249
97	Rümlang	252.762	76041.516245487
98	Schleinikon	27.2904	82200
99	Schöfflisdorf	57.0822	86751.063829787
100	Stadel	77.8817	81296.137787056
101	Steinmaur	129.0306	82711.923076923
102	Weiach	39.2336	78782.329317269
111	Bäretswil	169.0584	76427.848101266
112	Bubikon	259.2465	85166.392904074
113	Dürnten	230.3261	75516.754098361
114	Fischenthal	67.9697	67097.433366239
115	Gossau (ZH)	382.3708	83651.45482389
116	Grüningen	120.4873	83671.736111111
117	Hinwil	393.6916	78190.983118173
118	Rüti (ZH)	397.1306	69562.200035032
119	Seegräben	52.0388	88652.129471891
120	Wald (ZH)	279.3702	68305.672371638
121	Wetzikon (ZH)	787.3033	74106.108810241
131	Adliswil	672.9251	84687.276617166
132	Hirzel	92.2057	97160.906217071
133	Horgen	897.8051	95939.848258175
134	Hütten	30.1471	77300.256410256
135	Kilchberg (ZH)	599.7737	150924.43381983
136	Langnau am Albis	358.7726	101348.1920904
137	Oberrieden	327.9442	128303.67762128
138	Richterswil	532.1212	90867.691256831
139	Rüschlikon	472.763	178199.39690916
140	Schönenberg (ZH)	87.7166	98779.954954955
141	Thalwil	989.5309	110106.92110827
142	Wädenswil	860.592	86465.588264845
151	Erlenbach (ZH)	473.6557	188182.63806118
152	Herrliberg	540.8657	187345.23727052
153	Hombrechtikon	312.4695	83749.530956848
154	Küsnacht (ZH)	1315.463	188840.51105369
155	Männedorf	522.9192	104709.49138967
156	Meilen	842.0125	132329.48294829
157	Oetwil am See	153.843	74935.703848027
158	Stäfa	720.894	105193.92966584
159	Uetikon am See	326.9206	121396.43520238
160	Zumikon	503.8156	203315.41565779
161	Zollikon	1035.3589	164082.23454834
171	Bauma	132.7914	71240.021459228
172	Fehraltorf	237.4754	83588.665962689
173	Hittnau	138.0697	86945.654911839
