Regions-ID	Regionsname	Reineinkommen in Mio. Franken	Reineinkommen pro Einwohner/-in in Franken
1	Aeugst am Albis	99.2859	55747.276810781
2	Affoltern am Albis	389.6228	35913.245460411
3	Bonstetten	233.2153	45505.424390244
4	Hausen am Albis	141.9035	42562.537492501
5	Hedingen	150.4754	44153.579812207
6	Kappel am Albis	38.0549	42142.746400886
7	Knonau	69.2249	39065.970654627
8	Maschwanden	20.631	34385
9	Mettmenstetten	190.5601	45479.737470167
10	Obfelden	174.5082	37512.510748065
11	Ottenbach	100.2873	41856.135225376
12	Rifferswil	36.479	41079.954954955
13	Stallikon	159.7315	51642.9033301
14	Wettswil am Albis	252.8652	56367.632634864
21	Adlikon	23.6355	40891.868512111
22	Benken (ZH)	29.8433	37920.330368488
23	Berg am Irchel	25.7657	43014.524207012
24	Buch am Irchel	33.632	39289.719626168
25	Dachsen	76.2189	39697.34375
26	Dorf	26.2998	41613.607594937
27	Feuerthalen	130.5758	37826.129779838
28	Flaach	45.7557	37321.125611745
29	Flurlingen	65.4758	46174.753173484
30	Andelfingen	77.2732	42318.291347207
31	Henggart	86.0468	39308.725445409
32	Humlikon	17.7444	38828.008752735
33	Kleinandelfingen	77.9365	37614.140926641
34	Laufen-Uhwiesen	65.6377	43382.485128883
35	Marthalen	70.693	36934.691745037
36	Oberstammheim	35.7269	33203.43866171
37	Ossingen	46.369	34296.597633136
38	Rheinau	46.7032	35488.753799392
39	Thalheim an der Thur	29.6523	36653.028430161
40	Trüllikon	34.8405	34945.336008024
41	Truttikon	14.5643	30597.268907563
42	Unterstammheim	30.5492	34873.515981735
43	Volken	11.3168	36505.806451613
44	Waltalingen	23.1668	33721.688500728
51	Bachenbülach	153.8245	40205.044432828
52	Bassersdorf	461.0377	42053.972452796
53	Bülach	657.8467	38298.113756768
54	Dietlikon	304.8678	43366.685633001
55	Eglisau	167.4232	41075.368007851
56	Embrach	321.3589	36493.175107881
57	Freienstein-Teufen	89.3187	39106.260945709
58	Glattfelden	150.3349	35565.389164892
59	Hochfelden	76.1384	38925.562372188
60	Höri	77.5634	31866.63927691
61	Hüntwangen	40.3498	42118.78914405
62	Kloten	684.1594	38076.547195013
63	Lufingen	78.8264	45511.778290993
64	Nürensdorf	266.5937	51595.451906329
65	Oberembrach	41.9713	42959.365404299
66	Opfikon	550.3087	35664.854180168
67	Rafz	146.1581	36557.803901951
68	Rorbas	81.0509	35300.914634146
69	Wallisellen	606.326	45140.410958904
70	Wasterkingen	20.4642	36938.989169675
71	Wil (ZH)	51.4804	39907.286821705
72	Winkel	231.4183	59322.814662907
81	Bachs	19.5895	34187.609075044
82	Boppelsen	70.9068	54881.424148607
83	Buchs (ZH)	210.3738	39023.149693934
84	Dällikon	135.0348	37582.744224882
85	Dänikon	74.8299	39467.246835443
86	Dielsdorf	215.8886	38745.262024408
87	Hüttikon	29.627	44484.984984985
88	Neerach	183.4908	62011.084825955
89	Niederglatt	180.168	39597.362637363
90	Niederhasli	305.4172	36067.217760983
91	Niederweningen	101.4655	37860.26119403
92	Oberglatt	186.6686	32588.791899441
93	Oberweningen	67.9552	39809.724663152
94	Otelfingen	97.1169	40532.929883139
95	Regensberg	23.6739	49218.087318087
96	Regensdorf	614.064	37356.369388003
97	Rümlang	252.762	37963.652748573
98	Schleinikon	27.2904	38275.455820477
99	Schöfflisdorf	57.0822	42854.504504504
100	Stadel	77.8817	39553.936008126
101	Steinmaur	129.0306	40690.823084201
102	Weiach	39.2336	39669.96966633
111	Bäretswil	169.0584	35924.011899702
112	Bubikon	259.2465	39957.845252774
113	Dürnten	230.3261	34929.648164998
114	Fischenthal	67.9697	29759.063047286
115	Gossau (ZH)	382.3708	40181.883144178
116	Grüningen	120.4873	39336.369572315
117	Hinwil	393.6916	38502.84596577
118	Rüti (ZH)	397.1306	33459.482685989
119	Seegräben	52.0388	40153.395061728
120	Wald (ZH)	279.3702	31266.950195859
121	Wetzikon (ZH)	787.3033	36109.861028299
131	Adliswil	672.9251	41182.686658507
132	Hirzel	92.2057	43782.383665717
133	Horgen	897.8051	48106.151208273
134	Hütten	30.1471	33128.681318681
135	Kilchberg (ZH)	599.7737	80908.363685417
136	Langnau am Albis	358.7726	49636.496956281
137	Oberrieden	327.9442	66547.118506493
138	Richterswil	532.1212	43616.491803279
139	Rüschlikon	472.763	90308.11843362
140	Schönenberg (ZH)	87.7166	45519.771665802
141	Thalwil	989.5309	58139.300822562
142	Wädenswil	860.592	42593.021529324
151	Erlenbach (ZH)	473.6557	90392.309160305
152	Herrliberg	540.8657	90204.419613075
153	Hombrechtikon	312.4695	39458.201793156
154	Küsnacht (ZH)	1315.463	97579.037163415
155	Männedorf	522.9192	50665.555663211
156	Meilen	842.0125	68107.457736795
157	Oetwil am See	153.843	35028.005464481
158	Stäfa	720.894	52121.610874123
159	Uetikon am See	326.9206	57304.224364592
160	Zumikon	503.8156	99391.51706451
161	Zollikon	1035.3589	85971.842564145
171	Bauma	132.7914	32013.355834137
172	Fehraltorf	237.4754	41178.324952315
173	Hittnau	138.0697	40241.82454095
174	Illnau-Effretikon	578.0234	37323.135533028
175	Kyburg	16.8229	40931.630170316
176	Lindau	202.7564	40853.596614951
177	Pfäffikon	414.5003	39574.212335307
178	Russikon	174.9174	43296.386138614
179	Sternenberg	11.5617	31675.890410959
180	Weisslingen	133.3896	41867.419962335
181	Wila	63.6918	33103.846153846
182	Wildberg	35.8652	37752.842105263
191	Dübendorf	1004.1158	40969.268432005
192	Egg	384.3744	48100.913527719
193	Fällanden	381.4712	48367.085076708
194	Greifensee	226.894	45297.264923138
195	Maur	568.442	60446.831135687
196	Mönchaltorf	131.2923	38355.915863278
197	Schwerzenbach	189.784	42533.393097266
198	Uster	1320.4753	40915.790289096
199	Volketswil	720.8525	42044.473607466
200	Wangen-Brüttisellen	326.6513	43757.709310114
211	Altikon	21.6778	35363.458401305
212	Bertschikon	36.2727	34810.652591171
213	Brütten	101.9883	53257.597911227
214	Dägerlen	34.1356	34033.499501495
215	Dättlikon	27.538	38194.174757282
216	Dinhard	57.751	41428.263988522
217	Elgg	143.1068	37170.597402597
218	Ellikon an der Thur	33.1563	38286.720554272
219	Elsau	129.0277	39051.967312349
220	Hagenbuch	37.6832	34382.481751825
221	Hettlingen	137.4285	46649.185336049
222	Hofstetten (ZH)	13.3679	30312.698412698
223	Neftenbach	221.5247	43165.374123149
224	Pfungen	97.932	34350.052613118
225	Rickenbach (ZH)	98.5269	39521.419975933
226	Schlatt (ZH)	24	32742.155525239
227	Seuzach	319.6222	45962.352602819
228	Turbenthal	127.1211	30535.935623349
229	Wiesendangen	200.5568	42499.851663488
230	Winterthur	3690.5975	36858.059522621
231	Zell (ZH)	172.2832	32506.264150943
241	Aesch (ZH)	57.2128	56201.178781925
242	Birmensdorf (ZH)	265.1653	45304.168802324
243	Dietikon	726.0229	31098.38516234
244	Geroldswil	207.9374	45086.166522116
245	Oberengstringen	259.4128	41327.513143221
246	Oetwil an der Limmat	119.4579	52302.057793345
247	Schlieren	491.6648	31360.173491517
248	Uitikon	372.7508	96392.759244893
249	Unterengstringen	165.5421	50225.151699029
250	Urdorf	371.391	41114.911989372
251	Weiningen (ZH)	185.4622	43979.65378231
261	Zürich	16150.5871	43648.111983741
301	Aarberg	138.709	34232.230997039
302	Bargen (BE)	29.6222	30103.861788618
303	Grossaffoltern	89.1957	32004.198062433
304	Kallnach	48.4341	31369.235751295
305	Kappelen	43.6198	34564.025356577
306	Lyss	404.5861	34432.859574468
307	Meikirch	88.1645	37437.154989384
308	Niederried bei Kallnach	9.6323	32651.86440678
309	Radelfingen	38.9307	33217.320819113
310	Rapperswil (BE)	74.1397	35104.024621212
311	Schüpfen	117.9218	34703.296056504
312	Seedorf (BE)	98.6683	33010.471729675
321	Aarwangen	135.8239	32315.940994528
322	Auswil	11.2994	24671.179039301
323	Bannwil	20.2846	30275.52238806
324	Bleienbach	20.9909	31804.393939394
325	Busswil bei Melchnau	5.5914	28382.741116751
326	Gondiswil	17.8414	24574.931129477
328	Kleindietwil	15.1073	30458.266129032
329	Langenthal	489.2601	32217.838798894
330	Leimiswil	10.0125	24783.415841584
331	Lotzwil	70.6947	28878.553921569
332	Madiswil	67.0725	30598.768248175
333	Melchnau	43.3278	28281.853785901
334	Obersteckholz	11.3394	28207.462686567
335	Oeschenbach	5.749	22904.38247012
336	Reisiswil	4.8636	24688.324873096
337	Roggwil (BE)	108.3855	28373.167539267
338	Rohrbach	38.9652	27952.080344333
339	Rohrbachgraben	8.6482	20206.074766355
340	Rütschelen	16.1687	28266.958041958
341	Schwarzhäusern	14.4562	29745.267489712
342	Thunstetten	91.6128	30446.261216351
344	Ursenbach	22.7224	24617.984832069
345	Wynau	43.6229	28107.538659794
351	Bern	4710.9436	38111.038661608
352	Bolligen	272.4549	44679.386684159
353	Bremgarten bei Bern	191.6652	46184.385542169
354	Kirchlindach	123.1783	43695.743171337
355	Köniz	1462.0197	38004.151286717
356	Muri bei Bern	718.5904	56320.27588369
357	Oberbalm	23.823	27164.196123147
358	Stettlen	121.6256	41810.10656583
359	Vechigen	183.194	39127.296027339
360	Wohlen bei Bern	395.92	44480.395461184
361	Zollikofen	370.5245	38143.349804406
362	Ittigen	423.0208	39358.094529215
363	Ostermundigen	499.1838	32679.790507365
371	Biel/Bienne	1478.6925	29253.813282687
372	Evilard	118.162	49920.574566962
381	Arch	46.6473	30329.843953186
382	Büetigen	25.0971	31849.111675127
383	Büren an der Aare	103.1415	31823.974082073
384	Busswil bei Büren	58.7163	30661.253263708
385	Diessbach bei Büren	27.3247	30840.519187359
386	Dotzigen	40.0133	29838.404175988
387	Lengnau (BE)	140.8439	30900.372970601
388	Leuzigen	36.7202	30702.508361204
389	Meienried	2.0426	37825.925925926
390	Meinisberg	39.2507	31101.980982567
391	Oberwil bei Büren	24.8898	30766.131025958
392	Pieterlen	99.3817	28549.755817294
393	Rüti bei Büren	25.4756	30113.002364066
394	Wengi	18.1838	29712.091503268
401	Aefligen	31.8622	31926.052104208
402	Alchenstorf	16.9583	29803.690685413
403	Bäriswil	38.8774	38916.316316316
404	Burgdorf	501.7606	32803.386506276
405	Ersigen	50.933	32503.509891512
406	Hasle bei Burgdorf	84.4795	27076.762820513
407	Heimiswil	43.4398	26699.323909035
408	Hellsau	5.7942	30820.212765958
409	Hindelbank	70.5495	34994.791666667
410	Höchstetten	7.7026	29625.384615385
411	Kernenried	13.3885	29885.044642857
412	Kirchberg (BE)	196.3851	35461.375947996
413	Koppigen	65.002	31554.368932039
414	Krauchthal	74.6418	32651.706036745
415	Lyssach	51.1848	35520.333102012
416	Mötschwil	3.5065	25226.618705036
417	Niederösch	6.4982	26741.563786008
418	Oberburg	78.8571	27640.063091483
419	Oberösch	3.0097	26634.513274336
420	Rüdtligen-Alchenflüh	61.6075	28442.98245614
421	Rumendingen	2.1808	27958.974358974
422	Rüti bei Lyssach	5.5587	34102.45398773
423	Willadingen	6.7179	34450.769230769
424	Wynigen	52.9053	26138.982213439
431	Corgémont	45.1675	29482.70234987
432	Cormoret	15.0103	29664.624505929
433	Cortébert	19.9486	28215.841584158
434	Courtelary	37.1742	29882.797427653
435	La Ferrière	16.3369	30197.597042514
436	La Heutte	14.7252	30174.590163934
437	Mont-Tramelan	3.0459	24763.414634146
438	Orvin	35.5725	29892.857142857
439	Péry	42.9375	31805.555555556
440	Plagne	11.4257	31562.70718232
441	Renan (BE)	24.3744	28845.443786982
