Regions-ID	Regionsname	Steuerbares Einkommen in Mio. Franken	Steuerbares Einkommen pro Einwohner/-in in Franken
1	Aeugst am Albis	91.3426	51287.254351488
2	Affoltern am Albis	345.8049	31874.357083602
3	Bonstetten	209.5627	40890.282926829
4	Hausen am Albis	126.4425	37925.164967007
5	Hedingen	134.0706	39339.964788732
6	Kappel am Albis	33.9702	37619.26910299
7	Knonau	61.0381	34445.880361174
8	Maschwanden	17.9422	29903.666666667
9	Mettmenstetten	171.351	40895.22673031
10	Obfelden	154.0364	33111.865864144
11	Ottenbach	90.2528	37668.113522538
12	Rifferswil	32.174	36231.981981982
13	Stallikon	145.5768	47066.537342386
14	Wettswil am Albis	231.7196	51653.94560856
21	Adlikon	21.1052	36514.186851211
22	Benken (ZH)	26.6279	33834.688691232
23	Berg am Irchel	23.3672	39010.350584307
24	Buch am Irchel	29.4505	34404.789719626
25	Dachsen	67.4001	35104.21875
26	Dorf	23.1353	36606.487341772
27	Feuerthalen	116.1838	33656.952491309
28	Flaach	40.2963	32868.10766721
29	Flurlingen	58.9653	41583.427362482
30	Andelfingen	69.336	37971.52245345
31	Henggart	75.9111	34678.437642759
32	Humlikon	15.5576	34042.888402626
33	Kleinandelfingen	68.7361	33173.793436293
34	Laufen-Uhwiesen	59.109	39067.415730337
35	Marthalen	62.212	32503.657262278
36	Oberstammheim	30.7766	28602.788104089
37	Ossingen	40.3868	29871.893491124
38	Rheinau	41.0645	31204.027355623
39	Thalheim an der Thur	26.1252	32293.201483313
40	Trüllikon	30.6089	30701.003009027
41	Truttikon	12.5903	26450.210084034
42	Unterstammheim	26.6674	30442.237442922
43	Volken	9.8838	31883.225806452
44	Waltalingen	20.0482	29182.241630277
51	Bachenbülach	137.7384	36000.627286984
52	Bassersdorf	413.0459	37676.356836632
53	Bülach	588.06	34235.314664959
54	Dietlikon	275.1564	39140.312944524
55	Eglisau	149.5618	36693.277723258
56	Embrach	284.3158	32286.600045424
57	Freienstein-Teufen	78.9647	34572.985989492
58	Glattfelden	132.5053	31347.362195411
59	Hochfelden	67.196	34353.783231084
60	Höri	67.7779	27846.302382909
61	Hüntwangen	36.2032	37790.396659708
62	Kloten	615.3277	34245.753561888
63	Lufingen	70.5042	40706.812933025
64	Nürensdorf	244.2391	47269.034255855
65	Oberembrach	37.9856	38879.836233368
66	Opfikon	496.3357	32166.928062216
67	Rafz	128.2002	32066.083041521
68	Rorbas	71.7778	31262.108013937
69	Wallisellen	551.6251	41067.979452055
70	Wasterkingen	17.9196	32345.848375451
71	Wil (ZH)	46.0207	35674.96124031
72	Winkel	213.7126	54784.055370418
81	Bachs	17.0398	29737.870855148
82	Boppelsen	64.8176	50168.421052632
83	Buchs (ZH)	187.53	34785.754034502
84	Dällikon	120.2571	33469.830225438
85	Dänikon	66.3399	34989.398734177
86	Dielsdorf	193.119	34658.829863604
87	Hüttikon	26.8688	40343.543543543
88	Neerach	170.203	57520.446096654
89	Niederglatt	160.7148	35321.934065934
90	Niederhasli	269.2021	31790.517241379
91	Niederweningen	88.6976	33096.119402985
92	Oberglatt	164.3692	28695.740223464
93	Oberweningen	60.9043	35679.144698301
94	Otelfingen	86.658	36167.779632721
95	Regensberg	21.417	44525.987525987
96	Regensdorf	549.1451	33407.050736099
97	Rümlang	225.77	33909.582457194
98	Schleinikon	23.9221	33551.332398317
99	Schöfflisdorf	51.159	38407.657657658
100	Stadel	69.4672	35280.446927374
101	Steinmaur	115.9756	36573.825291706
102	Weiach	35.113	35503.53892821
111	Bäretswil	149.1621	31696.153846154
112	Bubikon	229.2082	35328.020961776
113	Dürnten	201.9682	30629.087048832
114	Fischenthal	58.8681	25774.124343257
115	Gossau (ZH)	340.315	35762.400168138
116	Grüningen	107.0793	34958.961802155
117	Hinwil	351.0823	34335.677261614
118	Rüti (ZH)	350.0426	29492.172887354
119	Seegräben	46.2216	35664.814814815
120	Wald (ZH)	243.3757	27238.466703973
121	Wetzikon (ZH)	700.3798	32123.093152318
131	Adliswil	608.9364	37266.609547124
132	Hirzel	82.3666	39110.44634378
133	Horgen	817.8112	43819.921770348
134	Hütten	26.3391	28944.065934066
135	Kilchberg (ZH)	568.3886	76674.571698368
136	Langnau am Albis	327.5295	45313.987271721
137	Oberrieden	305.872	62068.181818182
138	Richterswil	479.2797	39285.221311475
139	Rüschlikon	449.8937	85939.579751671
140	Schönenberg (ZH)	79.082	41038.920601972
141	Thalwil	916.516	53849.353701528
142	Wädenswil	778.4481	38527.498144024
151	Erlenbach (ZH)	449.4158	85766.374045801
152	Herrliberg	513.4896	85638.692461641
153	Hombrechtikon	278.9551	35226.0512691
154	Küsnacht (ZH)	1256.3229	93192.114828277
155	Männedorf	477.1633	46232.274004457
156	Meilen	787.8621	63727.420528998
157	Oetwil am See	134.7301	30676.252276867
158	Stäfa	660.4443	47751.015833996
159	Uetikon am See	299.8897	52566.117440841
160	Zumikon	480.5119	94794.219767213
161	Zollikon	982.5295	81585.111683135
171	Bauma	115.7294	27900.048216008
172	Fehraltorf	212.6029	36865.423963933
173	Hittnau	121.8957	35527.747012533
174	Illnau-Effretikon	517.5086	33415.677665139
175	Kyburg	15.0067	36512.652068127
176	Lindau	179.702	36208.341728793
177	Pfäffikon	371.4551	35464.493030361
178	Russikon	156.914	38840.099009901
179	Sternenberg	10.1219	27731.232876712
180	Weisslingen	118.9761	37343.4086629
181	Wila	55.9128	29060.706860707
182	Wildberg	31.5931	33255.894736842
191	Dübendorf	907.8156	37040.091394998
192	Egg	347.9661	43544.750344137
193	Fällanden	348.3657	44169.608216052
194	Greifensee	205.078	40941.904571771
195	Maur	525.9979	55933.421948107
196	Mönchaltorf	116.8676	34141.863862109
197	Schwerzenbach	170.8675	38293.926490363
198	Uster	1187.1246	36783.831685929
199	Volketswil	646.6748	37717.981918927
200	Wangen-Brüttisellen	293.6544	39337.494976557
211	Altikon	18.8729	30787.765089723
212	Bertschikon	31.7554	30475.431861804
213	Brütten	93.2062	48671.644908616
214	Dägerlen	29.5345	29446.161515454
215	Dättlikon	24.2336	33611.095700416
216	Dinhard	51.3292	36821.520803443
217	Elgg	126.9153	32965.012987013
218	Ellikon an der Thur	29.1232	33629.561200924
219	Elsau	114.6185	34690.829297821
220	Hagenbuch	33.2166	30307.116788321
221	Hettlingen	122.7649	41671.72437203
222	Hofstetten (ZH)	11.4117	25876.870748299
223	Neftenbach	198.3466	38648.986749805
224	Pfungen	86.6063	30377.516660821
225	Rickenbach (ZH)	87.7705	35206.778981147
226	Schlatt (ZH)	20.5824	28079.672578445
227	Seuzach	289.6185	41647.756686799
228	Turbenthal	110.4976	26542.78164785
229	Wiesendangen	178.5018	37826.191989828
230	Winterthur	3311.4739	33071.74573055
231	Zell (ZH)	151.8338	28647.886792453
241	Aesch (ZH)	52.8814	51946.365422397
242	Birmensdorf (ZH)	240.7095	41125.832906202
243	Dietikon	640.7137	27444.260258717
244	Geroldswil	188.3824	40846.140503036
245	Oberengstringen	235.6698	37544.973713557
246	Oetwil an der Limmat	109.8753	48106.523642732
247	Schlieren	432.2018	27567.406556959
248	Uitikon	354.6299	91706.723558314
249	Unterengstringen	152.2086	46179.79368932
250	Urdorf	333.9608	36971.194509022
251	Weiningen (ZH)	167.8228	39796.72753142
261	Zürich	14895.5354	40256.245371847
301	Aarberg	122.1346	30141.806515301
302	Bargen (BE)	25.4936	25908.130081301
303	Grossaffoltern	77.4609	27793.649085038
304	Kallnach	41.6541	26978.044041451
305	Kappelen	38.0653	30162.678288431
306	Lyss	357.3479	30412.587234043
307	Meikirch	78.155	33186.836518047
308	Niederried bei Kallnach	8.3489	28301.355932203
309	Radelfingen	34.0222	29029.180887372
310	Rapperswil (BE)	64.6992	30634.090909091
311	Schüpfen	103.375	30422.307239553
312	Seedorf (BE)	86.0693	28795.349615256
321	Aarwangen	118.292	28144.658577207
322	Auswil	9.9124	21642.794759825
323	Bannwil	17.5458	26187.76119403
324	Bleienbach	18.4667	27979.848484848
325	Busswil bei Melchnau	4.7838	24283.248730965
326	Gondiswil	15.1178	20823.415977961
328	Kleindietwil	13.1972	26607.258064516
329	Langenthal	433.8824	28571.2103253
330	Leimiswil	8.7399	21633.415841584
331	Lotzwil	61.0889	24954.616013072
332	Madiswil	57.8819	26405.976277372
333	Melchnau	36.9523	24120.300261097
334	Obersteckholz	9.715	24166.666666667
335	Oeschenbach	4.9522	19729.880478088
336	Reisiswil	4.1728	21181.725888325
337	Roggwil (BE)	93.3449	24435.837696335
338	Rohrbach	33.5312	24053.945480631
339	Rohrbachgraben	6.9859	16322.196261682
340	Rütschelen	13.8045	24133.741258741
341	Schwarzhäusern	12.4287	25573.456790123
342	Thunstetten	79.4982	26420.139581256
344	Ursenbach	19.4492	21071.722643554
345	Wynau	38.0455	24513.853092784
351	Bern	4314.7325	34905.732499535
352	Bolligen	246.4325	40412.020334536
353	Bremgarten bei Bern	172.8509	41650.819277108
354	Kirchlindach	110.8854	39335.01241575
355	Köniz	1310.0835	34054.678970626
356	Muri bei Bern	667.2202	52294.082608355
357	Oberbalm	20.7272	23634.207525656
358	Stettlen	109.5652	37664.214506703
359	Vechigen	163.0024	34814.694574968
360	Wohlen bei Bern	357.0575	40114.312998539
361	Zollikofen	332.4118	34219.868231419
362	Ittigen	381.9487	35536.723111277
363	Ostermundigen	445.7153	29179.397708674
371	Biel/Bienne	1318.1154	26077.02534275
372	Evilard	107.0232	45214.702154626
381	Arch	40.1987	26136.99609883
382	Büetigen	21.5135	27301.395939086
383	Büren an der Aare	90.5166	27928.602283246
384	Busswil bei Büren	51.0181	26641.305483029
385	Diessbach bei Büren	23.5784	26612.189616253
386	Dotzigen	34.5972	25799.552572707
387	Lengnau (BE)	123.2352	27037.121544537
