Regions-ID	Regionsname	Unterstützte Personen	Anteil der unterstützten Personen an der Wohnbevölkerung in %
1	Aeugst am Albis	15	0.7853
2	Affoltern am Albis	379	3.3961
3	Bonstetten	31	0.5993
4	Hausen am Albis	29	0.8641
5	Hedingen	29	0.836
6	Kappel am Albis	X	0.3138
7	Knonau	16	0.8448
8	Maschwanden	X	0.156
9	Mettmenstetten	51	1.1652
10	Obfelden	106	2.2264
11	Ottenbach	30	1.22
12	Rifferswil	X	0.4287
13	Stallikon	26	0.7939
14	Wettswil am Albis	31	0.6748
21	Adlikon	X	0.8666
22	Benken (ZH)	20	2.442
23	Berg am Irchel	9	1.5358
24	Buch am Irchel	X	0.4474
25	Dachsen	25	1.2781
26	Dorf	X	0.316
27	Feuerthalen	97	2.7922
28	Flaach	X	0.3203
29	Flurlingen	13	0.9097
30	Andelfingen	22	1.1066
31	Henggart	28	1.2489
32	Humlikon	X	0
33	Kleinandelfingen	19	0.9369
34	Laufen-Uhwiesen	18	1.1765
35	Marthalen	15	0.7583
36	Oberstammheim	X	0.181
37	Ossingen	14	1.037
38	Rheinau	15	1.1372
39	Thalheim an der Thur	11	1.2543
40	Trüllikon	10	1.007
41	Truttikon	X	0
42	Unterstammheim	X	0.1133
43	Volken	6	1.9544
44	Waltalingen	12	1.7467
51	Bachenbülach	137	3.4293
52	Bassersdorf	249	2.2292
53	Bülach	666	3.8051
54	Dietlikon	237	3.3357
55	Eglisau	92	2.044
56	Embrach	458	5.1317
57	Freienstein-Teufen	23	1.0092
58	Glattfelden	98	2.1904
59	Hochfelden	28	1.393
60	Höri	73	2.9796
61	Hüntwangen	10	1.0428
62	Kloten	866	4.7556
63	Lufingen	12	0.6565
64	Nürensdorf	61	1.1655
65	Oberembrach	X	0.1986
66	Opfikon	995	6.2207
67	Rafz	24	0.591
68	Rorbas	74	2.9851
69	Wallisellen	369	2.6217
70	Wasterkingen	X	0.5484
71	Wil (ZH)	8	0.6168
72	Winkel	34	0.8698
81	Bachs	7	1.2433
82	Boppelsen	X	0.1549
83	Buchs (ZH)	174	3.0553
84	Dällikon	120	3.2859
85	Dänikon	15	0.7841
86	Dielsdorf	84	1.4558
87	Hüttikon	X	0.1502
88	Neerach	25	0.8278
89	Niederglatt	59	1.2956
90	Niederhasli	264	3.0651
91	Niederweningen	30	1.0877
92	Oberglatt	263	4.3973
93	Oberweningen	24	1.3801
94	Otelfingen	51	1.9495
95	Regensberg	X	0
96	Regensdorf	715	4.2436
97	Rümlang	192	2.7686
98	Schleinikon	X	0
99	Schöfflisdorf	25	1.845
100	Stadel	26	1.3131
101	Steinmaur	57	1.7631
102	Weiach	X	0
111	Bäretswil	68	1.394
112	Bubikon	97	1.4315
113	Dürnten	168	2.3816
114	Fischenthal	47	2.0163
115	Gossau (ZH)	148	1.5313
116	Grüningen	28	0.8783
117	Hinwil	287	2.7181
118	Rüti (ZH)	513	4.3405
119	Seegräben	18	1.3921
120	Wald (ZH)	221	2.3962
121	Wetzikon (ZH)	913	4.0275
131	Adliswil	638	3.642
132	Hirzel	28	1.3327
133	Horgen	493	2.5818
134	Hütten	17	1.8661
135	Kilchberg (ZH)	72	0.9511
136	Langnau am Albis	134	1.8565
137	Oberrieden	89	1.7904
138	Richterswil	189	1.502
139	Rüschlikon	81	1.5022
140	Schönenberg (ZH)	13	0.686
141	Thalwil	451	2.609
142	Wädenswil	555	2.6593
151	Erlenbach (ZH)	52	0.9877
152	Herrliberg	75	1.2235
153	Hombrechtikon	212	2.6186
154	Küsnacht (ZH)	174	1.2866
155	Männedorf	160	1.5324
156	Meilen	153	1.2043
157	Oetwil am See	71	1.5757
158	Stäfa	266	1.9156
159	Uetikon am See	105	1.7964
160	Zumikon	42	0.8159
161	Zollikon	153	1.2641
171	Bauma	95	2.2587
172	Fehraltorf	109	1.8487
173	Hittnau	44	1.268
174	Illnau-Effretikon	539	3.3761
175	Kyburg	X	0.2342
176	Lindau	102	2.0083
177	Pfäffikon	305	2.8178
178	Russikon	65	1.5738
179	Sternenberg	X	1.4327
180	Weisslingen	22	0.6866
181	Wila	32	1.6745
182	Wildberg	6	0.6079
191	Dübendorf	482	1.9223
192	Egg	132	1.6056
193	Fällanden	215	2.6639
194	Greifensee	76	1.4826
195	Maur	134	1.4023
196	Mönchaltorf	46	1.3364
197	Schwerzenbach	116	2.5613
198	Uster	436	1.3384
199	Volketswil	401	2.2779
200	Wangen-Brüttisellen	136	1.7937
211	Altikon	X	0.8052
212	Bertschikon	8	0.7626
213	Brütten	14	0.7224
214	Dägerlen	X	0.4024
215	Dättlikon	X	0.4016
216	Dinhard	7	0.4926
217	Elgg	85	2.1202
218	Ellikon an der Thur	X	0.1127
219	Elsau	64	1.9025
220	Hagenbuch	21	1.9231
221	Hettlingen	21	0.7002
222	Hofstetten (ZH)	14	2.9661
223	Neftenbach	127	2.3908
224	Pfungen	126	3.8066
225	Rickenbach (ZH)	40	1.5754
226	Schlatt (ZH)	20	2.7137
227	Seuzach	99	1.4001
228	Turbenthal	109	2.5515
229	Wiesendangen	34	0.6974
230	Winterthur	4730	4.5889
231	Zell (ZH)	186	3.421
241	Aesch (ZH)	X	0.3676
242	Birmensdorf (ZH)	168	2.8345
243	Dietikon	1690	6.9884
244	Geroldswil	153	3.2526
245	Oberengstringen	302	4.7239
246	Oetwil an der Limmat	36	1.5431
247	Schlieren	760	4.5403
248	Uitikon	18	0.4564
249	Unterengstringen	137	4.0786
250	Urdorf	269	2.9053
251	Weiningen (ZH)	131	3.0737
261	Zürich	17691	4.6927
301	Aarberg	153	3.7454
302	Bargen (BE)	23	2.3162
303	Grossaffoltern	38	1.3679
304	Kallnach	29	1.8554
305	Kappelen	12	0.9317
306	Lyss	870	6.246
307	Meikirch	47	1.9815
308	Niederried bei Kallnach	X	0
309	Radelfingen	10	0.8425
310	Rapperswil (BE)	29	1.3615
311	Schüpfen	93	2.6435
312	Seedorf (BE)	30	1.0098
321	Aarwangen	243	5.7912
322	Auswil	10	2.2026
323	Bannwil	17	2.5223
324	Bleienbach	8	1.214
325	Busswil bei Melchnau	X	0.4902
326	Gondiswil	15	2.069
329	Langenthal	1003	6.6463
331	Lotzwil	143	5.7778
332	Madiswil	89	2.8435
333	Melchnau	39	2.5607
334	Obersteckholz	7	1.6355
335	Oeschenbach	X	1.25
336	Reisiswil	X	1.6129
337	Roggwil (BE)	180	4.6608
338	Rohrbach	70	4.9192
339	Rohrbachgraben	X	0.241
340	Rütschelen	X	0.3565
341	Schwarzhäusern	10	2.0534
342	Thunstetten	193	6.2785
344	Ursenbach	17	1.8868
345	Wynau	124	8.1848
351	Bern	6620	5.2673
352	Bolligen	121	2.005
353	Bremgarten bei Bern	80	1.8939
354	Kirchlindach	43	1.5237
355	Köniz	1855	4.7642
356	Muri bei Bern	375	2.956
357	Oberbalm	15	1.7281
358	Stettlen	88	3.045
359	Vechigen	40	0.8527
360	Wohlen bei Bern	286	3.2146
361	Zollikofen	415	4.2364
362	Ittigen	741	6.7603
363	Ostermundigen	1305	8.311
371	Biel/Bienne	5910	11.4457
372	Evilard	27	1.1043
381	Arch	47	3.0719
382	Büetigen	X	0.5038
383	Büren an der Aare	150	4.5263
385	Diessbach bei Büren	14	1.566
386	Dotzigen	63	4.5818
387	Lengnau (BE)	352	7.6455
388	Leuzigen	28	2.351
389	Meienried	X	0
390	Meinisberg	49	3.7809
391	Oberwil bei Büren	11	1.3382
392	Pieterlen	338	9.1649
393	Rüti bei Büren	30	3.7083
394	Wengi	6	0.9756
401	Aefligen	41	3.9347
402	Alchenstorf	9	1.5873
403	Bäriswil	30	2.9383
404	Burgdorf	825	5.2939
405	Ersigen	23	1.4259
406	Hasle bei Burgdorf	88	2.7638
407	Heimiswil	25	1.5528
408	Hellsau	X	0.5181
409	Hindelbank	100	4.8309
410	Höchstetten	X	1.5504
411	Kernenried	8	1.7978
412	Kirchberg (BE)	197	3.5166
413	Koppigen	103	5.0195
414	Krauchthal	71	3.0564
415	Lyssach	35	2.4579
416	Mötschwil	X	2.8777
417	Niederösch	X	0.8264
418	Oberburg	174	5.9365
419	Oberösch	X	0
420	Rüdtligen-Alchenflüh	149	6.6667
421	Rumendingen	X	4.6512
422	Rüti bei Lyssach	X	1.2658
423	Willadingen	X	0.5025
424	Wynigen	31	1.5408
431	Corgémont	68	4.3562
432	Cormoret	9	1.8443
433	Cortébert	32	4.5519
434	Courtelary	85	6.6045
435	La Ferrière	7	1.2727
436	La Heutte	10	2.0619
437	Mont-Tramelan	X	0
438	Orvin	37	3.1119
439	Péry	69	5.081
440	Plagne	6	1.6484
441	Renan (BE)	16	1.907
442	Romont (BE)	8	3.8095
443	Saint-Imier	412	8.553
444	Sonceboz-Sombeval	71	3.9444
445	Sonvilier	68	5.6999
446	Tramelan	132	3.1
447	Vauffelin	25	5.8548
448	Villeret	43	4.8315
491	Brüttelen	6	1.0733
492	Erlach	47	3.6321
493	Finsterhennen	X	0.2041
494	Gals	10	1.3793
495	Gampelen	18	2.2528
496	Ins	79	2.413
497	Lüscherz	X	0.7605
498	Müntschemier	16	1.2393
499	Siselen	13	2.2109
500	Treiten	11	2.5346
501	Tschugg	9	2.0089
502	Vinelz	X	0.4843
532	Bangerten	X	1.8868
533	Bätterkinden	144	4.5541
534	Büren zum Hof	X	1.0707
535	Deisswil bei Münchenbuchsee	X	1.0417
536	Diemerswil	X	2.0513
537	Etzelkofen	X	1.3746
538	Fraubrunnen	46	2.5499
539	Grafenried	11	1.1224
540	Jegenstorf	161	3.3988
541	Iffwil	16	3.8554
542	Limpach	X	1.4124
543	Mattstetten	X	0.5155
544	Moosseedorf	220	6.0942
545	Mülchi	X	1.2876
546	Münchenbuchsee	399	4.0798
547	Münchringen	8	1.3423
548	Ruppoldsried	6	2.3166
549	Schalunen	18	5.0139
550	Scheunen	X	0
551	Urtenen-Schönbühl	298	5.1907
552	Utzenstorf	145	3.5314
553	Wiggiswil	X	0
554	Wiler bei Utzenstorf	18	2.1765
555	Zauggenried	6	1.9481
556	Zielebach	8	2.439
557	Zuzwil (BE)	X	0.3472
561	Adelboden	11	0.3129
562	Aeschi bei Spiez	20	0.9667
563	Frutigen	129	1.9219
564	Kandergrund	6	0.7435
565	Kandersteg	18	1.4754
566	Krattigen	12	1.1905
567	Reichenbach im Kandertal	46	1.3337
571	Beatenberg	31	2.7217
572	Bönigen	53	2.1668
573	Brienz (BE)	95	3.1954
574	Brienzwiler	8	1.5595
575	Därligen	11	2.6379
576	Grindelwald	50	1.3172
577	Gsteigwiler	13	3.0952
578	Gündlischwand	6	2.069
579	Habkern	16	2.5316
580	Hofstetten bei Brienz	12	2.1622
581	Interlaken	328	5.9985
582	Iseltwald	9	2.1226
584	Lauterbrunnen	40	1.5943
585	Leissigen	18	1.8987
586	Lütschental	X	2.0833
587	Matten bei Interlaken	136	3.6199
588	Niederried bei Interlaken	9	2.6087
589	Oberried am Brienzersee	25	5.3419
590	Ringgenberg (BE)	132	5.0247
591	Saxeten	X	1.9802
592	Schwanden bei Brienz	6	1.0118
593	Unterseen	181	3.2879
594	Wilderswil	63	2.4852
602	Arni (BE)	9	0.9636
603	Biglen	79	4.5298
604	Bleiken bei Oberdiessbach	6	1.5345
605	Bowil	28	2.0588
606	Brenzikofen	10	1.9268
607	Freimettigen	19	4.3779
608	Grosshöchstetten	87	2.691
609	Häutligen	X	0.8368
610	Herbligen	14	2.5225
611	Kiesen	10	1.1494
612	Konolfingen	131	2.7337
613	Landiswil	14	2.2152
614	Linden	42	3.1963
615	Mirchel	X	0.6723
616	Münsingen	474	4.3719
617	Niederhünigen	19	3.0016
619	Oberdiessbach	113	3.644
620	Oberthal	18	2.3256
622	Oppligen	12	1.7964
623	Rubigen	41	1.4326
624	Schlosswil	X	0.6202
625	Tägertschi	X	0.2415
626	Walkringen	83	4.568
627	Worb	479	4.2517
628	Zäziwil	55	3.366
629	Oberhünigen	X	0.3077
630	Allmendingen	X	0
631	Trimstein	X	0.5848
632	Wichtrach	73	1.8173
661	Clavaleyres	X	0
662	Ferenbalm	10	0.7987
663	Frauenkappelen	12	0.9631
664	Golaten	X	0
665	Gurbrü	X	0
666	Kriechenwil	X	0.4831
667	Laupen	125	4.5045
668	Mühleberg	47	1.7286
669	Münchenwiler	8	1.7021
670	Neuenegg	186	3.8076
671	Wileroltigen	10	2.5575
681	Belprahon	X	0.6601
682	Bévilard	80	4.779
683	Champoz	X	0
684	Châtelat	X	0.9009
687	Corcelles (BE)	X	0.4673
690	Court	61	4.4139
691	Crémines	19	3.4672
692	Eschert	X	0.8065
694	Grandval	X	0.5882
696	Loveresse	6	1.9048
697	Malleray	88	4.467
699	Monible	X	2.7027
700	Moutier	575	7.6872
701	Perrefitte	11	2.3707
702	Pontenet	X	0.9259
703	Reconvilier	117	5.3498
704	Roches (BE)	X	1.8868
706	Saicourt	21	3.4826
707	Saules (BE)	X	0
708	Schelten	X	0
709	Seehof	X	2.8571
710	Sornetan	X	2.3256
711	Sorvilier	8	3.0075
712	Souboz	X	0
713	Tavannes	325	9.2199
715	Rebévelier	X	0
721	Diesse	X	0
722	Lamboing	X	0
723	La Neuveville	212	5.9685
724	Nods	X	0
725	Prêles	X	0
731	Aegerten	82	4.7426
732	Bellmund	12	0.7853
733	Brügg	444	10.4915
734	Bühl	X	0.9615
735	Epsach	X	1.4881
736	Hagneck	6	1.4388
737	Hermrigen	X	1.5625
738	Jens	7	1.0495
739	Ipsach	100	2.5654
740	Ligerz	X	0
741	Merzligen	X	0.2439
742	Mörigen	X	0.2257
743	Nidau	713	10.4699
744	Orpund	134	5.0989
745	Port	40	1.2334
