Regions-ID	Regionsname	Anzahl der Personen im Alter von 0 bis 19 Jahren	Anteil dieser Bevölkerungsgruppe an der Gesamtbevölkerung in %
1	Aeugst am Albis	432	21.906693712
2	Affoltern am Albis	2341	20.6019537094
3	Bonstetten	1291	24.5437262357
4	Hausen am Albis	795	23.1710871466
5	Hedingen	841	23.3936022253
6	Kappel am Albis	237	24.7907949791
7	Knonau	479	23.8664673642
8	Maschwanden	164	24.6987951807
9	Mettmenstetten	996	22.5186524983
10	Obfelden	1125	23.1148551469
11	Ottenbach	537	21.6270640354
12	Rifferswil	253	26.3816475495
13	Stallikon	695	20.8146151542
14	Wettswil am Albis	1019	21.9328454585
21	Adlikon	117	20.2772963605
22	Benken (ZH)	159	19.2028985507
23	Berg am Irchel	90	15.5709342561
24	Buch am Irchel	234	25.4071661238
25	Dachsen	495	24.9495967742
26	Dorf	150	24.154589372
27	Feuerthalen	705	20.2005730659
28	Flaach	301	22.2797927461
29	Flurlingen	301	21.4387464387
30	Andelfingen	477	22.7142857143
31	Henggart	579	25.4505494505
32	Humlikon	126	26.1410788382
33	Kleinandelfingen	467	22.8250244379
34	Laufen-Uhwiesen	340	20.9617755857
35	Marthalen	419	21.0870659285
36	Oberstammheim	248	21.5464813206
37	Ossingen	323	23.8025055269
38	Rheinau	261	19.6832579186
39	Thalheim an der Thur	215	23.4716157205
40	Trüllikon	196	19.6787148594
41	Truttikon	115	25.5555555556
42	Unterstammheim	227	25.6207674944
43	Volken	77	25.1633986928
44	Waltalingen	154	22.2543352601
51	Bachenbülach	873	21.57153447
52	Bassersdorf	2446	21.550660793
53	Bülach	3739	20.3118209474
54	Dietlikon	1469	20.295661785
55	Eglisau	1119	22.6426547956
56	Embrach	1959	21.9127516779
57	Freienstein-Teufen	491	21.4597902098
58	Glattfelden	1033	22.2293953088
59	Hochfelden	479	23.8427078148
60	Höri	596	22.6100151745
61	Hüntwangen	227	22.5870646766
62	Kloten	3385	18.3967391304
63	Lufingen	454	24.2391884677
64	Nürensdorf	1024	19.2192192192
65	Oberembrach	211	19.2870201097
66	Opfikon	3192	19.4598549046
67	Rafz	957	22.9221556886
68	Rorbas	599	23.1631863882
69	Wallisellen	2841	19.1210122493
70	Wasterkingen	115	20
71	Wil (ZH)	261	19.8027314112
72	Winkel	777	18.5176358437
81	Bachs	108	17.7049180328
82	Boppelsen	325	24.7902364607
83	Buchs (ZH)	1353	21.8190614417
84	Dällikon	796	21.1252653928
85	Dänikon	430	21.9948849105
86	Dielsdorf	1174	19.9388586957
87	Hüttikon	122	17.9148311307
88	Neerach	509	16.7875989446
89	Niederglatt	1007	21.6233626798
90	Niederhasli	2018	22.7482809153
91	Niederweningen	704	25.2601363473
92	Oberglatt	1508	23.2931726908
93	Oberweningen	373	21.2414578588
94	Otelfingen	650	23.6449618043
95	Regensberg	105	21.6494845361
96	Regensdorf	3665	21.3341870889
97	Rümlang	1424	19.6929885216
98	Schleinikon	167	23.6209335219
99	Schöfflisdorf	279	20.4845814978
100	Stadel	426	20.9955643174
101	Steinmaur	630	18.7835420394
102	Weiach	203	18.8486536676
111	Bäretswil	1087	22.1204721205
