Regions-ID	Regionsname	Unterstützte Personen	Anteil der unterstützten Personen an der Wohnbevölkerung in %
1	Aeugst am Albis	11	0.5627
2	Affoltern am Albis	353	3.1305
3	Bonstetten	23	0.4419
4	Hausen am Albis	28	0.8294
5	Hedingen	39	1.1108
6	Kappel am Albis	X	0.3254
7	Knonau	10	0.5045
8	Maschwanden	X	0
9	Mettmenstetten	54	1.2217
10	Obfelden	97	2.007
11	Ottenbach	26	1.0484
12	Rifferswil	6	0.627
13	Stallikon	22	0.6649
14	Wettswil am Albis	31	0.677
21	Adlikon	X	0.8913
22	Benken (ZH)	25	3.0377
23	Berg am Irchel	7	1.1925
24	Buch am Irchel	X	0
25	Dachsen	24	1.2245
26	Dorf	X	0.1577
27	Feuerthalen	99	2.858
28	Flaach	8	0.6011
29	Flurlingen	X	0.2122
30	Andelfingen	29	1.4057
31	Henggart	35	1.5528
32	Humlikon	X	0
33	Kleinandelfingen	20	0.9935
34	Laufen-Uhwiesen	10	0.6418
35	Marthalen	25	1.2703
36	Oberstammheim	X	0.4425
37	Ossingen	21	1.5579
38	Rheinau	13	0.9665
39	Thalheim an der Thur	9	1.0011
40	Trüllikon	X	0.4049
41	Truttikon	X	0
42	Unterstammheim	13	1.4994
43	Volken	7	2.2581
44	Waltalingen	11	1.6296
51	Bachenbülach	116	2.8863
52	Bassersdorf	230	2.0457
53	Bülach	617	3.4325
54	Dietlikon	249	3.4728
55	Eglisau	116	2.4634
56	Embrach	461	5.1302
57	Freienstein-Teufen	21	0.9063
58	Glattfelden	98	2.1538
59	Hochfelden	19	0.9397
60	Höri	78	2.9782
61	Hüntwangen	19	1.9
62	Kloten	819	4.4506
63	Lufingen	9	0.491
64	Nürensdorf	62	1.1756
65	Oberembrach	6	0.5825
66	Opfikon	972	6.0313
67	Rafz	53	1.2933
68	Rorbas	73	2.9188
69	Wallisellen	355	2.5021
70	Wasterkingen	X	0.1828
71	Wil (ZH)	6	0.4622
72	Winkel	47	1.1497
81	Bachs	12	2.0906
82	Boppelsen	15	1.1755
83	Buchs (ZH)	207	3.4113
84	Dällikon	136	3.6432
85	Dänikon	18	0.9336
86	Dielsdorf	93	1.6062
87	Hüttikon	X	0.1495
88	Neerach	24	0.7923
89	Niederglatt	69	1.5066
90	Niederhasli	221	2.5335
91	Niederweningen	41	1.4855
92	Oberglatt	244	4.0244
93	Oberweningen	21	1.1973
94	Otelfingen	38	1.3793
95	Regensberg	X	0
96	Regensdorf	707	4.1649
97	Rümlang	185	2.6357
98	Schleinikon	X	0
99	Schöfflisdorf	21	1.5273
100	Stadel	33	1.6377
101	Steinmaur	54	1.6468
102	Weiach	24	2.2161
111	Bäretswil	44	0.8918
112	Bubikon	83	1.211
113	Dürnten	163	2.2753
114	Fischenthal	39	1.6745
115	Gossau (ZH)	166	1.7069
116	Grüningen	34	1.053
117	Hinwil	211	1.9878
118	Rüti (ZH)	529	4.4201
119	Seegräben	21	1.6092
120	Wald (ZH)	198	2.1192
121	Wetzikon (ZH)	957	4.1119
131	Adliswil	620	3.4374
132	Hirzel	31	1.4527
133	Horgen	489	2.536
134	Hütten	7	0.7804
135	Kilchberg (ZH)	89	1.1596
136	Langnau am Albis	127	1.7508
137	Oberrieden	94	1.8879
138	Richterswil	211	1.6443
139	Rüschlikon	77	1.4194
140	Schönenberg (ZH)	16	0.8439
141	Thalwil	467	2.6932
142	Wädenswil	553	2.6375
151	Erlenbach (ZH)	46	0.8638
152	Herrliberg	72	1.1711
153	Hombrechtikon	215	2.6481
154	Küsnacht (ZH)	209	1.5461
155	Männedorf	160	1.5282
156	Meilen	160	1.2484
157	Oetwil am See	93	2.0408
158	Stäfa	260	1.8737
159	Uetikon am See	93	1.568
160	Zumikon	48	0.929
