Regions-ID	Regionsname	Reineinkommen in Mio. Franken	Reineinkommen pro Steuerpflichtigem/-r in Franken
1	Aeugst am Albis	95.0149	110098.37775203
2	Affoltern am Albis	367.3212	77281.969282558
3	Bonstetten	224.6212	97959.529001308
4	Hausen am Albis	133.2593	94711.656005686
5	Hedingen	148.1618	101203.41530055
6	Kappel am Albis	38.2057	97215.521628499
7	Knonau	69.7504	90350.259067358
8	Maschwanden	20.7362	74590.647482014
9	Mettmenstetten	176.9877	94242.651757189
10	Obfelden	163.8947	84568.988648091
11	Ottenbach	97.7868	91049.162011173
12	Rifferswil	35.0016	94855.284552845
13	Stallikon	157.372	105477.21179625
14	Wettswil am Albis	247.4211	116433.45882353
21	Adlikon	22.2259	84509.125475285
22	Benken (ZH)	29.084	81467.787114846
23	Berg am Irchel	24.3791	89300.732600733
24	Buch am Irchel	32.2241	90011.452513967
25	Dachsen	71.5201	91928.149100257
26	Dorf	23.1024	95071.604938272
27	Feuerthalen	124.8063	79545.124282983
28	Flaach	43.0104	82553.550863724
29	Flurlingen	63.5522	98683.540372671
30	Andelfingen	83.3847	102438.20638821
31	Henggart	81.2507	87366.344086022
32	Humlikon	17.1299	93097.282608696
33	Kleinandelfingen	70.8547	83065.2989449
34	Laufen-Uhwiesen	63.2269	94935.285285285
35	Marthalen	70.3571	81150.057670127
36	Oberstammheim	33.3163	72902.188183807
37	Ossingen	43.2669	76174.11971831
38	Rheinau	42.9909	78737.912087912
39	Thalheim an der Thur	28.8608	79946.814404432
40	Trüllikon	33.8135	75141.111111111
41	Truttikon	13.2914	75519.318181818
42	Unterstammheim	27.9022	81111.046511628
43	Volken	11.0803	87246.456692913
44	Waltalingen	24.51	85400.696864111
51	Bachenbülach	147.7505	86758.954785672
52	Bassersdorf	440.7069	88673.420523139
53	Bülach	627.6081	80503.860954336
54	Dietlikon	291.4103	89089.05533476
55	Eglisau	167.7648	91574.672489083
56	Embrach	301.1051	81182.286330547
57	Freienstein-Teufen	83.7743	86010.574948665
58	Glattfelden	143.8661	77514.0625
59	Hochfelden	73.6864	88247.185628743
60	Höri	69.038	72978.858350951
61	Hüntwangen	37.2822	91602.457002457
62	Kloten	637.2327	77081.492681747
63	Lufingen	77.7097	99627.820512821
64	Nürensdorf	268.211	108763.58475264
65	Oberembrach	39.1039	85754.166666667
66	Opfikon	513.4078	75656.911287946
67	Rafz	140.5673	84679.096385542
68	Rorbas	74.5859	75875.788402848
69	Wallisellen	588.3776	88771.514785757
70	Wasterkingen	19.2833	78707.346938776
71	Wil (ZH)	49.4731	88661.46953405
72	Winkel	224.0502	112081.14057029
81	Bachs	20.1198	79840.476190476
82	Boppelsen	67.7018	121112.34347048
83	Buchs (ZH)	205.1143	83379.796747967
84	Dällikon	125.3483	80661.711711712
85	Dänikon	70.3988	92874.406332454
86	Dielsdorf	202.7855	80791.035856574
87	Hüttikon	30.1451	94498.746081505
88	Neerach	181.5129	116131.0940499
89	Niederglatt	164.4005	79458.917351378
90	Niederhasli	288.0599	78576.077468631
91	Niederweningen	100.4498	92665.867158672
92	Oberglatt	174.0114	71550.740131579
93	Oberweningen	66.0036	91544.52149792
94	Otelfingen	96.6754	87252.166064982
95	Regensberg	22.7581	102977.8280543
96	Regensdorf	576.9229	80609.598993992
97	Rümlang	232.4268	77013.51888668
98	Schleinikon	27.1061	84442.679127726
99	Schöfflisdorf	54.7273	87145.382165605
100	Stadel	75.4185	83151.598676957
101	Steinmaur	121.5638	83664.00550585
102	Weiach	39.0901	83170.425531915
111	Bäretswil	167.9578	80247.396082179
112	Bubikon	255.8394	88433.944002765
113	Dürnten	220.1152	78416.530103313
114	Fischenthal	59.3233	69465.222482436
115	Gossau (ZH)	365.2687	86433.67250355
116	Grüningen	125.1272	89185.459729152
117	Hinwil	379.1421	79987.784810127
118	Rüti (ZH)	362.2426	70902.838128792
119	Seegräben	50.47	91597.096188748
120	Wald (ZH)	250.167	67759.209100758
121	Wetzikon (ZH)	742.7339	74646.623115578
131	Adliswil	692.6317	90658.59947644
132	Hirzel	85.208	98734.646581692
133	Horgen	894.7467	101872.56062849
134	Hütten	28.1916	78747.48603352
135	Kilchberg (ZH)	829.2465	214275.58139535
136	Langnau am Albis	331.5468	99593.511565034
137	Oberrieden	327.7651	131791.35504624
138	Richterswil	516.7937	92665.178411332
139	Rüschlikon	1788.8267	697942.52828716
140	Schönenberg (ZH)	83.6315	98972.189349112
141	Thalwil	1010.7387	116713.47575058
142	Wädenswil	832.4505	88464.452709883
151	Erlenbach (ZH)	466.8824	190331.18630249
152	Herrliberg	524.0015	185487.25663717
153	Hombrechtikon	304.4444	87635.118019574
154	Küsnacht (ZH)	1290.7765	192825.88885569
155	Männedorf	517.8549	108044.0016691
156	Meilen	816.9011	132377.42667315
157	Oetwil am See	136.6004	76270.463428252
158	Stäfa	699.8976	107116.25344353
159	Uetikon am See	328.0396	128845.09033778
160	Zumikon	536.9122	225214.84899329
161	Zollikon	1023.5384	167354.21844343
171	Bauma	124.5785	74866.887019231
172	Fehraltorf	230.229	84892.699115044
173	Hittnau	129.5383	88301.499659168
174	Illnau-Effretikon	542.7513	76800.806565728
175	Kyburg	16.3951	90580.662983425
176	Lindau	191.2987	90878.242280285
177	Pfäffikon	402.6052	81104.995970991
178	Russikon	172.1405	95052.733296521
179	Sternenberg	9.1252	67594.074074074
180	Weisslingen	126.6197	93377.359882006
181	Wila	60.4912	70502.564102564
182	Wildberg	33.5106	80748.43373494
191	Dübendorf	956.2671	82908.539968788
192	Egg	365.8048	100744.91875516
193	Fällanden	358.5509	97777.720207254
194	Greifensee	214.3017	90575.528317836
195	Maur	562.3156	127163.1840796
196	Mönchaltorf	125.2471	82671.353135314
197	Schwerzenbach	177.1723	86425.512195122
198	Uster	1267.912	84770.475362706
199	Volketswil	680.8867	88174.915824916
200	Wangen-Brüttisellen	308.2563	91661.106155219
211	Altikon	20.495	75349.264705882
212	Bertschikon	35.0296	78191.071428571
213	Brütten	100.0696	106684.00852878
214	Dägerlen	31.522	82734.908136483
215	Dättlikon	28.646	95169.435215947
216	Dinhard	53.122	91747.841105354
217	Elgg	137.0487	79865.20979021
218	Ellikon an der Thur	31.3764	87643.575418994
219	Elsau	123.1544	85051.38121547
220	Hagenbuch	35.7209	73348.87063655
221	Hettlingen	131.7562	112419.96587031
222	Hofstetten (ZH)	11.7226	74666.242038217
223	Neftenbach	210.3111	91162.158647594
224	Pfungen	96.9031	75824.021909233
225	Rickenbach (ZH)	92.4494	85050.04599816
226	Schlatt (ZH)	21.6583	80814.552238806
227	Seuzach	313.7932	93669.611940299
228	Turbenthal	114.8249	70143.494196701
229	Wiesendangen	197.5586	94030.747263208
230	Winterthur	3514.1402	75851.846575579
231	Zell (ZH)	158.198	72203.560018256
241	Aesch (ZH)	58.7868	118521.77419355
242	Birmensdorf (ZH)	254.0003	91630.6998557
243	Dietikon	662.4909	69385.305823209
244	Geroldswil	197.6271	89545.582238333
245	Oberengstringen	247.232	81892.017224246
246	Oetwil an der Limmat	118.4728	98481.130507066
247	Schlieren	454.7871	69253.403380539
248	Uitikon	342.2884	180817.96090861
249	Unterengstringen	165.5863	101214.1198044
250	Urdorf	346.1916	83119.231692677
251	Weiningen (ZH)	171.6169	92267.150537634
261	Zürich	15620.965	84837.992255345
301	Aarberg	132.0368	69971.807101219
302	Bargen (BE)	27.9746	71001.52284264
303	Grossaffoltern	82.2306	72770.442477876
304	Kallnach	44.335	70150.316455696
305	Kappelen	41.6443	78722.684310019
306	Lyss	432.041	71851.155829037
307	Meikirch	86.8391	81386.223055295
308	Niederried bei Kallnach	8.6945	64403.703703704
309	Radelfingen	37.5814	67836.462093863
310	Rapperswil (BE)	67.5414	76751.590909091
311	Schüpfen	110.6006	74578.961564396
312	Seedorf (BE)	91.3152	72877.254588986
321	Aarwangen	125.1028	72063.824884793
322	Auswil	9.7998	55055.056179775
323	Bannwil	17.5539	62247.872340425
324	Bleienbach	20.1499	65210.03236246
325	Busswil bei Melchnau	5.3221	61884.88372093
326	Gondiswil	15.7351	59829.27756654
329	Langenthal	455.6354	70108.53977535
331	Lotzwil	61.6314	65845.512820513
332	Madiswil	82.8179	66201.35891287
333	Melchnau	39.4432	66069.011725293
334	Obersteckholz	10.4278	64768.944099379
335	Oeschenbach	5.2231	56772.826086956
336	Reisiswil	4.0814	57484.507042253
337	Roggwil (BE)	97.1391	65019.477911647
338	Rohrbach	32.8919	56808.117443869
339	Rohrbachgraben	7.0518	55525.984251968
340	Rütschelen	13.7442	65448.571428571
341	Schwarzhäusern	13.3512	65447.058823529
342	Thunstetten	81.6913	67513.47107438
344	Ursenbach	18.1512	56900.313479624
345	Wynau	40.6302	61936.280487805
351	Bern	4485.7087	73687.206570842
352	Bolligen	256.3503	95474.972067039
353	Bremgarten bei Bern	188.0829	98369.717573222
354	Kirchlindach	122.82	95209.302325581
355	Köniz	1384.7035	80665.472445532
356	Muri bei Bern	711.787	118749.91658325
357	Oberbalm	21.6822	63771.176470588
358	Stettlen	110.5316	88780.401606426
359	Vechigen	166.2675	83761.964735516
360	Wohlen bei Bern	370.3463	93972.671910683
361	Zollikofen	349.3289	79719.055225924
362	Ittigen	400.8163	81483.28928644
363	Ostermundigen	470.8602	69643.573435882
371	Biel/Bienne	1381.7033	64695.570538933
372	Evilard	112.599	107853.44827586
381	Arch	42.6166	69070.664505673
382	Büetigen	22.7761	73000.320512821
383	Büren an der Aare	98.4245	71529.433139535
385	Diessbach bei Büren	31.5836	89219.209039548
386	Dotzigen	37.0244	70927.969348659
387	Lengnau (BE)	131.7488	69782.20338983
388	Leuzigen	33.0159	64108.54368932
389	Meienried	2.2181	65238.235294118
390	Meinisberg	36.0677	70859.921414538
391	Oberwil bei Büren	22.4943	68371.732522796
392	Pieterlen	96.7053	67815.778401122
393	Rüti bei Büren	22.8661	62646.849315069
394	Wengi	16.2328	65986.991869919
401	Aefligen	30.0041	63568.008474576
402	Alchenstorf	15.1081	68054.504504504
403	Bäriswil	37.3768	83992.808988764
404	Burgdorf	469.1865	68674.838992974
405	Ersigen	47.7927	72633.282674772
406	Hasle bei Burgdorf	76.1907	61543.37641357
407	Heimiswil	39.2999	61502.190923318
408	Hellsau	5.0576	69282.191780822
409	Hindelbank	66.7614	71941.163793103
410	Höchstetten	6.6675	57978.260869565
411	Kernenried	11.2242	67210.778443114
412	Kirchberg (BE)	182.4705	73904.617253949
413	Koppigen	59.9798	70982.01183432
414	Krauchthal	67.7917	70396.365524403
415	Lyssach	45.178	69719.135802469
416	Mötschwil	3.6073	66801.851851852
417	Niederösch	4.8911	63520.779220779
418	Oberburg	70.0511	62434.135472371
419	Oberösch	2.926	62255.319148936
420	Rüdtligen-Alchenflüh	57.202	62790.340285401
421	Rumendingen	1.707	47416.666666667
422	Rüti bei Lyssach	4.6017	70795.384615385
423	Willadingen	6.0148	67582.02247191
424	Wynigen	45.213	61430.706521739
431	Corgémont	41.8637	68181.921824104
432	Cormoret	13.2197	69213.089005236
433	Cortébert	17.8401	64404.693140794
434	Courtelary	34.6841	70210.728744939
435	La Ferrière	14.2633	68573.557692308
436	La Heutte	12.8089	67062.303664922
437	Mont-Tramelan	2.3452	68976.470588235
438	Orvin	31.9738	68760.860215054
439	Péry	39.8927	68426.586620926
440	Plagne	11.4426	70200
441	Renan (BE)	21.4468	61452.148997135
442	Romont (BE)	5.8577	68112.790697674
443	Saint-Imier	129.7954	65752.482269503
444	Sonceboz-Sombeval	46.3583	68780.860534125
445	Sonvilier	26.9918	62917.948717949
446	Tramelan	110.3779	64510.753945061
447	Vauffelin	11.2819	66756.804733728
448	Villeret	26.0318	70546.883468835
491	Brüttelen	14.5976	63193.073593074
492	Erlach	44.3469	81520.036764706
493	Finsterhennen	12.5586	72175.862068966
494	Gals	24.3708	80167.105263158
495	Gampelen	22.7928	70348.148148148
496	Ins	99.1336	75906.278713629
497	Lüscherz	18.6006	75920.816326531
498	Müntschemier	33.9249	70383.609958506
499	Siselen	14.7278	63756.70995671
500	Treiten	12.5008	67571.891891892
501	Tschugg	13.1129	70880.540540541
502	Vinelz	26.5138	73854.596100279
532	Bangerten	5.2549	71984.931506849
533	Bätterkinden	95.4832	73505.157813703
534	Büren zum Hof	15.2084	82654.347826087
535	Deisswil bei Münchenbuchsee	3.4251	79653.488372093
536	Diemerswil	6.6036	97111.764705882
537	Etzelkofen	9.9367	69976.76056338
538	Fraubrunnen	58.7357	80903.168044077
539	Grafenried	31.573	77958.024691358
540	Jegenstorf	167.9832	80606.142034549
541	Iffwil	12.6233	80403.184713376
542	Limpach	10.2591	68853.020134228
543	Mattstetten	21.3421	80841.287878788
544	Moosseedorf	109.8994	74106.136210384
545	Mülchi	5.1213	56903.333333333
546	Münchenbuchsee	314.7058	74840.856123662
547	Münchringen	20.7625	93105.381165919
548	Ruppoldsried	7.0149	65559.813084112
549	Schalunen	9.8034	72083.823529412
550	Scheunen	1.4677	63813.043478261
551	Urtenen-Schönbühl	179.3285	70380.102040816
552	Utzenstorf	123.8453	70526.936218679
553	Wiggiswil	3.4678	80646.511627907
554	Wiler bei Utzenstorf	23.4271	64715.745856354
555	Zauggenried	8.075	67857.142857143
556	Zielebach	10.9881	71351.298701299
557	Zuzwil (BE)	18.9878	79780.672268908
561	Adelboden	71.6952	58383.713355049
562	Aeschi bei Spiez	53.5368	65608.823529412
563	Frutigen	156.0989	63661.867862969
564	Kandergrund	16.3746	53164.285714286
565	Kandersteg	31.2978	62721.042084168
566	Krattigen	29.3011	70266.426858513
567	Reichenbach im Kandertal	75.1246	59575.416336241
571	Beatenberg	25.3559	56597.991071429
572	Bönigen	61.6181	63198.051282051
573	Brienz (BE)	74.3043	61357.803468208
574	Brienzwiler	12.0596	58258.937198068
575	Därligen	11.7951	66638.983050847
576	Grindelwald	102.31	64712.207463631
577	Gsteigwiler	10.7134	61927.167630058
578	Gündlischwand	6.8438	55640.650406504
579	Habkern	9.0831	50182.872928177
580	Hofstetten bei Brienz	12.8441	61455.023923445
581	Interlaken	154.829	64111.387163561
582	Iseltwald	10.3123	60660.588235294
584	Lauterbrunnen	61.0873	62911.740473738
585	Leissigen	26.9201	68498.982188295
586	Lütschental	4.8198	51825.806451613
587	Matten bei Interlaken	99.918	62487.804878049
588	Niederried bei Interlaken	9.9151	61204.320987654
589	Oberried am Brienzersee	10.6657	57342.47311828
590	Ringgenberg (BE)	66.9101	64028.803827751
591	Saxeten	1.6984	53075
592	Schwanden bei Brienz	15.3755	64332.635983264
593	Unterseen	170.5096	70633.637116819
594	Wilderswil	67.3146	63926.495726496
602	Arni (BE)	20.6187	57594.134078212
603	Biglen	45.8639	66086.311239193
604	Bleiken bei Oberdiessbach	7.8439	63257.258064516
605	Bowil	29.996	57026.615969582
606	Brenzikofen	13.4361	61073.181818182
607	Freimettigen	11.4561	67388.823529412
608	Grosshöchstetten	93.9962	74246.603475513
609	Häutligen	6.9896	72808.333333333
610	Herbligen	13.0485	64917.910447761
611	Kiesen	27.1799	75499.722222222
612	Konolfingen	140.9035	69719.693221178
613	Landiswil	11.0166	54002.941176471
614	Linden	25.7839	63351.105651106
615	Mirchel	15.6678	69021.145374449
616	Münsingen	370.3427	80022.191011236
617	Niederhünigen	15.3295	68435.267857143
619	Oberdiessbach	89.4126	73228.992628993
620	Oberthal	16.6234	58123.776223776
622	Oppligen	18.0563	68395.075757576
623	Rubigen	102.2186	80297.40769835
624	Schlosswil	17.8606	67653.787878788
625	Tägertschi	12.024	74222.222222222
626	Walkringen	42.0667	60790.028901734
627	Worb	363.5724	76703.037974683
628	Zäziwil	40.704	64201.892744479
629	Oberhünigen	5.9951	56557.547169811
630	Allmendingen	20.7937	88483.829787234
631	Trimstein	15.5322	76138.235294118
632	Wichtrach	130.0802	77382.629387269
661	Clavaleyres	0.9432	47160
662	Ferenbalm	37.112	71369.230769231
663	Frauenkappelen	45.4369	81721.043165468
664	Golaten	8.7684	67449.230769231
665	Gurbrü	6.5156	70821.739130435
666	Kriechenwil	11.4521	66971.34502924
667	Laupen	88.5547	74228.583403185
668	Mühleberg	90.5799	74551.358024691
669	Münchenwiler	13.2405	71959.239130435
670	Neuenegg	149.281	72678.188899708
671	Wileroltigen	8.9994	66172.058823529
681	Belprahon	9.3178	77648.333333333
682	Bévilard	43.5548	62221.142857143
683	Champoz	4.2437	88410.416666667
684	Châtelat	1.33	49259.259259259
687	Corcelles (BE)	5.7174	64240.449438202
690	Court	38.2233	69245.108695652
691	Crémines	14.7736	65369.911504425
692	Eschert	9.5612	67809.929078014
694	Grandval	8.7606	57635.52631579
696	Loveresse	8.1795	68162.5
697	Malleray	51.5247	67002.210663199
699	Monible	0.8034	61800
700	Moutier	195.221	64557.208994709
701	Perrefitte	13.0931	68550.261780105
702	Pontenet	5.7801	70489.024390244
703	Reconvilier	56.5361	63239.485458613
704	Roches (BE)	5.5938	58268.75
706	Saicourt	14.0951	64656.422018349
707	Saules (BE)	3.1989	58161.818181818
708	Schelten	0.4265	53312.5
709	Seehof	1.0079	43821.739130435
710	Sornetan	2.4468	58257.142857143
711	Sorvilier	7.8806	62544.444444445
712	Souboz	2.333	56902.43902439
713	Tavannes	84.4874	62123.088235294
715	Rebévelier	0.5075	42291.666666667
721	Diesse	12.5783	66551.851851852
722	Lamboing	17.4067	70188.306451613
723	La Neuveville	126.697	81477.170418006
724	Nods	21.4302	77087.050359712
725	Prêles	28.3861	77770.136986301
731	Aegerten	51.3738	67508.278580815
732	Bellmund	64.2208	103248.87459807
733	Brügg	114.9905	66124.496837263
734	Bühl	14.1894	70244.554455445
735	Epsach	8.5438	60594.326241135
736	Hagneck	13.3117	69694.764397906
737	Hermrigen	7.6841	64572.268907563
738	Jens	22.4459	84067.041198502
739	Ipsach	140.5025	84436.598557692
740	Ligerz	21.8989	90866.804979253
741	Merzligen	14.2736	75124.210526316
742	Mörigen	42.3073	105242.039801
743	Nidau	194.0549	66708.456514266
744	Orpund	76.5328	68150.311665182
745	Port	125.4637	84317.002688172
746	Safnern	58.1485	76110.602094241
747	Scheuren	12.9427	71506.629834254
748	Schwadernau	21.1883	77048.363636364
749	Studen (BE)	88.0433	70831.295253419
750	Sutz-Lattrigen	46.4515	78731.355932203
751	Täuffelen	92.5304	77237.395659432
754	Walperswil	25.5915	71484.636871508
755	Worben	72.723	74511.270491803
756	Twann-Tüscherz	45.6744	87331.54875717
761	Därstetten	15.8511	54471.134020619
762	Diemtigen	40.2979	55430.398899587
763	Erlenbach im Simmental	38.2432	59848.513302034
764	Niederstocken	5.4895	57784.210526316
765	Oberstocken	5.4617	56892.708333333
766	Oberwil im Simmental	13.3444	52126.5625
767	Reutigen	25.272	62400
768	Spiez	397.2361	72967.689199118
769	Wimmis	58.1049	61163.052631579
781	Gadmen	4.5597	51232.584269663
782	Guttannen	6.9347	63042.727272727
783	Hasliberg	24.0905	59045.343137255
784	Innertkirchen	22.2127	66905.722891566
785	Meiringen	124.6181	65176.830543933
786	Schattenhalb	18.6684	82603.539823009
791	Boltigen	25.675	50641.025641026
792	Lenk	57.5244	62458.631921824
793	St. Stephan	27.701	57951.882845188
794	Zweisimmen	75.2289	63753.305084746
841	Gsteig	29.5038	79740
842	Lauenen	21.967	75229.452054794
843	Saanen	353.4404	124626.3751763
852	Guggisberg	26.7025	53086.48111332
853	Rüschegg	37.6699	59510.110584518
855	Schwarzenburg	175.1206	65076.402824229
861	Belp	358.6172	75181.802935011
862	Belpberg	10.2853	69968.027210884
863	Burgistein	24.85	64046.391752577
865	Gelterfingen	6.8683	56297.540983607
866	Gerzensee	41.999	90126.60944206
867	Gurzelen	17.7502	60580.887372014
868	Jaberg	8.3012	70950.427350427
869	Kaufdorf	31.3358	80348.205128205
870	Kehrsatz	134.0815	83332.19390926
871	Kienersrüti	1.1183	48621.739130435
872	Kirchdorf (BE)	26.3016	76236.52173913
873	Kirchenthurnen	7.077	59470.588235294
874	Lohnstorf	5.9942	76848.717948718
875	Mühledorf (BE)	8.8714	91457.731958763
876	Mühlethurnen	44.3635	75835.042735043
877	Niedermuhlern	12.3672	63097.959183673
878	Noflen	5.4562	59306.52173913
879	Riggisberg	66.2944	67235.69979716
880	Rüeggisberg	41.0025	59683.406113537
881	Rümligen	12.8873	66088.717948718
883	Seftigen	66.2211	72610.855263158
884	Toffen	84.475	78217.592592593
885	Uttigen	55.5466	74659.408602151
886	Wattenwil	64.7074	59914.259259259
888	Wald (BE)	35.4604	73114.226804124
901	Eggiwil	42.7846	52755.363748459
902	Langnau im Emmental	229.3367	63125.984035233
903	Lauperswil	59.7843	58669.578017664
904	Röthenbach im Emmental	20.2904	52026.666666667
905	Rüderswil	52.5785	59816.268486917
906	Schangnau	15.2028	52423.448275862
907	Signau	59.9805	57673.557692308
908	Trub	19.8189	50429.770992366
909	Trubschachen	28.755	56604.330708661
921	Amsoldingen	23.2474	74991.612903226
922	Blumenstein	28.2112	62552.549889135
923	Buchholterberg	34.9466	61417.574692443
924	Eriz	8.0891	48437.724550898
925	Fahrni	17.8164	61435.862068965
927	Heiligenschwendi	16.6024	61263.468634686
928	Heimberg	190.7844	68455.113024758
929	Hilterfingen	171.4025	93458.287895311
930	Höfen	10.4932	65582.5
931	Homberg	9.624	58682.926829268
932	Horrenbach-Buchen	4.0411	49890.12345679
934	Oberhofen am Thunersee	93.5415	83370.320855615
935	Oberlangenegg	8.7043	53075
936	Pohlern	5.6146	56713.131313131
937	Schwendibach	5.9187	59187
938	Sigriswil	141.2526	68736.058394161
939	Steffisburg	473.1219	68897.903014417
940	Teuffenthal (BE)	2.7139	56539.583333333
941	Thierachern	62.0545	70038.939051919
942	Thun	1321.8519	68379.902746883
943	Uebeschi	14.6712	62697.435897436
944	Uetendorf	171.9376	69413.645538958
945	Unterlangenegg	18.6667	58333.4375
946	Wachseldorn	4.0148	51471.794871795
947	Zwieselberg	6.51	71538.461538462
