Regions-ID	Regionsname	Reineinkommen in Mio. Franken	Reineinkommen pro Einwohner/-in in Franken
1	Aeugst am Albis	95.0149	49746.020942408
2	Affoltern am Albis	367.3212	32914.086021505
3	Bonstetten	224.6212	43421.844190992
4	Hausen am Albis	133.2593	39707.777115614
5	Hedingen	148.1618	42710.233496685
6	Kappel am Albis	38.2057	39964.121338912
7	Knonau	69.7504	36827.032734953
8	Maschwanden	20.7362	32349.76599064
9	Mettmenstetten	176.9877	40435.846470185
10	Obfelden	163.8947	34424.427641252
11	Ottenbach	97.7868	39766.897112647
12	Rifferswil	35.0016	37515.112540193
13	Stallikon	157.372	48052.519083969
14	Wettswil am Albis	247.4211	53857.444492817
21	Adlikon	22.2259	38519.757365685
22	Benken (ZH)	29.084	35511.5995116
23	Berg am Irchel	24.3791	41602.559726962
24	Buch am Irchel	32.2241	36044.85458613
25	Dachsen	71.5201	36564.468302658
26	Dorf	23.1024	36496.682464455
27	Feuerthalen	124.8063	35925.820379966
28	Flaach	43.0104	34435.868694956
29	Flurlingen	63.5522	44473.198040588
30	Andelfingen	83.3847	41944.014084507
31	Henggart	81.2507	36240.276538805
32	Humlikon	17.1299	35987.18487395
33	Kleinandelfingen	70.8547	34938.214990138
34	Laufen-Uhwiesen	63.2269	41324.77124183
35	Marthalen	70.3571	35569.817997978
36	Oberstammheim	33.3163	30150.497737557
37	Ossingen	43.2669	32049.555555556
38	Rheinau	42.9909	32593.555724033
39	Thalheim an der Thur	28.8608	32908.551881414
40	Trüllikon	33.8135	34051.863041289
41	Truttikon	13.2914	28461.241970021
42	Unterstammheim	27.9022	31599.320498301
43	Volken	11.0803	36092.182410423
44	Waltalingen	24.51	35676.855895197
51	Bachenbülach	147.7505	36983.854818523
52	Bassersdorf	440.7069	39454.512085945
53	Bülach	627.6081	35857.173056047
54	Dietlikon	291.4103	41014.820548909
55	Eglisau	167.7648	37272.783825816
56	Embrach	301.1051	33737.266106443
57	Freienstein-Teufen	83.7743	36759.23650724
58	Glattfelden	143.8661	32156.034868127
59	Hochfelden	73.6864	36659.900497512
60	Höri	69.038	28178.775510204
61	Hüntwangen	37.2822	38876.120959333
62	Kloten	637.2327	34993.558484349
63	Lufingen	77.7097	42510.776805252
64	Nürensdorf	268.211	51243.981658387
65	Oberembrach	39.1039	38832.075471698
66	Opfikon	513.4078	32098.018130666
67	Rafz	140.5673	34613.962078306
68	Rorbas	74.5859	30087.091569181
69	Wallisellen	588.3776	41803.026642984
70	Wasterkingen	19.2833	35252.833638026
71	Wil (ZH)	49.4731	38144.255975328
72	Winkel	224.0502	57316.50038373
81	Bachs	20.1198	35736.76731794
82	Boppelsen	67.7018	52441.363284276
83	Buchs (ZH)	205.1143	36016.558384548
84	Dällikon	125.3483	34323.192771084
85	Dänikon	70.3988	36800.209095661
86	Dielsdorf	202.7855	35144.800693241
87	Hüttikon	30.1451	45262.912912913
88	Neerach	181.5129	60103.609271523
89	Niederglatt	164.4005	36100.241545894
90	Niederhasli	288.0599	33444.781144781
91	Niederweningen	100.4498	36421.247280638
92	Oberglatt	174.0114	29094.031098478
93	Oberweningen	66.0036	37954.916618746
94	Otelfingen	96.6754	36955.428134557
95	Regensberg	22.7581	45698.995983936
96	Regensdorf	576.9229	34240.779868241
97	Rümlang	232.4268	33515.039653929
98	Schleinikon	27.1061	37543.074792244
99	Schöfflisdorf	54.7273	40389.151291513
100	Stadel	75.4185	38090.151515151
101	Steinmaur	121.5638	37600.927930714
102	Weiach	39.0901	37988.43537415
111	Bäretswil	167.9578	34431.693316933
112	Bubikon	255.8394	37756.700118064
113	Dürnten	220.1152	31204.309611568
114	Fischenthal	59.3233	25449.721149721
115	Gossau (ZH)	365.2687	37792.933264356
116	Grüningen	125.1272	39249.435382685
117	Hinwil	379.1421	35907.008239417
118	Rüti (ZH)	362.2426	30649.175057111
119	Seegräben	50.47	39033.255993813
120	Wald (ZH)	250.167	27124.254580939
121	Wetzikon (ZH)	742.7339	32764.299263311
131	Adliswil	692.6317	39538.286334056
132	Hirzel	85.208	40555.925749643
133	Horgen	894.7467	46857.643362137
134	Hütten	28.1916	30945.773874863
135	Kilchberg (ZH)	829.2465	109543.79128137
136	Langnau am Albis	331.5468	45933.333333333
137	Oberrieden	327.7651	65935.445584389
138	Richterswil	516.7937	41070.785981086
139	Rüschlikon	1788.8267	331755.69362018
140	Schönenberg (ZH)	83.6315	44132.7176781
141	Thalwil	1010.7387	58471.520305449
142	Wädenswil	832.4505	39887.422137039
151	Erlenbach (ZH)	466.8824	88676.619183286
152	Herrliberg	524.0015	85481.484502447
153	Hombrechtikon	304.4444	37604.298418972
154	Küsnacht (ZH)	1290.7765	95443.396923987
155	Männedorf	517.8549	49598.208983814
156	Meilen	816.9011	64297.607241244
157	Oetwil am See	136.6004	30315.224145584
158	Stäfa	699.8976	50403.111047098
159	Uetikon am See	328.0396	56123.113772455
160	Zumikon	536.9122	104295.2991453
161	Zollikon	1023.5384	84568.982896802
171	Bauma	124.5785	29619.234427009
172	Fehraltorf	230.229	39048.337856174
173	Hittnau	129.5383	37330.922190202
174	Illnau-Effretikon	542.7513	33996.323207015
175	Kyburg	16.3951	38396.018735363
176	Lindau	191.2987	37664.638708407
177	Pfäffikon	402.6052	37195.602365115
178	Russikon	172.1405	41680.508474576
179	Sternenberg	9.1252	26146.70487106
180	Weisslingen	126.6197	39519.257178527
181	Wila	60.4912	31654.212454212
182	Wildberg	33.5106	33951.975683891
191	Dübendorf	956.2671	38137.796123475
192	Egg	365.8048	44496.387300815
193	Fällanden	358.5509	44424.594226242
194	Greifensee	214.3017	41806.808427624
195	Maur	562.3156	58844.244453746
196	Mönchaltorf	125.2471	36387.88495061
197	Schwerzenbach	177.1723	39119.51865754
198	Uster	1267.912	38920.465358996
199	Volketswil	680.8867	38677.953874119
200	Wangen-Brüttisellen	308.2563	40656.330783435
211	Altikon	20.495	33003.220611916
212	Bertschikon	35.0296	33393.326978074
213	Brütten	100.0696	51635.500515996
214	Dägerlen	31.522	31712.273641851
215	Dättlikon	28.646	38348.058902276
216	Dinhard	53.122	37383.532723434
217	Elgg	137.0487	34185.25816912
218	Ellikon an der Thur	31.3764	35373.618940248
219	Elsau	123.1544	36609.512485137
220	Hagenbuch	35.7209	32711.446886447
221	Hettlingen	131.7562	43933.377792598
222	Hofstetten (ZH)	11.7226	24836.016949153
223	Neftenbach	210.3111	39591.698042169
224	Pfungen	96.9031	29275.86102719
225	Rickenbach (ZH)	92.4494	36411.736904293
226	Schlatt (ZH)	21.6583	29387.10990502
227	Seuzach	313.7932	44377.485504172
228	Turbenthal	114.8249	26878.487827715
229	Wiesendangen	197.5586	40524.841025641
230	Winterthur	3514.1402	34093.040989571
231	Zell (ZH)	158.198	29096.560603274
241	Aesch (ZH)	58.7868	54031.985294118
242	Birmensdorf (ZH)	254.0003	42854.783195546
243	Dietikon	662.4909	27394.901377
244	Geroldswil	197.6271	42012.56377551
245	Oberengstringen	247.232	38672.297825747
246	Oetwil an der Limmat	118.4728	50781.311615945
247	Schlieren	454.7871	27169.311189438
248	Uitikon	342.2884	86787.119675456
249	Unterengstringen	165.5863	49296.308425127
250	Urdorf	346.1916	37389.739712712
251	Weiningen (ZH)	171.6169	40266.752698264
261	Zürich	15620.965	41436.019523064
301	Aarberg	132.0368	32322.3500612
302	Bargen (BE)	27.9746	28171.802618328
303	Grossaffoltern	82.2306	29600.647948164
304	Kallnach	44.335	28365.323096609
305	Kappelen	41.6443	32332.531055901
306	Lyss	432.041	31017.373824395
307	Meikirch	86.8391	36610.075885329
308	Niederried bei Kallnach	8.6945	29472.881355932
309	Radelfingen	37.5814	31660.825610784
310	Rapperswil (BE)	67.5414	31709.577464789
311	Schüpfen	110.6006	31438.487777146
312	Seedorf (BE)	91.3152	30735.509929317
321	Aarwangen	125.1028	29814.775977121
322	Auswil	9.7998	21585.462555066
323	Bannwil	17.5539	26044.362017804
324	Bleienbach	20.1499	30576.479514416
325	Busswil bei Melchnau	5.3221	26088.725490196
326	Gondiswil	15.7351	21703.586206897
329	Langenthal	455.6354	30192.525346233
331	Lotzwil	61.6314	24901.575757576
332	Madiswil	82.8179	26459.392971246
333	Melchnau	39.4432	25898.358502955
334	Obersteckholz	10.4278	24364.018691589
335	Oeschenbach	5.2231	21762.916666667
336	Reisiswil	4.0814	21943.010752688
337	Roggwil (BE)	97.1391	25152.537545313
338	Rohrbach	32.8919	23114.476458187
339	Rohrbachgraben	7.0518	16992.289156626
340	Rütschelen	13.7442	24499.465240642
341	Schwarzhäusern	13.3512	27415.195071869
342	Thunstetten	81.6913	26574.918672739
344	Ursenbach	18.1512	20145.615982242
345	Wynau	40.6302	26818.613861386
351	Bern	4485.7087	35691.223812669
352	Bolligen	256.3503	42477.265948633
353	Bremgarten bei Bern	188.0829	44527.201704545
354	Kirchlindach	122.82	43522.324592488
355	Köniz	1384.7035	35563.57869324
356	Muri bei Bern	711.787	56108.071890273
357	Oberbalm	21.6822	24979.493087558
358	Stettlen	110.5316	38246.228373702
359	Vechigen	166.2675	35443.935195054
360	Wohlen bei Bern	370.3463	41625.975047769
361	Zollikofen	349.3289	35660.361371989
362	Ittigen	400.8163	36567.493841803
363	Ostermundigen	470.8602	29987.275506305
371	Biel/Bienne	1381.7033	26759.045221265
372	Evilard	112.599	46052.760736196
381	Arch	42.6166	27853.986928105
382	Büetigen	22.7761	28685.264483627
383	Büren an der Aare	98.4245	29699.607724804
385	Diessbach bei Büren	31.5836	35328.41163311
386	Dotzigen	37.0244	26926.836363636
387	Lengnau (BE)	131.7488	28616.15986099
388	Leuzigen	33.0159	27721.158690176
389	Meienried	2.2181	40329.090909091
390	Meinisberg	36.0677	27830.015432099
391	Oberwil bei Büren	22.4943	27365.328467153
392	Pieterlen	96.7053	26221.610629067
393	Rüti bei Büren	22.8661	28264.647713226
394	Wengi	16.2328	26394.796747967
401	Aefligen	30.0041	28794.72168906
402	Alchenstorf	15.1081	26645.679012346
403	Bäriswil	37.3768	36608.031341822
404	Burgdorf	469.1865	30106.936601643
405	Ersigen	47.7927	29629.696218227
406	Hasle bei Burgdorf	76.1907	23929.239949749
407	Heimiswil	39.2999	24409.875776398
408	Hellsau	5.0576	26205.18134715
409	Hindelbank	66.7614	32251.884057971
410	Höchstetten	6.6675	25843.023255814
411	Kernenried	11.2242	25222.921348315
412	Kirchberg (BE)	182.4705	32572.384862549
413	Koppigen	59.9798	29229.922027291
414	Krauchthal	67.7917	29182.823934567
415	Lyssach	45.178	31726.123595506
