Regions-ID	Regionsname	Steuerbares Einkommen in Mio. Franken	Steuerbares Einkommen pro Steuerpflichtigem/-r in Franken
1	Aeugst am Albis	87.4327	101312.51448436
2	Affoltern am Albis	332.3378	69921.691563223
3	Bonstetten	203.0771	88563.933711295
4	Hausen am Albis	120.0499	85323.312011372
5	Hedingen	133.6784	91310.382513661
6	Kappel am Albis	34.5236	87846.31043257
7	Knonau	62.3321	80741.062176166
8	Maschwanden	18.4498	66366.18705036
9	Mettmenstetten	159.5923	84979.925452609
10	Obfelden	146.5302	75608.978328173
11	Ottenbach	88.1979	82120.94972067
12	Rifferswil	31.4049	85108.130081301
13	Stallikon	143.3922	96107.372654155
14	Wettswil am Albis	226.9114	106781.83529412
21	Adlikon	20.2959	77170.72243346
22	Benken (ZH)	26.1693	73303.361344538
23	Berg am Irchel	22.0597	80804.761904762
24	Buch am Irchel	28.8373	80551.117318436
25	Dachsen	63.8813	82109.640102828
26	Dorf	20.5912	84737.448559671
27	Feuerthalen	112.4432	71665.519439133
28	Flaach	38.4374	73776.199616123
29	Flurlingen	57.8825	89879.658385093
30	Andelfingen	76.1612	93564.127764128
31	Henggart	72.2889	77730
32	Humlikon	15.144	82304.347826087
33	Kleinandelfingen	63.2403	74138.686987104
34	Laufen-Uhwiesen	57.3528	86115.315315315
35	Marthalen	63.0801	72756.747404844
36	Oberstammheim	29.4037	64340.700218818
37	Ossingen	38.5889	67938.204225352
38	Rheinau	38.4228	70371.428571429
39	Thalheim an der Thur	25.9991	72019.667590028
40	Trüllikon	30.2257	67168.222222222
41	Truttikon	11.8218	67169.318181818
42	Unterstammheim	24.8754	72312.209302326
43	Volken	10.0147	78855.905511811
44	Waltalingen	21.81	75993.031358885
51	Bachenbülach	133.8413	78591.485613623
52	Bassersdorf	399.1121	80304.245472837
53	Bülach	571.3175	73283.414571575
54	Dietlikon	266.2598	81400.122286763
55	Eglisau	151.077	82465.611353712
56	Embrach	271.5171	73204.933944459
57	Freienstein-Teufen	74.8649	76863.347022587
58	Glattfelden	129.0628	69538.146551724
59	Hochfelden	65.7483	78740.479041916
60	Höri	62.1032	65648.202959831
61	Hüntwangen	33.4448	82173.955773956
62	Kloten	582.2129	70426.140074997
63	Lufingen	69.954	89684.615384615
64	Nürensdorf	248.2256	100659.20519059
65	Oberembrach	35.8159	78543.640350877
66	Opfikon	470.266	69299.440023578
67	Rafz	125.4562	75576.024096386
68	Rorbas	67.0988	68259.206510682
69	Wallisellen	540.7588	81587.024743512
70	Wasterkingen	17.18	70122.448979592
71	Wil (ZH)	44.5481	79835.304659498
72	Winkel	207.4274	103765.5827914
81	Bachs	17.8696	70911.111111111
82	Boppelsen	61.9345	110795.16994633
83	Buchs (ZH)	185.5961	75445.569105691
84	Dällikon	113.2788	72894.980694981
85	Dänikon	63.5882	83889.44591029
86	Dielsdorf	183.7531	73208.406374502
87	Hüttikon	27.3623	85775.235109718
88	Neerach	168.9389	108086.30838132
89	Niederglatt	148.5185	71782.745287578
90	Niederhasli	258.901	70622.204037098
91	Niederweningen	88.9524	82059.409594096
92	Oberglatt	156.8766	64505.180921053
93	Oberweningen	59.6966	82796.948682386
94	Otelfingen	87.0837	78595.397111913
95	Regensberg	20.887	94511.312217195
96	Regensdorf	523.8852	73198.993991896
97	Rümlang	211.2126	69984.294234592
98	Schleinikon	24.2958	75687.85046729
99	Schöfflisdorf	49.3579	78595.382165605
100	Stadel	68.0525	75030.319735391
101	Steinmaur	110.2842	75901.032346869
102	Weiach	35.4503	75426.170212766
111	Bäretswil	150.7245	72013.616817965
112	Bubikon	229.135	79203.249222261
113	Dürnten	196.341	69946.91841824
114	Fischenthal	52.5302	61510.772833724
115	Gossau (ZH)	329.3928	77944.344533838
116	Grüningen	113.1054	80616.821097648
117	Hinwil	343.3495	72436.603375527
118	Rüti (ZH)	325.8615	63781.855549031
119	Seegräben	45.49	82558.983666062
120	Wald (ZH)	223.5853	60559.398699892
121	Wetzikon (ZH)	670.6859	67405.618090452
131	Adliswil	635.4087	83168.678010471
132	Hirzel	76.675	88847.045191193
133	Horgen	825.1416	93947.580553342
134	Hütten	25.225	70460.893854749
135	Kilchberg (ZH)	798.8562	206422.79069767
136	Langnau am Albis	303.6833	91223.580654851
137	Oberrieden	306.4842	123234.49939686
138	Richterswil	469.7878	84236.650528958
139	Rüschlikon	1765.9503	689016.89426453
140	Schönenberg (ZH)	76.2787	90270.650887574
141	Thalwil	942.2618	108806.21247113
142	Wädenswil	761.31	80904.35706695
151	Erlenbach (ZH)	443.4481	180777.8638402
152	Herrliberg	497.2163	176005.7699115
153	Hombrechtikon	276.5592	79608.29015544
154	Küsnacht (ZH)	1233.2524	184232.50672244
155	Männedorf	474.3591	98969.142499478
156	Meilen	765.5274	124052.40641711
157	Oetwil am See	122.4048	68344.388609715
158	Stäfa	644.5761	98649.540863177
159	Uetikon am See	302.9969	119008.99450118
160	Zumikon	514.7322	215911.15771812
161	Zollikon	972.538	159015.36952256
171	Bauma	111.6872	67119.711538462
172	Fehraltorf	208.5246	76889.601769912
173	Hittnau	115.7919	78931.083844581
174	Illnau-Effretikon	493.6614	69854.45026178
175	Kyburg	14.8268	81916.022099447
176	Lindau	171.8499	81638.90736342
177	Pfäffikon	365.8085	73692.284448026
178	Russikon	156.0677	86177.636664826
179	Sternenberg	8.1746	60552.592592593
180	Weisslingen	114.4602	84410.17699115
181	Wila	54.0098	62948.484848485
182	Wildberg	30.0425	72391.56626506
191	Dübendorf	874.1073	75785.269637593
192	Egg	333.8634	91948.05838612
193	Fällanden	329.3164	89805.399509136
194	Greifensee	195.5128	82634.319526627
195	Maur	521.0074	117821.66440525
196	Mönchaltorf	113.1076	74658.481848185
197	Schwerzenbach	161.3559	78710.195121951
198	Uster	1152.4376	77050.050143745
199	Volketswil	618.6456	80114.685314685
200	Wangen-Brüttisellen	279.4213	83086.916443651
211	Altikon	18.2939	67256.985294118
212	Bertschikon	30.9748	69140.178571429
213	Brütten	91.5803	97633.582089552
214	Dägerlen	27.6913	72680.577427821
215	Dättlikon	25.5769	84973.089700997
216	Dinhard	48.0298	82953.022452504
217	Elgg	123.5465	71996.794871795
218	Ellikon an der Thur	27.9037	77943.296089386
219	Elsau	110.7801	76505.593922652
220	Hagenbuch	32.0885	65890.143737166
221	Hettlingen	118.3182	100954.09556314
222	Hofstetten (ZH)	10.2624	65365.605095541
223	Neftenbach	189.6374	82200.866926745
224	Pfungen	87.2033	68234.194053208
225	Rickenbach (ZH)	82.723	76102.115915363
226	Schlatt (ZH)	19.1973	71631.716417911
