Regions-ID	Regionsname	Steuerbares Einkommen in Mio. Franken	Steuerbares Einkommen pro Einwohner/-in in Franken
1	Aeugst am Albis	87.4327	45776.282722513
2	Affoltern am Albis	332.3378	29779.372759857
3	Bonstetten	203.0771	39257.123526
4	Hausen am Albis	120.0499	35771.722288439
5	Hedingen	133.6784	38535.139809743
6	Kappel am Albis	34.5236	36112.552301255
7	Knonau	62.3321	32910.295670539
8	Maschwanden	18.4498	28782.839313572
9	Mettmenstetten	159.5923	36461.571852867
10	Obfelden	146.5302	30777.189666036
11	Ottenbach	88.1979	35867.385115901
12	Rifferswil	31.4049	33660.128617363
13	Stallikon	143.3922	43783.877862595
14	Wettswil am Albis	226.9114	49392.99085764
21	Adlikon	20.2959	35174.870017331
22	Benken (ZH)	26.1693	31952.747252747
23	Berg am Irchel	22.0597	37644.539249147
24	Buch am Irchel	28.8373	32256.487695749
25	Dachsen	63.8813	32659.151329243
26	Dorf	20.5912	32529.541864139
27	Feuerthalen	112.4432	32367.069660334
28	Flaach	38.4374	30774.539631705
29	Flurlingen	57.8825	40505.598320504
30	Andelfingen	76.1612	38310.46277666
31	Henggart	72.2889	32243.041926851
32	Humlikon	15.144	31815.12605042
33	Kleinandelfingen	63.2403	31183.579881657
34	Laufen-Uhwiesen	57.3528	37485.490196078
35	Marthalen	63.0801	31890.84934277
36	Oberstammheim	29.4037	26609.683257919
37	Ossingen	38.5889	28584.37037037
38	Rheinau	38.4228	29130.250189537
39	Thalheim an der Thur	25.9991	29645.496009122
40	Trüllikon	30.2257	30438.771399799
41	Truttikon	11.8218	25314.346895075
42	Unterstammheim	24.8754	28171.460928652
43	Volken	10.0147	32621.172638436
44	Waltalingen	21.81	31746.72489083
51	Bachenbülach	133.8413	33502.202753442
52	Bassersdorf	399.1121	35730.716204118
53	Bülach	571.3175	32641.118665372
54	Dietlikon	266.2598	37474.989444053
55	Eglisau	151.077	33565.207731615
56	Embrach	271.5171	30422.084033613
57	Freienstein-Teufen	74.8649	32849.890302764
58	Glattfelden	129.0628	28847.295485025
59	Hochfelden	65.7483	32710.597014925
60	Höri	62.1032	25348.244897959
61	Hüntwangen	33.4448	34874.661105318
62	Kloten	582.2129	31972.152663372
63	Lufingen	69.954	38268.052516411
64	Nürensdorf	248.2256	47425.601834161
65	Oberembrach	35.8159	35566.931479643
66	Opfikon	470.266	29400.812753986
67	Rafz	125.4562	30892.932775178
68	Rorbas	67.0988	27066.88180718
69	Wallisellen	540.7588	38419.808170515
70	Wasterkingen	17.18	31407.678244973
71	Wil (ZH)	44.5481	34347.031611411
