Regions-ID	Regionsname	Anzahl Kinos
1	Aeugst am Albis	0
2	Affoltern am Albis	1
3	Bonstetten	0
4	Hausen am Albis	0
5	Hedingen	0
6	Kappel am Albis	0
7	Knonau	0
8	Maschwanden	0
9	Mettmenstetten	0
10	Obfelden	0
11	Ottenbach	0
12	Rifferswil	0
13	Stallikon	0
14	Wettswil am Albis	0
21	Adlikon	0
22	Benken (ZH)	0
23	Berg am Irchel	0
24	Buch am Irchel	0
25	Dachsen	0
26	Dorf	0
27	Feuerthalen	0
28	Flaach	0
29	Flurlingen	0
30	Andelfingen	0
31	Henggart	0
32	Humlikon	0
33	Kleinandelfingen	0
34	Laufen-Uhwiesen	0
35	Marthalen	0
36	Oberstammheim	0
37	Ossingen	0
38	Rheinau	0
39	Thalheim an der Thur	0
40	Trüllikon	0
41	Truttikon	0
42	Unterstammheim	0
43	Volken	0
44	Waltalingen	0
51	Bachenbülach	0
52	Bassersdorf	0
53	Bülach	2
54	Dietlikon	1
55	Eglisau	0
56	Embrach	0
57	Freienstein-Teufen	1
58	Glattfelden	0
59	Hochfelden	0
60	Höri	0
61	Hüntwangen	0
62	Kloten	1
63	Lufingen	0
64	Nürensdorf	0
65	Oberembrach	0
66	Opfikon	0
67	Rafz	0
68	Rorbas	0
69	Wallisellen	0
70	Wasterkingen	0
71	Wil (ZH)	0
72	Winkel	0
81	Bachs	0
82	Boppelsen	0
83	Buchs (ZH)	0
84	Dällikon	0
85	Dänikon	0
86	Dielsdorf	0
87	Hüttikon	0
88	Neerach	0
89	Niederglatt	0
90	Niederhasli	0
91	Niederweningen	0
92	Oberglatt	0
93	Oberweningen	0
94	Otelfingen	0
95	Regensberg	0
96	Regensdorf	0
97	Rümlang	0
98	Schleinikon	0
99	Schöfflisdorf	0
100	Stadel	0
101	Steinmaur	0
102	Weiach	0
111	Bäretswil	0
112	Bubikon	0
113	Dürnten	0
114	Fischenthal	0
115	Gossau (ZH)	0
116	Grüningen	0
117	Hinwil	0
118	Rüti (ZH)	0
119	Seegräben	0
120	Wald (ZH)	0
121	Wetzikon (ZH)	2
131	Adliswil	0
132	Hirzel	0
133	Horgen	0
134	Hütten	0
135	Kilchberg (ZH)	0
136	Langnau am Albis	0
137	Oberrieden	0
138	Richterswil	0
139	Rüschlikon	0
140	Schönenberg (ZH)	0
141	Thalwil	0
142	Wädenswil	1
151	Erlenbach (ZH)	0
152	Herrliberg	0
153	Hombrechtikon	0
154	Küsnacht (ZH)	0
155	Männedorf	1
156	Meilen	0
157	Oetwil am See	0
158	Stäfa	0
159	Uetikon am See	0
160	Zumikon	0
161	Zollikon	0
171	Bauma	0
172	Fehraltorf	0
173	Hittnau	0
174	Illnau-Effretikon	0
175	Kyburg	0
176	Lindau	0
177	Pfäffikon	1
178	Russikon	0
179	Sternenberg	0
180	Weisslingen	0
181	Wila	0
182	Wildberg	0
191	Dübendorf	1
192	Egg	0
193	Fällanden	0
194	Greifensee	0
195	Maur	0
196	Mönchaltorf	0
197	Schwerzenbach	0
198	Uster	1
199	Volketswil	1
200	Wangen-Brüttisellen	0
211	Altikon	0
213	Brütten	0
214	Dägerlen	0
215	Dättlikon	0
216	Dinhard	0
217	Elgg	0
218	Ellikon an der Thur	0
219	Elsau	0
220	Hagenbuch	0
221	Hettlingen	0
222	Hofstetten (ZH)	0
223	Neftenbach	0
224	Pfungen	0
225	Rickenbach (ZH)	0
226	Schlatt (ZH)	0
227	Seuzach	0
228	Turbenthal	0
230	Winterthur	4
231	Zell (ZH)	0
241	Aesch (ZH)	0
242	Birmensdorf (ZH)	0
243	Dietikon	1
244	Geroldswil	0
245	Oberengstringen	0
246	Oetwil an der Limmat	0
247	Schlieren	0
248	Uitikon	0
249	Unterengstringen	0
250	Urdorf	0
251	Weiningen (ZH)	0
261	Zürich	17
298	Wiesendangen	0
301	Aarberg	1
302	Bargen (BE)	0
303	Grossaffoltern	0
304	Kallnach	0
305	Kappelen	0
306	Lyss	1
307	Meikirch	0
309	Radelfingen	0
310	Rapperswil (BE)	0
311	Schüpfen	0
312	Seedorf (BE)	0
321	Aarwangen	0
322	Auswil	0
323	Bannwil	0
324	Bleienbach	0
325	Busswil bei Melchnau	0
326	Gondiswil	0
329	Langenthal	1
331	Lotzwil	0
332	Madiswil	0
333	Melchnau	0
334	Obersteckholz	0
335	Oeschenbach	0
336	Reisiswil	0
337	Roggwil (BE)	0
338	Rohrbach	0
339	Rohrbachgraben	0
340	Rütschelen	0
341	Schwarzhäusern	0
342	Thunstetten	0
344	Ursenbach	0
345	Wynau	0
351	Bern	18
352	Bolligen	0
353	Bremgarten bei Bern	0
354	Kirchlindach	0
355	Köniz	0
356	Muri bei Bern	0
357	Oberbalm	0
358	Stettlen	0
359	Vechigen	0
360	Wohlen bei Bern	0
361	Zollikofen	0
362	Ittigen	0
363	Ostermundigen	0
371	Biel/Bienne	6
372	Evilard	0
381	Arch	0
382	Büetigen	0
383	Büren an der Aare	0
385	Diessbach bei Büren	0
386	Dotzigen	0
387	Lengnau (BE)	0
388	Leuzigen	0
389	Meienried	0
390	Meinisberg	0
391	Oberwil bei Büren	0
392	Pieterlen	0
393	Rüti bei Büren	0
394	Wengi	0
401	Aefligen	0
402	Alchenstorf	0
403	Bäriswil	0
404	Burgdorf	2
405	Ersigen	0
406	Hasle bei Burgdorf	0
407	Heimiswil	0
408	Hellsau	0
409	Hindelbank	0
410	Höchstetten	0
411	Kernenried	0
412	Kirchberg (BE)	0
413	Koppigen	0
414	Krauchthal	0
415	Lyssach	0
416	Mötschwil	0
417	Niederösch	0
418	Oberburg	0
419	Oberösch	0
420	Rüdtligen-Alchenflüh	0
421	Rumendingen	0
422	Rüti bei Lyssach	0
423	Willadingen	0
424	Wynigen	0
431	Corgémont	0
432	Cormoret	0
433	Cortébert	0
434	Courtelary	0
435	La Ferrière	0
436	La Heutte	0
437	Mont-Tramelan	0
438	Orvin	0
439	Péry	0
441	Renan (BE)	0
442	Romont (BE)	0
443	Saint-Imier	1
444	Sonceboz-Sombeval	0
445	Sonvilier	0
446	Tramelan	1
448	Villeret	0
449	Sauge	0
491	Brüttelen	0
492	Erlach	0
493	Finsterhennen	0
494	Gals	0
495	Gampelen	0
496	Ins	1
497	Lüscherz	0
498	Müntschemier	0
499	Siselen	0
500	Treiten	0
501	Tschugg	0
502	Vinelz	0
532	Bangerten	0
533	Bätterkinden	0
535	Deisswil bei Münchenbuchsee	0
536	Diemerswil	0
538	Fraubrunnen	0
540	Jegenstorf	0
541	Iffwil	0
543	Mattstetten	0
544	Moosseedorf	0
546	Münchenbuchsee	0
551	Urtenen-Schönbühl	0
552	Utzenstorf	0
553	Wiggiswil	0
554	Wiler bei Utzenstorf	0
556	Zielebach	0
557	Zuzwil (BE)	0
561	Adelboden	1
562	Aeschi bei Spiez	0
563	Frutigen	0
564	Kandergrund	0
565	Kandersteg	0
566	Krattigen	0
567	Reichenbach im Kandertal	0
571	Beatenberg	0
572	Bönigen	0
573	Brienz (BE)	1
574	Brienzwiler	0
575	Därligen	0
576	Grindelwald	0
577	Gsteigwiler	0
578	Gündlischwand	0
579	Habkern	0
580	Hofstetten bei Brienz	0
581	Interlaken	1
582	Iseltwald	0
584	Lauterbrunnen	1
585	Leissigen	0
586	Lütschental	0
587	Matten bei Interlaken	0
588	Niederried bei Interlaken	0
589	Oberried am Brienzersee	0
590	Ringgenberg (BE)	0
591	Saxeten	0
592	Schwanden bei Brienz	0
593	Unterseen	0
594	Wilderswil	0
602	Arni (BE)	0
603	Biglen	0
605	Bowil	0
606	Brenzikofen	0
607	Freimettigen	0
608	Grosshöchstetten	0
609	Häutligen	0
610	Herbligen	0
611	Kiesen	0
612	Konolfingen	1
613	Landiswil	0
614	Linden	0
615	Mirchel	0
616	Münsingen	0
617	Niederhünigen	0
619	Oberdiessbach	0
620	Oberthal	0
622	Oppligen	0
623	Rubigen	0
624	Schlosswil	0
625	Tägertschi	0
626	Walkringen	0
627	Worb	1
628	Zäziwil	0
629	Oberhünigen	0
630	Allmendingen	0
632	Wichtrach	0
661	Clavaleyres	0
662	Ferenbalm	0
663	Frauenkappelen	0
664	Golaten	0
665	Gurbrü	0
666	Kriechenwil	0
667	Laupen	1
668	Mühleberg	0
669	Münchenwiler	0
670	Neuenegg	0
671	Wileroltigen	0
681	Belprahon	0
682	Bévilard	1
683	Champoz	0
684	Châtelat	0
687	Corcelles (BE)	0
690	Court	0
691	Crémines	0
692	Eschert	0
694	Grandval	0
696	Loveresse	0
697	Malleray	0
699	Monible	0
700	Moutier	1
701	Perrefitte	0
702	Pontenet	0
703	Reconvilier	0
704	Roches (BE)	0
706	Saicourt	0
707	Saules (BE)	0
708	Schelten	0
709	Seehof	0
710	Sornetan	0
711	Sorvilier	0
712	Souboz	0
713	Tavannes	1
715	Rebévelier	0
723	La Neuveville	1
724	Nods	0
726	Plateau de Diesse	0
731	Aegerten	0
732	Bellmund	0
733	Brügg	0
734	Bühl	0
735	Epsach	0
736	Hagneck	0
737	Hermrigen	0
738	Jens	0
739	Ipsach	0
740	Ligerz	0
741	Merzligen	0
742	Mörigen	0
743	Nidau	0
744	Orpund	0
745	Port	0
746	Safnern	0
747	Scheuren	0
748	Schwadernau	0
749	Studen (BE)	0
750	Sutz-Lattrigen	0
751	Täuffelen	0
754	Walperswil	0
755	Worben	0
756	Twann-Tüscherz	0
761	Därstetten	0
762	Diemtigen	0
763	Erlenbach im Simmental	0
766	Oberwil im Simmental	0
767	Reutigen	0
768	Spiez	1
769	Wimmis	0
770	Stocken-Höfen	0
782	Guttannen	0
783	Hasliberg	0
784	Innertkirchen	0
785	Meiringen	1
786	Schattenhalb	0
791	Boltigen	0
792	Lenk	1
793	St. Stephan	0
794	Zweisimmen	0
841	Gsteig	0
842	Lauenen	0
843	Saanen	1
852	Guggisberg	0
853	Rüschegg	0
855	Schwarzenburg	0
861	Belp	1
863	Burgistein	0
865	Gelterfingen	0
866	Gerzensee	0
867	Gurzelen	0
868	Jaberg	0
869	Kaufdorf	0
870	Kehrsatz	0
872	Kirchdorf (BE)	0
873	Kirchenthurnen	0
874	Lohnstorf	0
875	Mühledorf (BE)	0
876	Mühlethurnen	0
877	Niedermuhlern	0
878	Noflen	0
879	Riggisberg	0
880	Rüeggisberg	0
881	Rümligen	0
883	Seftigen	0
884	Toffen	0
885	Uttigen	0
886	Wattenwil	0
888	Wald (BE)	0
901	Eggiwil	0
902	Langnau im Emmental	1
903	Lauperswil	0
904	Röthenbach im Emmental	0
905	Rüderswil	0
906	Schangnau	0
907	Signau	1
908	Trub	0
909	Trubschachen	0
921	Amsoldingen	0
922	Blumenstein	0
923	Buchholterberg	0
924	Eriz	0
925	Fahrni	0
927	Heiligenschwendi	0
928	Heimberg	0
929	Hilterfingen	0
931	Homberg	0
932	Horrenbach-Buchen	0
934	Oberhofen am Thunersee	0
935	Oberlangenegg	0
936	Pohlern	0
937	Schwendibach	0
938	Sigriswil	0
939	Steffisburg	0
940	Teuffenthal (BE)	0
941	Thierachern	0
942	Thun	4
943	Uebeschi	0
944	Uetendorf	0
945	Unterlangenegg	0
946	Wachseldorn	0
947	Zwieselberg	0
948	Forst-Längenbühl	0
951	Affoltern im Emmental	0
952	Dürrenroth	0
953	Eriswil	0
954	Huttwil	0
955	Lützelflüh	0
956	Rüegsau	0
957	Sumiswald	1
958	Trachselwald	0
959	Walterswil (BE)	0
960	Wyssachen	0
971	Attiswil	0
972	Berken	0
973	Bettenhausen	0
975	Farnern	0
976	Graben	0
977	Heimenhausen	0
978	Hermiswil	0
979	Herzogenbuchsee	0
980	Inkwil	0
981	Niederbipp	0
982	Niederönz	0
983	Oberbipp	0
985	Ochlenberg	0
987	Rumisberg	0
988	Seeberg	0
989	Thörigen	0
990	Walliswil bei Niederbipp	0
991	Walliswil bei Wangen	0
992	Wangen an der Aare	0
993	Wangenried	0
995	Wiedlisbach	0
996	Wolfisberg	0
1001	Doppleschwand	0
1002	Entlebuch	0
1004	Flühli	0
1005	Hasle (LU)	0
1007	Romoos	0
1008	Schüpfheim	0
1009	Werthenstein	0
1010	Escholzmatt-Marbach	0
1021	Aesch (LU)	0
1022	Altwis	0
1023	Ballwil	0
1024	Emmen	1
1025	Ermensee	0
1026	Eschenbach (LU)	0
1030	Hitzkirch	0
1031	Hochdorf	0
1032	Hohenrain	0
1033	Inwil	0
1037	Rain	0
1039	Römerswil	0
1040	Rothenburg	0
1041	Schongau	0
1051	Adligenswil	0
1052	Buchrain	0
1053	Dierikon	0
1054	Ebikon	0
1055	Gisikon	0
1056	Greppen	0
1057	Honau	0
1058	Horw	0
1059	Kriens	0
1061	Luzern	5
1062	Malters	0
1063	Meggen	0
1064	Meierskappel	0
1065	Root	0
1066	Schwarzenberg	0
1067	Udligenswil	0
1068	Vitznau	0
1069	Weggis	0
1081	Beromünster	0
1082	Büron	0
1083	Buttisholz	0
1084	Eich	0
1085	Geuensee	0
1086	Grosswangen	0
1088	Hildisrieden	0
1089	Knutwil	0
1091	Mauensee	0
1093	Neuenkirch	0
1094	Nottwil	0
1095	Oberkirch	0
1097	Rickenbach (LU)	0
1098	Ruswil	0
1099	Schenkon	0
1100	Schlierbach	0
1102	Sempach	0
1103	Sursee	1
1104	Triengen	0
1107	Wolhusen	0
1121	Alberswil	0
1122	Altbüron	0
1123	Altishofen	0
1125	Dagmersellen	0
1126	Ebersecken	0
1127	Egolzwil	0
1128	Ettiswil	0
1129	Fischbach	0
1130	Gettnau	0
1131	Grossdietwil	0
1132	Hergiswil bei Willisau	0
1135	Luthern	0
1136	Menznau	0
1137	Nebikon	0
1139	Pfaffnau	0
1140	Reiden	0
1142	Roggliswil	0
1143	Schötz	0
1145	Ufhusen	0
1146	Wauwil	0
1147	Wikon	0
1150	Zell (LU)	0
1151	Willisau	1
1201	Altdorf (UR)	1
1202	Andermatt	0
1203	Attinghausen	0
1204	Bauen	0
1205	Bürglen (UR)	0
1206	Erstfeld	0
1207	Flüelen	0
1208	Göschenen	0
1209	Gurtnellen	0
1210	Hospental	0
1211	Isenthal	0
1212	Realp	0
1213	Schattdorf	0
1214	Seedorf (UR)	0
1215	Seelisberg	0
1216	Silenen	0
1217	Sisikon	0
1218	Spiringen	0
1219	Unterschächen	0
1220	Wassen	0
1301	Einsiedeln	1
1311	Gersau	0
1321	Feusisberg	0
1322	Freienbach	0
