Regions-ID	Regionsname	Anzahl der Personen im Alter von 80 und mehr Jahren	Anteil dieser Bevölkerungsgruppe an der Gesamtbevölkerung in %
1	Aeugst am Albis	70	3.573251659
2	Affoltern am Albis	486	4.2070637119
3	Bonstetten	128	2.4210327218
4	Hausen am Albis	104	2.9997115662
5	Hedingen	103	2.8211448918
6	Kappel am Albis	29	2.8599605523
7	Knonau	69	3.3873343152
8	Maschwanden	26	3.9097744361
9	Mettmenstetten	137	3.0628213727
10	Obfelden	150	3.0444489547
11	Ottenbach	79	3.1004709576
12	Rifferswil	39	3.9039039039
13	Stallikon	107	3.245374583
14	Wettswil am Albis	204	4.3266171792
21	Adlikon	22	3.6184210526
22	Benken (ZH)	26	3.1212484994
23	Berg am Irchel	21	3.6269430052
24	Buch am Irchel	22	2.3732470334
25	Dachsen	76	3.7848605578
26	Dorf	13	2.0123839009
27	Feuerthalen	174	4.974271012
28	Flaach	76	5.5759354365
29	Flurlingen	67	4.698457223
30	Andelfingen	102	4.7375754761
31	Henggart	85	3.7362637363
32	Humlikon	15	3.0120481928
33	Kleinandelfingen	75	3.6372453928
34	Laufen-Uhwiesen	95	5.8210784314
35	Marthalen	72	3.6180904523
36	Oberstammheim	49	4.2497831743
37	Ossingen	55	3.9539899353
38	Rheinau	69	5.247148289
39	Thalheim an der Thur	27	2.9508196721
40	Trüllikon	43	4.253214639
41	Truttikon	15	3.2397408207
42	Unterstammheim	45	5.033557047
43	Volken	13	3.8348082596
44	Waltalingen	32	4.7407407407
51	Bachenbülach	133	3.260603089
52	Bassersdorf	338	2.9638723255
53	Bülach	716	3.7893622651
54	Dietlikon	362	4.7769860121
55	Eglisau	167	3.362867499
56	Embrach	270	2.9624753127
57	Freienstein-Teufen	65	2.8138528139
58	Glattfelden	139	2.8730880529
59	Hochfelden	47	2.3221343874
60	Höri	94	3.5298535486
61	Hüntwangen	36	3.5467980296
62	Kloten	845	4.5991400425
63	Lufingen	33	1.7232375979
64	Nürensdorf	217	4.0297121634
65	Oberembrach	47	4.304029304
66	Opfikon	635	3.6976649391
67	Rafz	169	3.9830308744
68	Rorbas	48	1.7744916821
69	Wallisellen	732	4.7615950042
70	Wasterkingen	19	3.3450704225
71	Wil (ZH)	63	4.6425939573
72	Winkel	137	3.2837967402
81	Bachs	27	4.5150501672
82	Boppelsen	36	2.8037383178
83	Buchs (ZH)	132	2.138690862
84	Dällikon	107	2.7407786885
85	Dänikon	44	2.2598870056
86	Dielsdorf	180	3.0420821362
87	Hüttikon	21	2.987197724
88	Neerach	99	3.2912234043
89	Niederglatt	161	3.4102944291
90	Niederhasli	255	2.8195488722
91	Niederweningen	64	2.2245394508
92	Oberglatt	116	1.747251092
93	Oberweningen	42	2.300109529
94	Otelfingen	96	3.4285714286
95	Regensberg	22	4.4989775051
96	Regensdorf	681	3.8963268108
97	Rümlang	335	4.4353237124
98	Schleinikon	18	2.4657534247
99	Schöfflisdorf	60	4.3196544276
100	Stadel	83	3.8425925926
101	Steinmaur	123	3.6251105217
102	Weiach	46	3.9723661485
111	Bäretswil	193	3.8654115762
112	Bubikon	247	3.5417264124
113	Dürnten	283	3.8227745509
114	Fischenthal	84	3.6160137753
115	Gossau (ZH)	392	4.0110508544
116	Grüningen	133	3.9430773792
117	Hinwil	454	4.2040929716
118	Rüti (ZH)	593	4.93755204
119	Seegräben	37	2.6466380544
120	Wald (ZH)	510	5.3808820426
121	Wetzikon (ZH)	1062	4.4364608572
131	Adliswil	944	5.117085863
132	Hirzel	107	5.0140581068
133	Horgen	1063	5.3062446963
134	Hütten	37	4.0793825799
135	Kilchberg (ZH)	485	6.160294678
136	Langnau am Albis	384	5.1710207379
137	Oberrieden	320	6.3605645001
138	Richterswil	566	4.3421557346
139	Rüschlikon	365	6.5494347748
140	Schönenberg (ZH)	82	4.3524416136
141	Thalwil	886	5.0252396347
142	Wädenswil	1047	4.9282184043
151	Erlenbach (ZH)	267	4.899981648
152	Herrliberg	347	5.5591156681
153	Hombrechtikon	412	4.8873072361
154	Küsnacht (ZH)	1100	7.9428117554
155	Männedorf	596	5.6562588972
156	Meilen	848	6.4053176222
