Regions-ID	Regionsname	Geburtenüberschuss	Geburtenüberschuss pro 1 000 Einwohner*
1	Aeugst am Albis	4	2.0351055711
2	Affoltern am Albis	54	4.7130700415
3	Bonstetten	54	10.2398786385
4	Hausen am Albis	16	4.6390258046
5	Hedingen	14	3.8642009384
6	Kappel am Albis	-1	-1.0152284264
7	Knonau	8	3.9564787339
8	Maschwanden	2	3.0097817908
9	Mettmenstetten	24	5.3956834532
10	Obfelden	28	5.7177863998
11	Ottenbach	-1	-0.3975352813
12	Rifferswil	4	4.0858018386
13	Stallikon	26	7.8360458107
14	Wettswil am Albis	8	1.7092191005
21	Adlikon	-6	-10.1265822785
22	Benken (ZH)	2	2.4081878387
23	Berg am Irchel	5	8.6430423509
24	Buch am Irchel	0	0
25	Dachsen	12	6.0120240481
26	Dorf	4	6.3141278611
27	Feuerthalen	13	3.7206639954
28	Flaach	6	4.4215180545
29	Flurlingen	-1	-0.7067137809
30	Andelfingen	9	4.2323066071
31	Henggart	-4	-1.7582417582
32	Humlikon	2	4.0816326531
33	Kleinandelfingen	3	1.4605647517
34	Laufen-Uhwiesen	8	4.9170251998
35	Marthalen	0	0
36	Oberstammheim	6	5.2083333333
37	Ossingen	-3	-2.1834061135
38	Rheinau	-2	-1.5145778114
39	Thalheim an der Thur	2	2.18459858
40	Trüllikon	-2	-1.9930244145
41	Truttikon	3	6.5717415115
42	Unterstammheim	2	2.2471910112
43	Volken	0	0
44	Waltalingen	0	0
51	Bachenbülach	25	6.1530888506
52	Bassersdorf	60	5.2737980135
53	Bülach	95	5.0934241214
54	Dietlikon	28	3.7796976242
55	Eglisau	28	5.6519983851
56	Embrach	63	6.9790628116
57	Freienstein-Teufen	12	5.2196607221
58	Glattfelden	29	6.114918292
59	Hochfelden	24	11.9018100669
60	Höri	9	3.3968673335
61	Hüntwangen	0	0
62	Kloten	62	3.3720392679
63	Lufingen	7	3.6958817318
64	Nürensdorf	19	3.5470923177
65	Oberembrach	2	1.8298261665
66	Opfikon	148	8.8158208244
67	Rafz	31	7.3651698741
68	Rorbas	29	10.962010962
69	Wallisellen	102	6.7480400913
70	Wasterkingen	3	5.249343832
71	Wil (ZH)	5	3.738317757
72	Winkel	10	2.3900573614
81	Bachs	8	13.2450331126
82	Boppelsen	1	0.7707129094
83	Buchs (ZH)	61	9.8601794229
84	Dällikon	33	8.6027111575
85	Dänikon	17	8.7134802665
86	Dielsdorf	53	8.9792460822
87	Hüttikon	10	14.450867052
88	Neerach	4	1.3245033113
89	Niederglatt	26	5.5448923011
90	Niederhasli	68	7.5914038515
91	Niederweningen	5	1.7655367232
92	Oberglatt	72	10.9814687714
93	Oberweningen	4	2.2333891681
94	Otelfingen	21	7.568931339
95	Regensberg	4	8.2135523614
96	Regensdorf	110	6.3479239403
97	Rümlang	61	8.2521645022
98	Schleinikon	4	5.5671537926
99	Schöfflisdorf	2	1.4540167212
100	Stadel	7	3.3420864168
101	Steinmaur	16	4.7428486735
102	Weiach	8	7.158836689
111	Bäretswil	25	5.0469365095
112	Bubikon	27	3.8829366506
113	Dürnten	44	6.0340098738
114	Fischenthal	4	1.7208001721
115	Gossau (ZH)	48	4.9263611639
116	Grüningen	9	2.7043269231
117	Hinwil	18	1.6705336427
118	Rüti (ZH)	6	0.4999375078
119	Seegräben	6	4.3939948737
120	Wald (ZH)	26	2.7624309392
121	Wetzikon (ZH)	119	4.9932863377
131	Adliswil	135	7.3549441569
132	Hirzel	14	6.5420560748
133	Horgen	104	5.2470926566
134	Hütten	-1	-1.1019283747
135	Kilchberg (ZH)	35	4.4637163627
136	Langnau am Albis	3	0.4066142586
137	Oberrieden	4	0.7995202878
138	Richterswil	51	3.9144951453
139	Rüschlikon	8	1.4401440144
140	Schönenberg (ZH)	5	2.6532236668
141	Thalwil	102	5.7979252522
142	Wädenswil	79	3.7390254869
151	Erlenbach (ZH)	18	3.3367318565
152	Herrliberg	-2	-0.3221908981
153	Hombrechtikon	10	1.2026458208
154	Küsnacht (ZH)	10	0.7270876504
155	Männedorf	29	2.7580959627
156	Meilen	17	1.2917442346
157	Oetwil am See	10	2.1765153988
158	Stäfa	9	0.6454851897
159	Uetikon am See	7	1.1807371173
160	Zumikon	-17	-3.2952122504
161	Zollikon	-2	-0.1609204651
171	Bauma	20	4.6088259016
172	Fehraltorf	48	7.619047619
173	Hittnau	23	6.3835692478
174	Illnau-Effretikon	61	3.7461233764
175	Kyburg	2	4.9261083744
176	Lindau	40	7.4794315632
177	Pfäffikon	58	5.1831992851
178	Russikon	16	3.8268356852
179	Sternenberg	1	2.8530670471
180	Weisslingen	21	6.5096094234
181	Wila	-7	-3.6458333333
182	Wildberg	6	6.0636685195
191	Dübendorf	127	4.873556161
192	Egg	19	2.2847522848
193	Fällanden	41	5.0186669931
194	Greifensee	48	9.0421022888
195	Maur	30	3.082297339
196	Mönchaltorf	11	3.0964109782
197	Schwerzenbach	30	6.0234916173
198	Uster	146	4.3903832564
199	Volketswil	158	8.6490037224
200	Wangen-Brüttisellen	31	4.0749260598
211	Altikon	0	0
213	Brütten	21	10.3986135182
214	Dägerlen	5	5.1098620337
215	Dättlikon	2	2.6350461133
216	Dinhard	11	7.3652494141
217	Elgg	28	6.7739204064
218	Ellikon an der Thur	4	4.4174489232
219	Elsau	8	2.3211954156
220	Hagenbuch	5	4.5537340619
221	Hettlingen	-7	-2.3030103635
222	Hofstetten (ZH)	1	2.0768431983
223	Neftenbach	52	9.5081367709
224	Pfungen	40	11.1327581408
225	Rickenbach (ZH)	15	5.8997050147
226	Schlatt (ZH)	10	13.4048257373
227	Seuzach	19	2.6313967177
228	Turbenthal	26	5.9131225836
230	Winterthur	441	4.1514869101
231	Zell (ZH)	18	3.176283748
241	Aesch (ZH)	1	0.8445945946
242	Birmensdorf (ZH)	15	2.4427978178
243	Dietikon	153	5.9184186604
244	Geroldswil	18	3.7519541428
245	Oberengstringen	8	1.2293507491
246	Oetwil an der Limmat	-7	-3.0375352571
247	Schlieren	124	6.9747166521
248	Uitikon	-2	-0.5069708492
249	Unterengstringen	22	6.2633451957
250	Urdorf	33	3.4453956985
