Regions-ID	Regionsname	Unterstützte Personen	Anteil der unterstützten Personen an der Wohnbevölkerung in %
1	Aeugst am Albis	31	1.9
2	Affoltern am Albis	530	5.1
3	Bonstetten	47	1
4	Hausen am Albis	20	0.6
5	Hedingen	32	1
6	Kappel am Albis	7	0.8
7	Knonau	14	0.9
8	Maschwanden	3	0.5
9	Mettmenstetten	61	1.5
10	Obfelden	111	2.5
11	Ottenbach	62	2.8
12	Rifferswil	9	1.1
13	Stallikon	24	0.9
14	Wettswil am Albis	37	0.9
21	Adlikon	2	0.4
22	Benken (ZH)	9	1.2
23	Berg am Irchel	1	0.2
24	Buch am Irchel	1	0.1
25	Dachsen	13	0.7
26	Dorf	4	0.6
27	Feuerthalen	72	2.2
28	Flaach	10	0.8
29	Flurlingen	16	1.2
30	Andelfingen	10	0.6
31	Henggart	31	1.6
32	Humlikon	8	1.8
33	Kleinandelfingen	15	0.8
34	Laufen-Uhwiesen	8	0.5
35	Marthalen	6	0.3
36	Oberstammheim	4	0.4
37	Ossingen	10	0.8
38	Rheinau	23	1.8
39	Thalheim an der Thur	2	0.3
40	Trüllikon	12	1.2
41	Truttikon	0	0
42	Unterstammheim	17	1.9
43	Volken	3	1
44	Waltalingen	13	1.9
51	Bachenbülach	46	1.3
52	Bassersdorf	303	3.1
53	Bülach	483	3.1
54	Dietlikon	203	3
55	Eglisau	67	1.9
56	Embrach	288	3.4
57	Freienstein-Teufen	50	2.3
58	Glattfelden	73	1.9
59	Hochfelden	29	1.6
60	Höri	90	3.7
61	Hüntwangen	2	0.2
62	Kloten	902	5.3
63	Lufingen	10	0.7
64	Nürensdorf	57	1.2
65	Oberembrach	14	1.5
66	Opfikon	914	7
67	Rafz	32	0.8
68	Rorbas	41	1.9
69	Wallisellen	552	4.4
70	Wasterkingen	4	0.7
71	Wil (ZH)	5	0.4
72	Winkel	13	0.3
81	Bachs	2	0.4
82	Boppelsen	1	0.1
83	Buchs (ZH)	124	2.5
84	Dällikon	91	2.6
85	Dänikon	32	1.8
86	Dielsdorf	134	2.7
87	Hüttikon	0	0
88	Neerach	14	0.5
89	Niederglatt	36	0.9
90	Niederhasli	162	2.1
91	Niederweningen	56	2.3
92	Oberglatt	204	3.8
93	Oberweningen	37	2.5
94	Otelfingen	40	1.8
95	Regensberg	1	0.2
96	Regensdorf	717	4.6
97	Rümlang	154	2.6
98	Schleinikon	2	0.3
99	Schöfflisdorf	21	1.8
100	Stadel	22	1.2
101	Steinmaur	83	2.8
102	Weiach	23	2.4
111	Bäretswil	61	1.4
112	Bubikon	72	1.2
113	Dürnten	146	2.3
114	Fischenthal	51	2.4
115	Gossau (ZH)	119	1.3
116	Grüningen	28	1
117	Hinwil	221	2.3
118	Rüti (ZH)	361	3.2
119	Seegräben	27	2.2
120	Wald (ZH)	236	2.7
121	Wetzikon (ZH)	1049	5.3
131	Adliswil	708	4.5
132	Hirzel	17	0.9
133	Horgen	407	2.3
134	Hütten	14	1.6
135	Kilchberg (ZH)	86	1.2
136	Langnau am Albis	168	2.5
137	Oberrieden	51	1
138	Richterswil	247	2.2
139	Rüschlikon	63	1.3
140	Schönenberg (ZH)	4	0.2
141	Thalwil	432	2.7
142	Wädenswil	560	2.9
151	Erlenbach (ZH)	48	0.9
152	Herrliberg	49	0.9
153	Hombrechtikon	261	3.4
154	Küsnacht (ZH)	139	1.1
155	Männedorf	161	1.7
156	Meilen	124	1
157	Oetwil am See	93	2.1
158	Stäfa	360	2.8
159	Uetikon am See	103	1.9
160	Zumikon	18	0.4
161	Zollikon	212	1.8
171	Bauma	123	3
172	Fehraltorf	88	1.7
173	Hittnau	33	1
174	Illnau-Effretikon	605	4
175	Kyburg	0	0
176	Lindau	114	2.4
177	Pfäffikon	289	2.9
178	Russikon	61	1.6
179	Sternenberg	1	0.3
180	Weisslingen	33	1.1
181	Wila	42	2.2
182	Wildberg	0	0
191	Dübendorf	478	2.1
192	Egg	188	2.4
193	Fällanden	254	3.6
194	Greifensee	132	2.6
195	Maur	146	1.6
196	Mönchaltorf	49	1.5
197	Schwerzenbach	94	2.3
198	Uster	636	2.1
199	Volketswil	380	2.5
200	Wangen-Brüttisellen	196	2.8
211	Altikon	2	0.3
212	Bertschikon	1	0.1
213	Brütten	9	0.5
214	Dägerlen	12	1.3
215	Dättlikon	4	0.6
216	Dinhard	4	0.3
217	Elgg	44	1.2
218	Ellikon an der Thur	8	1
219	Elsau	70	2.2
220	Hagenbuch	22	2
221	Hettlingen	19	0.7
222	Hofstetten (ZH)	8	1.9
223	Neftenbach	88	1.9
224	Pfungen	83	3.2
225	Rickenbach (ZH)	46	1.9
226	Schlatt (ZH)	7	1.1
227	Seuzach	91	1.4
228	Turbenthal	102	2.5
229	Wiesendangen	22	0.5
230	Winterthur	4878	5.2
231	Zell (ZH)	169	3.6
241	Aesch (ZH)	14	1.4
242	Birmensdorf (ZH)	201	3.6
243	Dietikon	1730	7.7
244	Geroldswil	152	3.4
245	Oberengstringen	273	4.4
246	Oetwil an der Limmat	23	1
247	Schlieren	916	6.8
248	Uitikon	48	1.3
249	Unterengstringen	128	4.4
250	Urdorf	252	2.7
251	Weiningen (ZH)	180	4.5
261	Zürich	20883	6
301	Aarberg	176	4.5
302	Bargen (BE)	23	2.5
303	Grossaffoltern	21	0.7
304	Kallnach	56	3.7
305	Kappelen	26	2.3
306	Lyss	628	5.7
307	Meikirch	41	1.7
308	Niederried bei Kallnach	0	0
309	Radelfingen	21	1.7
310	Rapperswil (BE)	28	1.3
311	Schüpfen	58	1.8
312	Seedorf (BE)	43	1.5
