Regions-ID	Regionsname	Anteil der zupendelnden Erwerbstätigen an den in der Gemeinde arbeitenden Erwerbstätigen in %
1	Aeugst am Albis	47.6997578692
2	Affoltern am Albis	59.7779509155
3	Bonstetten	48.2213438735
4	Hausen am Albis	42.0206659013
5	Hedingen	69.7986577181
6	Kappel am Albis	40.7843137255
7	Knonau	51.7711171662
8	Maschwanden	28.9473684211
9	Mettmenstetten	47.3080317741
10	Obfelden	48.5554520037
11	Ottenbach	48.6206896552
12	Rifferswil	41.0112359551
13	Stallikon	58.6294416244
14	Wettswil am Albis	58.2524271845
21	Adlikon	36.301369863
22	Benken (ZH)	42.4242424242
23	Berg am Irchel	28.2608695652
24	Buch am Irchel	30.2631578947
25	Dachsen	59.5505617978
26	Dorf	32.0610687023
27	Feuerthalen	67.3327541268
28	Flaach	52.4253731343
29	Flurlingen	63.2653061224
30	Andelfingen	70.4566635601
31	Henggart	57.6923076923
32	Humlikon	50.3355704698
33	Kleinandelfingen	57.8064516129
34	Laufen-Uhwiesen	41.958041958
35	Marthalen	60.6976744186
36	Oberstammheim	43.4210526316
37	Ossingen	48.9260143198
38	Rheinau	61.7196702002
39	Thalheim an der Thur	35.7142857143
40	Trüllikon	36.9963369963
41	Truttikon	41.6666666667
42	Unterstammheim	46.6850828729
43	Volken	22
44	Waltalingen	16.8831168831
51	Bachenbülach	80.0673400673
52	Bassersdorf	72.018199545
53	Bülach	63.8349514563
54	Dietlikon	85.3642048335
55	Eglisau	58.419792498
56	Embrach	59.2333434743
57	Freienstein-Teufen	50.9719222462
58	Glattfelden	35.0129198966
59	Hochfelden	51.768488746
60	Höri	72.6503759399
61	Hüntwangen	58.2352941176
62	Kloten	84.8829121261
63	Lufingen	53.4482758621
64	Nürensdorf	50.1632208923
65	Oberembrach	33.3333333333
66	Opfikon	87.5763747454
67	Rafz	45.4468085106
68	Rorbas	58.2608695652
69	Wallisellen	82.2911413683
70	Wasterkingen	17.2839506173
71	Wil (ZH)	53.9408866995
72	Winkel	46.204620462
81	Bachs	46.4788732394
82	Boppelsen	36.9230769231
83	Buchs (ZH)	74.5062836625
84	Dällikon	78.0871127077
85	Dänikon	57.9710144928
86	Dielsdorf	73.4393404005
87	Hüttikon	46.1038961039
88	Neerach	42.3913043478
89	Niederglatt	63.2730732636
90	Niederhasli	54.6983758701
91	Niederweningen	64.4104803493
92	Oberglatt	58.2368655387
93	Oberweningen	56
94	Otelfingen	86.1409239384
95	Regensberg	59.2814371257
96	Regensdorf	67.7223719677
97	Rümlang	81.7492963845
98	Schleinikon	39.6396396396
99	Schöfflisdorf	56.4575645756
100	Stadel	38.9705882353
101	Steinmaur	51.7509727626
102	Weiach	55.6390977444
111	Bäretswil	37.0544090056
112	Bubikon	64.849187935
113	Dürnten	47.1030850263
114	Fischenthal	38.3838383838
115	Gossau (ZH)	48.6099410278
116	Grüningen	60.2896341463
117	Hinwil	64.326957777
118	Rüti (ZH)	58.6334256694
119	Seegräben	56.3106796117
120	Wald (ZH)	35.6477017036
121	Wetzikon (ZH)	62.9300172461
131	Adliswil	59.6730245232
132	Hirzel	52.3052464229
133	Horgen	56.1042360781
134	Hütten	32.4175824176
135	Kilchberg (ZH)	72.9380686821
136	Langnau am Albis	47.7951635846
137	Oberrieden	50.2288329519
138	Richterswil	52.7496159754
139	Rüschlikon	74.8071979434
140	Schönenberg (ZH)	39.4557823129
141	Thalwil	60.8503589177
142	Wädenswil	51.8997668998
151	Erlenbach (ZH)	63.5008282717
152	Herrliberg	41.6884247171
153	Hombrechtikon	56.1824324324
154	Küsnacht (ZH)	55.5851654453
155	Männedorf	61.9537990537
156	Meilen	61.562731997
157	Oetwil am See	61.7989417989
158	Stäfa	55.8455114823
159	Uetikon am See	55.4281861092
160	Zumikon	58.9846359385
161	Zollikon	68.3427192277
171	Bauma	44.544198895
172	Fehraltorf	68.4806269047
173	Hittnau	42.8961748634
174	Illnau-Effretikon	56.5725047081
175	Kyburg	44.4444444444
176	Lindau	70.6777996071
177	Pfäffikon	56.346749226
178	Russikon	44.1478439425
179	Sternenberg	23.9669421488
180	Weisslingen	46.6135458167
181	Wila	48.0286738351
182	Wildberg	20.1058201058
191	Dübendorf	72.6222094609
192	Egg	54.9257759784
193	Fällanden	70.8925750395
194	Greifensee	65.438108484
195	Maur	49.0603363007
196	Mönchaltorf	60.6542056075
197	Schwerzenbach	85.9099099099
198	Uster	56.4004292503
199	Volketswil	74.9777084262
200	Wangen-Brüttisellen	75.049833887
211	Altikon	17.96875
212	Bertschikon	44.7272727273
213	Brütten	38.0327868852
214	Dägerlen	43.1578947368
215	Dättlikon	36.4485981308
216	Dinhard	43.5215946844
217	Elgg	50.6666666667
218	Ellikon an der Thur	63.8888888889
219	Elsau	49.2734478203
220	Hagenbuch	35.807860262
221	Hettlingen	59.0443686007
222	Hofstetten bei Elgg	27.2727272727
223	Neftenbach	55.6962025316
224	Pfungen	52.7910685805
225	Rickenbach (ZH)	38.2352941176
226	Schlatt (ZH)	22.8187919463
227	Seuzach	64.1845591594
228	Turbenthal	43.4782608696
229	Wiesendangen	44.3671766342
230	Winterthur	46.4668688064
231	Zell (ZH)	45.6711675933
241	Aesch bei Birmensdorf	57.3943661972
242	Birmensdorf (ZH)	59.989539749
243	Dietikon	74.2375724306
244	Geroldswil	69.5201037613
245	Oberengstringen	59.5047341588
246	Oetwil an der Limmat	38.6581469649
247	Schlieren	83.2073954984
248	Uitikon	51.8640350877
249	Unterengstringen	66.4948453608
250	Urdorf	78.6564776968
251	Weiningen (ZH)	71.8398876404
261	Zürich	55.1937971223
301	Aarberg	64.1151951497
302	Bargen (BE)	45.871559633
303	Grossaffoltern	28.125
304	Kallnach	52.786377709
305	Kappelen	46.3636363636
306	Lyss	60.4273504274
307	Meikirch	39.2996108949
308	Niederried bei Kallnach	12.5
309	Radelfingen	24.3027888446
310	Rapperswil (BE)	36.4421416235
311	Schüpfen	41.755888651
312	Seedorf (BE)	41.3867822319
321	Aarwangen	51.3692946058
322	Auswil	25.9541984733
323	Bannwil	26.8656716418
324	Bleienbach	78.0740740741
325	Busswil bei Melchnau	18.3673469388
326	Gondiswil	26.2295081967
327	Gutenburg	43.3333333333
328	Kleindietwil	46.9273743017
329	Langenthal	60.9884041966
330	Leimiswil	39.8773006135
331	Lotzwil	57.5117370892
332	Madiswil	44.5040214477
333	Melchnau	42.474916388
334	Obersteckholz	20.253164557
335	Oeschenbach	21.9512195122
336	Reisiswil	9.2592592593
337	Roggwil (BE)	55.9147685525
338	Rohrbach	57.2854291417
339	Rohrbachgraben	20
340	Rütschelen	15
341	Schwarzhäusern	38.5416666667
342	Thunstetten	73.9469578783
343	Untersteckholz	21.7391304348
344	Ursenbach	53.9024390244
345	Wynau	48.4412470024
351	Bern	63.5266952547
352	Bolligen	62.0541205412
353	Bremgarten bei Bern	44.0766550523
354	Kirchlindach	51.2422360248
355	Köniz	62.5857187795
356	Muri bei Bern	73.1061713951
357	Oberbalm	12.6168224299
358	Stettlen	63.3995037221
359	Vechigen	37.0165745856
360	Wohlen bei Bern	36.524822695
361	Zollikofen	76.5085388994
362	Ittigen	80.5575935437
363	Ostermundigen	70.7895149898
371	Biel (BE)	52.038263429
372	Evilard	56.0330578512
381	Arch	51.1463844797
382	Büetigen	34.7517730496
383	Büren an der Aare	55.4785894207
384	Busswil bei Büren	58.8235294118
385	Diessbach bei Büren	48.3636363636
386	Dotzigen	60.6995884774
387	Lengnau (BE)	52.0420792079
388	Leuzigen	28.8617886179
389	Meienried	21.4285714286
390	Meinisberg	42.0408163265
391	Oberwil bei Büren	32.0197044335
392	Pieterlen	53.7037037037
393	Rüti bei Büren	52.8813559322
394	Wengi	21.0526315789
401	Aefligen	60.7142857143
402	Alchenstorf	34.0909090909
403	Bäriswil	35.2564102564
404	Burgdorf	62.8945342571
405	Ersigen	39.4557823129
406	Hasle bei Burgdorf	52.068617558
407	Heimiswil	22
408	Hellsau	71.186440678
409	Hindelbank	54.6125461255
410	Höchstetten	37.2093023256
411	Kernenried	27.7777777778
412	Kirchberg (BE)	64.1802951735
413	Koppigen	50.7142857143
414	Krauchthal	34.0677966102
415	Lyssach	82.058287796
416	Mötschwil	23.0769230769
417	Niederösch	16.6666666667
418	Oberburg	63.6709824829
419	Oberösch	8
420	Rüdtligen-Alchenflüh	56.8527918782
421	Rumendingen	40.3361344538
422	Rüti bei Lyssach	3.8461538462
423	Willadingen	27.027027027
424	Wynigen	29.0519877676
431	Corgémont	41.8367346939
432	Cormoret	40.6779661017
433	Cortébert	23.7037037037
434	Courtelary	58.0310880829
435	La Ferrière	39.3258426966
436	La Heutte	38.3561643836
437	Mont-Tramelan	6.6666666667
438	Orvin	46.3800904977
439	Péry	54.1966426859
440	Plagne	20.6896551724
441	Renan (BE)	37.2294372294
442	Romont (BE)	31.1111111111
