Regions-ID	Regionsname	Anteil der wegpendelnden Erwerbstätigen an den in der Gemeinde wohnhaften Erwerbstätigen in %
1	Aeugst am Albis	75.7575757576
2	Affoltern am Albis	62.3587313161
3	Bonstetten	82.860880942
4	Hausen am Albis	70.4678362573
5	Hedingen	75.3499695679
6	Kappel am Albis	69.0573770492
7	Knonau	77.8195488722
8	Maschwanden	73.4426229508
9	Mettmenstetten	72.2712494194
10	Obfelden	77.0287141074
11	Ottenbach	76.442687747
12	Rifferswil	72.4409448819
13	Stallikon	79.2488860598
14	Wettswil am Albis	81.8650421743
21	Adlikon	71.2074303406
22	Benken (ZH)	73.2394366197
23	Berg am Irchel	69.4444444444
24	Buch am Irchel	73.4335839599
25	Dachsen	81.6560509554
26	Dorf	73.0303030303
27	Feuerthalen	75.6002595717
28	Flaach	58.8709677419
29	Flurlingen	81.5249266862
30	Andelfingen	63.7299771167
31	Henggart	81.3137032843
32	Humlikon	66.3636363636
33	Kleinandelfingen	67.3
34	Laufen-Uhwiesen	77.5372124493
35	Marthalen	65.4749744637
36	Oberstammheim	61.6071428571
37	Ossingen	67.3282442748
38	Rheinau	53.1024531025
39	Thalheim an der Thur	73.3870967742
40	Trüllikon	71.237458194
41	Truttikon	70.0854700855
42	Unterstammheim	55.9360730594
43	Volken	75.7763975155
44	Waltalingen	64.1456582633
51	Bachenbülach	84.0431266846
52	Bassersdorf	80.0786672837
53	Bülach	64.200809307
54	Dietlikon	76.0177236223
55	Eglisau	67.3763306199
56	Embrach	69.642048029
57	Freienstein-Teufen	81.1774461028
58	Glattfelden	74.2973939704
59	Hochfelden	83.7486457205
60	Höri	77.8201219512
61	Hüntwangen	83.3723653396
62	Kloten	55.1758004321
63	Lufingen	85
64	Nürensdorf	82.2755417957
65	Oberembrach	75.0877192982
66	Opfikon	74.2253521127
67	Rafz	64.6051905025
68	Rorbas	81.0126582278
69	Wallisellen	68.9278867424
70	Wasterkingen	79.1925465839
71	Wil (ZH)	73.9191073919
72	Winkel	83.4936708861
81	Bachs	65.3495440729
82	Boppelsen	80
83	Buchs (ZH)	83.2547169811
84	Dällikon	75.9960649287
85	Dänikon	80.6666666667
86	Dielsdorf	67.9914833215
87	Hüttikon	74.3827160494
88	Neerach	82.1187584345
89	Niederglatt	82.478438493
90	Niederhasli	82.5863991081
91	Niederweningen	74.6105919003
92	Oberglatt	84.9099099099
93	Oberweningen	83.5820895522
94	Otelfingen	72.6267281106
95	Regensberg	76.5517241379
96	Regensdorf	67.7223719677
97	Rümlang	73.4905660377
98	Schleinikon	81.7934782609
99	Schöfflisdorf	81.3880126183
100	Stadel	74.6177370031
101	Steinmaur	76.7645221736
102	Weiach	77.9439252336
111	Bäretswil	70.6730769231
112	Bubikon	70.2844066688
113	Dürnten	78.5931790499
114	Fischenthal	64.8414985591
115	Gossau (ZH)	75.1830756713
116	Grüningen	67.53894081
117	Hinwil	61.2732615083
118	Rüti (ZH)	68.948189222
119	Seegräben	75.6427604871
120	Wald (ZH)	54.848894903
121	Wetzikon (ZH)	58.6137008512
131	Adliswil	74.663318877
132	Hirzel	70.6457925636
133	Horgen	61.8313502328
134	Hütten	73.0263157895
135	Kilchberg (ZH)	76.6523170423
136	Langnau am Albis	80.0272108844
137	Oberrieden	81.9950331126
138	Richterswil	72.6772073192
139	Rüschlikon	76.338028169
140	Schönenberg (ZH)	72.5590955807
141	Thalwil	75.993227991
142	Wädenswil	61.580711227
151	Erlenbach (ZH)	72.6633581472
152	Herrliberg	76.7118526243
153	Hombrechtikon	67.3052684648
154	Küsnacht (ZH)	68.4393246015
155	Männedorf	69.3222621185
156	Meilen	66.8108974359
157	Oetwil am See	71.3832738803
158	Stäfa	66.4179104478
159	Uetikon am See	75.7074604925
