Regions-ID	Regionsname	Anzahl Straftaten pro 1 000 Einwohner
1	Aeugst am Albis	33.3333333333
2	Affoltern am Albis	71.0759198882
3	Bonstetten	25.6360078278
4	Hausen am Albis	31.0615199035
5	Hedingen	40.1406387343
6	Kappel am Albis	17.0261066969
7	Knonau	41.3318025258
8	Maschwanden	27.2108843537
9	Mettmenstetten	37.3493975904
10	Obfelden	22.3848471804
11	Ottenbach	21.3836477987
12	Rifferswil	22.8310502283
13	Stallikon	22.8174603175
14	Wettswil am Albis	28.4945030289
21	Adlikon	51.993067591
22	Benken (ZH)	6.4599483204
23	Berg am Irchel	13.4003350084
24	Buch am Irchel	29.9043062201
25	Dachsen	27.6617954071
26	Dorf	17.3501577287
27	Feuerthalen	28.6956521739
28	Flaach	38.304808476
29	Flurlingen	22.7434257285
30	Andelfingen	61.2813370474
31	Henggart	29.0188853063
32	Humlikon	28.5714285714
33	Kleinandelfingen	40.520984081
34	Laufen-Uhwiesen	22.3831468071
35	Marthalen	49.6828752643
36	Oberstammheim	34.7091932458
37	Ossingen	24.2647058824
38	Rheinau	23.2035928144
39	Thalheim an der Thur	27.2952853598
40	Trüllikon	27
41	Truttikon	23.2067510549
42	Unterstammheim	53.1073446328
43	Volken	3.2362459547
44	Waltalingen	13.0813953488
51	Bachenbülach	56.1708860759
52	Bassersdorf	57.4206567602
53	Bülach	74.6048596367
54	Dietlikon	109.8495600341
55	Eglisau	27.9187817259
56	Embrach	49.0608992601
57	Freienstein-Teufen	23.2558139535
58	Glattfelden	26.4159923846
59	Hochfelden	14.5454545455
60	Höri	71.0743801653
61	Hüntwangen	29.958677686
62	Kloten	148.1254184334
63	Lufingen	41.5934387815
64	Nürensdorf	24.7869868319
65	Oberembrach	16.3265306122
66	Opfikon	134.8977451495
67	Rafz	33.4422931858
68	Rorbas	40.354767184
69	Wallisellen	107.2799819318
70	Wasterkingen	0
71	Wil (ZH)	14.6491904395
72	Winkel	52.1716782318
81	Bachs	12.1951219512
82	Boppelsen	5.3970701619
83	Buchs (ZH)	45.8333333333
84	Dällikon	44.1710930948
85	Dänikon	44.2571127503
86	Dielsdorf	66.6787461497
87	Hüttikon	28.4431137725
88	Neerach	26.4675941636
89	Niederglatt	56.338028169
90	Niederhasli	46.917686186
91	Niederweningen	22.6500566251
92	Oberglatt	50.5248176481
93	Oberweningen	40.0717703349
94	Otelfingen	55.2462526767
95	Regensberg	8.3507306889
96	Regensdorf	81.54296875
97	Rümlang	78.132084026
98	Schleinikon	16.9971671388
99	Schöfflisdorf	35.0076103501
100	Stadel	14.7432638536
101	Steinmaur	49.5424424109
102	Weiach	32.2580645161
111	Bäretswil	21.3869086196
112	Bubikon	48.1325207064
113	Dürnten	37.3088685015
114	Fischenthal	29.7332750328
115	Gossau (ZH)	33.8626564308
116	Grüningen	20.545638262
117	Hinwil	61.3151658768
118	Rüti (ZH)	54.9311248204
119	Seegräben	59.8618572525
120	Wald (ZH)	30.8019713262
121	Wetzikon (ZH)	68.2849995367
131	Adliswil	55.8752552441
132	Hirzel	37.0194589464
133	Horgen	39.0934229789
134	Hütten	16.1812297735
135	Kilchberg (ZH)	59.5945945946
136	Langnau am Albis	32.7141668977
137	Oberrieden	17.889815003
138	Richterswil	31.7880794702
139	Rüschlikon	59.8848368522
140	Schönenberg (ZH)	11.3989637306
141	Thalwil	31.9010416667
142	Wädenswil	51.8013535032
151	Erlenbach (ZH)	46.1597395135
152	Herrliberg	38.6489665602
153	Hombrechtikon	56.802332953
154	Küsnacht (ZH)	43.8498699368
155	Männedorf	52.5647288715
156	Meilen	48.0698604423
157	Oetwil am See	23.0664857531
158	Stäfa	41.2042074719
159	Uetikon am See	34.7185691741
160	Zumikon	33.1230283912
161	Zollikon	35.5216200515
171	Bauma	51.0525042342
172	Fehraltorf	59.2801693719
173	Hittnau	14.0597539543
174	Illnau-Effretikon	64.4638807904
175	Kyburg	19.7044334975
176	Lindau	53.6763216528
177	Pfäffikon	53.3307662688
178	Russikon	23.6259636906
179	Sternenberg	0
180	Weisslingen	11.705156596
181	Wila	40.7949790795
182	Wildberg	5.3361792956
191	Dübendorf	67.4203325961
192	Egg	33.6755132699
193	Fällanden	31.4537782892
194	Greifensee	31.5406389001
195	Maur	35.7833655706
196	Mönchaltorf	29.4976635514
197	Schwerzenbach	64.099710661
198	Uster	59.5230644051
199	Volketswil	88.3811547999
200	Wangen-Brüttisellen	51.5867656989
211	Altikon	25.7234726688
212	Bertschikon	38.4245917387
213	Brütten	18.4307530279
214	Dägerlen	9.0180360721
215	Dättlikon	20.2312138728
216	Dinhard	12.1602288984
217	Elgg	32.0462306278
218	Ellikon an der Thur	72.5995316159
219	Elsau	31.7169868862
220	Hagenbuch	46.5328467153
221	Hettlingen	19.3548387097
222	Hofstetten (ZH)	11.5473441109
223	Neftenbach	32.4495449149
224	Pfungen	35.2983988355
225	Rickenbach (ZH)	44.9799196787
226	Schlatt (ZH)	6.8027210884
227	Seuzach	32.8249818446
228	Turbenthal	29.6671490593
229	Wiesendangen	42.2928295406
230	Winterthur	83.802087002
231	Zell (ZH)	44.8754516068
241	Aesch (ZH)	14.985014985
242	Birmensdorf (ZH)	40.2397260274
243	Dietikon	137.7392653906
244	Geroldswil	55.1422319475
245	Oberengstringen	53.8066174109
246	Oetwil an der Limmat	36.3556723609
247	Schlieren	93.8991695547
248	Uitikon	25.6476683938
249	Unterengstringen	44.5958501084
250	Urdorf	73.7849131295
251	Weiningen (ZH)	53.3237685318
261	Zürich	138.5494619952
301	Aarberg	61.7683686177
302	Bargen (BE)	15.3217568948
303	Grossaffoltern	29.8668585822
304	Kallnach	27.9039584685
305	Kappelen	33.2278481013
306	Lyss	75.6266575413
307	Meikirch	17.7364864865
308	Niederried bei Kallnach	58.2191780822
309	Radelfingen	24.0549828179
310	Rapperswil (BE)	15.595463138
311	Schüpfen	39.9529964747
312	Seedorf (BE)	20.7635632954
321	Aarwangen	31.6290130797
322	Auswil	17.6211453744
323	Bannwil	9.1185410334
324	Bleienbach	19.578313253
325	Busswil bei Melchnau	10.5263157895
326	Gondiswil	17.7111716621
328	Kleindietwil	32.3232323232
329	Langenthal	85.7974465833
330	Leimiswil	9.828009828
331	Lotzwil	23.9372678498
332	Madiswil	35.3535353535
333	Melchnau	23.6686390533
334	Obersteckholz	7.5949367089
335	Oeschenbach	15.444015444
336	Reisiswil	0
337	Roggwil (BE)	53.5714285714
338	Rohrbach	36.7700072098
339	Rohrbachgraben	16.1662817552
340	Rütschelen	33.7477797513
341	Schwarzhäusern	12.3711340206
342	Thunstetten	25.2270433905
344	Ursenbach	13.0861504907
345	Wynau	51.5595162317
351	Bern	149.2394667358
352	Bolligen	25.3164556962
353	Bremgarten bei Bern	53.8105673241
354	Kirchlindach	17.0636331319
355	Köniz	54.57254123
356	Muri bei Bern	55.3730642891
357	Oberbalm	3.4207525656
358	Stettlen	26.0899416409
359	Vechigen	22.4646983312
360	Wohlen bei Bern	33.1014362657
361	Zollikofen	56.346749226
362	Ittigen	58.34262356
363	Ostermundigen	69.3977175275
371	Biel/Bienne	162.6201565752
372	Evilard	22.737022737
381	Arch	29.8701298701
382	Büetigen	22.9591836735
383	Büren an der Aare	41.8604651163
384	Busswil bei Büren	20.6932229695
385	Diessbach bei Büren	6.8104426788
386	Dotzigen	27.3466371027
387	Lengnau (BE)	43.7182601016
388	Leuzigen	20.0166805671
389	Meienried	75.4716981132
390	Meinisberg	35.0597609562
391	Oberwil bei Büren	8.5784313725
392	Pieterlen	56.9176882662
393	Rüti bei Büren	22.5385527877
394	Wengi	6.6115702479
401	Aefligen	32.42147923
402	Alchenstorf	14.1592920354
403	Bäriswil	29
404	Burgdorf	67.9210647086
405	Ersigen	17.971758665
406	Hasle bei Burgdorf	46.8248877486
407	Heimiswil	10.4808877928
408	Hellsau	5.4054054054
409	Hindelbank	49.2957746479
410	Höchstetten	34.3511450382
411	Kernenried	33.2594235033
412	Kirchberg (BE)	59.5367354325
413	Koppigen	50.6575742815
414	Krauchthal	18.0457746479
415	Lyssach	84.6745976207
416	Mötschwil	0
417	Niederösch	28.9256198347
418	Oberburg	36.5682137834
419	Oberösch	8.8495575221
420	Rüdtligen-Alchenflüh	45.2238117213
421	Rumendingen	0
422	Rüti bei Lyssach	0
423	Willadingen	5.2356020942
424	Wynigen	25.8964143426
431	Corgémont	22.8310502283
432	Cormoret	55.4455445545
433	Cortébert	48.1586402266
434	Courtelary	50.8474576271
435	La Ferrière	41.1214953271
436	La Heutte	18.3673469388
437	Mont-Tramelan	16.1290322581
438	Orvin	22.7081581161
439	Péry	42.3476968796
440	Plagne	22.2222222222
441	Renan (BE)	41.8660287081
442	Romont (BE)	37.4331550802
443	Saint-Imier	81.6498316498
444	Sonceboz-Sombeval	47.9143179256
445	Sonvilier	36.8098159509
446	Tramelan	25.0644178965
447	Vauffelin	25.7611241218
448	Villeret	45.7516339869
491	Brüttelen	15.4639175258
492	Erlach	70.306038048
493	Finsterhennen	6.3424947146
494	Gals	25.3521126761
495	Gampelen	103.5805626599
496	Ins	62.0863536086
497	Lüscherz	30.131826742
498	Müntschemier	52.7559055118
499	Siselen	31.746031746
500	Treiten	25.641025641
501	Tschugg	6.880733945
502	Vinelz	34.0632603406
532	Bangerten	6.25
533	Bätterkinden	54.3549443353
534	Büren zum Hof	8.2304526749
535	Deisswil bei Münchenbuchsee	11.4942528736
536	Diemerswil	0
537	Etzelkofen	3.4722222222
538	Fraubrunnen	44.6327683616
539	Grafenried	17.819706499
540	Jegenstorf	43.2928129665
541	Iffwil	0
542	Limpach	9.1185410334
543	Mattstetten	15.2027027027
544	Moosseedorf	63.4517766497
545	Mülchi	12.8755364807
546	Münchenbuchsee	44.3965959192
547	Münchringen	17.0357751278
548	Ruppoldsried	7.7519379845
549	Schalunen	23.2558139535
550	Scheunen	62.5
551	Urtenen-Schönbühl	36.814159292
552	Utzenstorf	43.969245555
553	Wiggiswil	0
554	Wiler bei Utzenstorf	29.4117647059
555	Zauggenried	15.4320987654
556	Zielebach	33.5365853659
557	Zuzwil (BE)	0
561	Adelboden	35.1366424986
562	Aeschi bei Spiez	17.9640718563
563	Frutigen	41.6417910448
564	Kandergrund	17.2626387176
565	Kandersteg	53.4223706177
566	Krattigen	7.2463768116
567	Reichenbach im Kandertal	22.0289855072
571	Beatenberg	39.6126760563
572	Bönigen	21.5142738933
573	Brienz (BE)	40.21094265
574	Brienzwiler	36.398467433
575	Därligen	42.2885572139
576	Grindelwald	70.725388601
577	Gsteigwiler	23.8095238095
578	Gündlischwand	13.986013986
579	Habkern	6.4205457464
580	Hofstetten bei Brienz	34.5423143351
581	Interlaken	186.119873817
582	Iseltwald	56.0975609756
584	Lauterbrunnen	62.3003194888
585	Leissigen	16.2689804772
586	Lütschental	4.1666666667
587	Matten bei Interlaken	73.2356857523
588	Niederried bei Interlaken	50.7462686567
589	Oberried am Brienzersee	39.6659707724
590	Ringgenberg (BE)	29.3122886133
591	Saxeten	29.4117647059
592	Schwanden bei Brienz	8.2508250825
593	Unterseen	53.241579138
594	Wilderswil	26.6830870279
602	Arni (BE)	8.4299262381
603	Biglen	27.8422273782
604	Bleiken bei Oberdiessbach	0
605	Bowil	14.4927536232
606	Brenzikofen	18.1818181818
607	Freimettigen	23.5849056604
608	Grosshöchstetten	37.0710784314
609	Häutligen	0
610	Herbligen	11.1524163569
611	Kiesen	57.2851805729
612	Konolfingen	47.5586556753
613	Landiswil	20.1863354037
614	Linden	9.8484848485
615	Mirchel	9.3457943925
616	Münsingen	48.6248427108
617	Niederhünigen	12.2511485452
619	Oberdiessbach	32.1027287319
620	Oberthal	19.1326530612
622	Oppligen	61.5384615385
623	Rubigen	34.3257443082
624	Schlosswil	21.021021021
625	Tägertschi	14.8148148148
626	Walkringen	21.6567406605
627	Worb	45.8723705144
628	Zäziwil	26.0648442467
629	Oberhünigen	2.9585798817
630	Allmendingen	12.3711340206
631	Trimstein	18.5185185185
632	Wichtrach	31.0932798395
661	Clavaleyres	20.4081632653
662	Ferenbalm	15.3597413096
663	Frauenkappelen	28.9288506646
664	Golaten	3.355704698
665	Gurbrü	11.8577075099
666	Kriechenwil	14.7058823529
667	Laupen	54.0830945559
668	Mühleberg	35.4850887127
669	Münchenwiler	16.6666666667
670	Neuenegg	21.1455553274
671	Wileroltigen	0
681	Belprahon	33.00330033
682	Bévilard	18.779342723
683	Champoz	19.1082802548
684	Châtelat	0
687	Corcelles (BE)	4.6728971963
690	Court	29.5857988166
691	Crémines	46.8164794007
692	Eschert	5.291005291
694	Grandval	20.9580838323
696	Loveresse	0
697	Malleray	28.5568587455
699	Monible	44.4444444444
700	Moutier	61.9445549808
701	Perrefitte	20.8768267223
702	Pontenet	24.5098039216
703	Reconvilier	43.6525612472
704	Roches (BE)	8.8888888889
706	Saicourt	35.8361774744
707	Saules (BE)	40.8163265306
708	Schelten	177.7777777778
709	Seehof	14.4927536232
710	Sornetan	32
711	Sorvilier	37.037037037
712	Souboz	7.874015748
713	Tavannes	51.5552995392
715	Rebévelier	0
721	Diesse	64.0732265446
