Regions-ID	Regionsname	Anteil der Siedlungsflächen* an der Gesamtfläche in %
1	Aeugst am Albis	12.5794155019
2	Affoltern am Albis	30.7547169811
3	Bonstetten	15.5704697987
4	Hausen am Albis	12.6461988304
5	Hedingen	19.9081163859
6	Kappel am Albis	8.3014048531
7	Knonau	17.9723502304
8	Maschwanden	8.9743589744
9	Mettmenstetten	15.938697318
10	Obfelden	24.238410596
11	Ottenbach	20.8835341365
12	Rifferswil	10.3500761035
13	Stallikon	11.0741049126
14	Wettswil am Albis	40.848806366
21	Adlikon	10.9939759036
22	Benken (ZH)	8.1128747795
23	Berg am Irchel	4.9575070822
24	Buch am Irchel	6.8181818182
25	Dachsen	31.5985130112
26	Dorf	12.4548736462
27	Feuerthalen	42.8
28	Flaach	8.431372549
29	Flurlingen	22.9166666667
30	Andelfingen	15.8445440957
31	Henggart	22.8758169935
32	Humlikon	9.5108695652
33	Kleinandelfingen	13.2167152575
34	Laufen-Uhwiesen	12.48
35	Marthalen	11.8021201413
36	Oberstammheim	8.5287846482
37	Ossingen	9.3058733791
38	Rheinau	11.6461366181
39	Thalheim an der Thur	9.0062111801
40	Trüllikon	8.6820083682
41	Truttikon	6.3205417607
42	Unterstammheim	11.2792297111
43	Volken	5.8103975535
44	Waltalingen	7.5549450549
51	Bachenbülach	23.7762237762
52	Bassersdorf	30.7007786429
53	Bülach	29.9378881988
54	Dietlikon	47.3933649289
55	Eglisau	17.4008810573
56	Embrach	20.3296703297
57	Freienstein-Teufen	9.7238895558
58	Glattfelden	19.5775792039
59	Hochfelden	9.593495935
60	Höri	19.0775681342
61	Hüntwangen	23.9350912779
62	Kloten	43.3160621762
63	Lufingen	15.2215799615
64	Nürensdorf	22.0019821606
65	Oberembrach	6.8762278978
66	Opfikon	62.2103386809
67	Rafz	16.697761194
68	Rorbas	15.4708520179
69	Wallisellen	56.6563467492
70	Wasterkingen	7.3604060914
71	Wil (ZH)	15.2731326644
72	Winkel	21.4814814815
81	Bachs	6.0109289617
