Region	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Schweiz	13122366	12556417	12100172	12185467	11807388	12869543	12270764	13378446	12427332	12584562	12196922	12047779	12322537	13171286	13386598	13688498	14303333	14869241
......7626 Jura (Unzuteilbar)	199265	169798	653268	319406	321102	1113801	135182	161802	149070	165705	150496	133700	138886	181212	167321	165377	182384	161994
......7625 Genf (Unzuteilbar)	173870	166541	97838	43755	49216	49628	77043	147140	155082	131533	94091	134215	154333	268721	350390	191155	226460	299877
......7624 Neuenburg (Unzuteilbar)	140552	125455	147161	183449	217978	228382	132824	172283	148934	156852	93235	60001	51066	51259	87195	125763	82227	122374
......7623 Wallis (Unzuteilbar)	156848	127536	89834	96065	137033	148974	114723	244166	190877	212029	219412	157943	283026	216341	313585	326283	298917	392489
......7622 Waadt (Unzuteilbar)	337835	348694	356905	329001	281348	268433	221346	205367	187721	233819	234015	178157	202651	159236	248668	287626	273081	269567
......7621 Tessin (Unzuteilbar)	275710	233294	200852	185421	203615	247136	342690	504966	545187	507551	606107	594192	573953	618535	663221	715945	938206	766636
......7620 Thurgau (Unzuteilbar)	66932	68630	74611	124877	99617	93004	87443	72673	63257	30558	55034	58300	37974	42437	25475	16524	15891	22425
......7619 Aargau (Unzuteilbar)	299351	238915	104756	113708	80833	133706	136013	181693	169922	172779	164602	175978	176586	235837	221180	137354	168626	180113
......7618 Graubünden (Unzuteilbar)	175731	174576	159314	199667	201757	178654	190846	241920	346729	342266	295666	298171	324403	390525	432846	438728	374390	378245
......7617 St. Gallen (Unzuteilbar)	149261	84889	56293	52388	55261	70881	81946	110456	60349	47952	71249	104004	109669	111682	125766	129055	130632	183603
......7616 Appenzell I.Rh. (Unzuteilbar)	1935	1832	2987	1208	2026	1199	1706	2434	1315	1526	2901	3872	3837	4732	969	1331	1456	1887
......7615 Appenzell A.Rh. (Unzuteilbar)	14151	11555	12509	16085	19814	13750	12814	13318	10452	26758	21615	27699	24176	16544	25609	24563	25665	22688
......7614 Schaffhausen (Unzuteilbar)	6518	7634	6108	5017	6361	17083	7775	15401	21715	11322	11645	24271	16498	11938	17013	44879	29996	37933
......7613 Basel-Landschaft (Unzuteilbar)	168109	153645	256337	187722	135972	164262	105594	124822	158918	75789	121210	161669	177268	115248	183466	186367	45106	44121
......7612 Basel-Stadt (Unzuteilbar)	74188	20432	10554	5800	12524	13710	17021	21902	25668	30401	36059	28876	34338	54134	61614	56388	56782	99093
......7611 Solothurn (Unzuteilbar)	120164	115830	196076	188895	240888	193515	178797	175252	160462	130389	109651	113880	118142	107478	92938	88409	125290	197910
......7610 Freiburg (Unzuteilbar)	184192	191665	180553	190425	132590	135206	109068	65446	101480	100402	66638	83229	105800	115433	57825	184215	174895	72516
......7609 Zug (Unzuteilbar)	23056	18798	17648	23272	28831	30027	39698	83384	103875	115463	40679	28429	52699	94564	101583	63952	87319	101715
......7608 Glarus (Unzuteilbar)	2315	10493	7186	10258	11033	12729	7248	9121	18912	16007	25713	17968	9365	17627	58442	44055	24446	10974
......7607 Nidwalden (Unzuteilbar)	8277	8822	8030	21239	28816	37975	39913	45592	16221	92194	109683	79948	69797	96646	92052	91022	69699	26000
......7606 Obwalden (Unzuteilbar)	4941	3446	4322	5937	5117	6381	16319	15763	19994	20206	12709	31400	17380	7212	6888	7120	6632	6851
......7605 Schwyz (Unzuteilbar)	50475	51743	43816	43405	53989	49363	62594	89741	95689	69273	56908	71296	66767	106553	117940	109096	60071	32664
......7604 Uri (Unzuteilbar)	80502	92645	119970	90017	103817	186533	170061	247756	223884	219374	244398	333826	344729	284056	341899	244634	201565	151529
......7603 Luzern (Unzuteilbar)	88025	69651	74970	122338	132199	145855	138446	93094	116476	128818	127195	112172	129129	210195	147215	165348	227922	258999
......7602 Bern (Unzuteilbar)	290090	357287	274854	304362	222599	280612	276524	363707	355603	399087	344213	334753	325264	400061	461948	439947	480354	502189
......7601 Zürich (Unzuteilbar)	390015	442658	313448	432152	516966	539310	595565	272643	167904	143506	124566	131007	163017	260613	360105	504343	449533	283466
......6810 La Baroche	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	163	0
......6809 Haute-Ajoie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7510	2407	760	0
......6808 Clos du Doubs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1675	2159	632	306
......6807 Basse-Allaine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	388	321	29
......6806 Vendlincourt	0	0	0	0	296	2383	1105	105	185	144	46	0	5003	0	0	0	0	38
......6805 Seleute*	140	100	110	133	0	0	0	0	60	0	0	0	0	0	0	0	0	0
......6804 Saint-Ursanne*	1265	2172	1167	1674	2611	11874	2081	910	895	0	0	0	0	0	0	0	0	0
......6803 Rocourt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210
......6802 Roche-d'Or*	0	0	0	0	0	0	200	300	140	0	0	0	0	0	0	0	0	0
......6801 Réclère*	0	0	0	0	0	0	0	0	0	0	0	400	100	779	0	0	0	0
......6800 Porrentruy	10454	10280	8311	727	4795	4672	4723	9464	13586	19815	8046	24379	11268	10781	14306	7482	15496	5836
......6799 Pleujouse*	600	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......6798 Ocourt*	347	147	470	318	728	487	400	0	451	161	161	0	35	133	0	0	0	0
......6797 Montmelon*	0	0	0	0	120	122	0	226	180	410	18	26	201	0	0	0	0	0
......6796 Montignez*	55	7	32	278	426	146	49	363	87	0	3	52	5	109	0	0	0	0
......6795 Montenol*	0	0	0	0	0	750	0	0	0	70	0	0	0	0	0	0	0	0
......6794 Miécourt*	23	0	40	0	0	40	1053	0	15	15	0	0	0	0	0	0	0	0
......6793 Lugnez	281	293	245	87	17	35	0	0	0	0	0	0	0	0	0	0	0	80
......6792 Grandfontaine	0	0	0	130	0	0	0	0	0	0	144	656	155	50	500	0	440	0
......6791 Fregiécourt*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......6790 Fontenais	1483	942	1067	2362	2048	2100	1066	1564	1780	294	24	75	395	1739	376	743	1005	1232
......6789 Fahy	0	0	0	45	40	0	20	0	30	689	0	0	0	19	9	618	136	65
......6788 Damvant*	95	81	29	0	0	200	370	0	0	0	0	0	0	0	0	0	0	0
......6787 Damphreux	40	0	0	0	0	0	0	0	95	35	0	0	0	0	16	20	0	0
......6786 Courtemaîche*	0	0	60	250	426	400	41	5	0	144	0	588	554	0	0	0	0	0
......6785 Courtedoux	480	0	0	0	0	0	0	50	40	0	0	0	0	0	0	1	5	170
......6784 Courgenay	150	19	0	10	60	0	0	10	13	3300	0	0	0	464	1022	89	139	289
......6783 Courchavon	810	0	275	200	501	904	11	520	71	484	0	0	0	589	0	0	0	184
......6782 Cornol	954	354	170	580	285	451	269	300	0	0	300	0	0	44	606	0	31	0
......6781 Coeuve	100	0	0	10	0	643	1550	180	5	195	0	0	0	0	0	0	0	0
......6780 Chevenez *	868	1644	1414	53	1325	1228	2627	73	872	500	1082	663	873	588	0	0	0	0
......6779 Charmoille*	236	1036	515	261	78	69	210	1579	8	42	2477	307	15	0	0	0	0	0
......6778 Bure	1099	1336	1996	1053	1383	2489	7491	7921	9077	11260	6696	4156	11676	13681	5609	3799	4697	2173
......6777 Buix*	0	0	0	0	0	0	0	1531	800	400	0	61	0	0	0	0	0	0
......6776 Bressaucourt*	0	0	75	431	543	470	425	97	20	80	0	40	120	50	35	359	406	79
......6775 Bonfol	443	1412	1239	1864	0	365	55	343	0	70	0	42	0	0	53	70	20	4219
......6774 Boncourt	283	247	6	12	0	38	297	0	190	4	199	973	5816	1276	2308	126	490	270
......6773 Beurnevésin	0	0	0	224	656	0	0	400	300	0	0	0	0	2	18	0	0	0
......6772 Asuel*	450	0	0	0	0	74	0	0	16	0	200	250	0	0	0	0	0	0
......6771 Alle	405	605	700	795	590	800	1430	1568	2709	70	0	15	15	0	33	4	0	15
......6759 Soubey	476	1076	16	50	71	0	0	0	0	0	0	0	0	0	0	0	0	0
......6758 Saint-Brais	500	500	250	200	50	300	800	700	200	200	0	0	0	0	0	0	0	0
......6757 Saignelégier	1500	900	1330	0	0	500	1540	0	0	202	598	13	14	28	58	2185	508	1987
......6756 Les Pommerats*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......6755 Le Peuchapatte*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......6754 Le Noirmont	320	30	610	500	950	2000	1150	500	2000	1660	1280	1330	0	3428	1303	2606	1585	6
......6753 Muriaux	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0
......6752 Montfavergier*	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0
......6751 Montfaucon	558	462	0	460	560	1058	2420	1900	1510	635	600	720	0	65	470	594	2147	2455
......6750 Lajoux (JU)	1442	400	100	990	1590	490	1790	590	235	200	110	240	230	240	0	0	0	14
......6749 Goumois*	530	686	124	0	85	30	20	0	0	0	0	0	0	0	0	0	0	0
......6748 Les Genevez (JU)	0	0	90	350	0	0	400	0	0	0	0	0	0	0	154	50	0	5
......6747 Epiquerez*	210	160	5	48	0	30	20	0	0	0	200	140	0	0	0	0	0	0
......6746 Epauvillers*	0	580	0	365	549	33	2	52	261	564	160	400	550	666	0	0	0	0
......6745 Les Enfers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
......6744 La Chaux-des-Breuleux	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	6
......6743 Les Breuleux	107	1100	200	300	1680	980	50	2520	4525	200	0	0	0	0	0	0	0	0
......6742 Les Bois	0	687	612	550	2054	1377	1158	1926	527	1304	851	3413	875	860	617	329	382	1149
......6741 Le Bémont (JU)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......6730 Val Terbi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......6729 Haute-Sorne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......6728 Vellerat	0	200	0	5	100	85	30	15	45	5	0	170	0	0	0	0	0	0
......6727 Vicques*	2226	1800	352	266	1048	1000	120	0	0	2030	3000	135	4	0	81	106	0	0
......6726 Vermes*	460	1104	50	0	15	360	340	100	384	842	1214	856	527	887	195	0	0	6
......6725 Undervelier*	850	0	0	255	127	25	120	160	30	500	1200	2932	30	0	0	0	0	188
......6724 Soyhières	650	240	215	1120	47	220	485	1130	110	100	100	350	0	0	0	0	0	40
......6723 Soulce*	0	0	0	1505	0	0	0	0	0	0	0	0	0	22	10	0	0	3
......6722 Saulcy	517	220	387	206	456	550	503	489	140	126	35	14	0	0	0	0	0	36
......6721 Rossemaison	580	100	100	0	85	480	2033	1245	1000	865	0	0	0	0	207	3	0	0
......6720 Rebeuvelier	500	322	1000	0	0	0	50	420	250	0	0	0	300	587	0	49	70	0
......6719 Pleigne	0	0	107	0	355	217	433	305	0	508	200	70	350	0	0	0	0	3
......6718 Movelier	300	508	150	0	0	0	20	0	0	0	0	0	0	0	0	0	60	70
......6717 Montsevelier*	0	405	2615	655	753	1124	671	0	808	440	352	0	3	0	0	0	0	710
......6716 Mettembert	0	1070	1020	100	920	185	35	3	202	50	130	160	0	60	50	0	61	192
......6715 Mervelier	0	0	50	330	450	650	0	0	0	0	0	0	0	0	0	0	0	80
......6714 Glovelier*	0	0	0	880	2552	1160	325	3107	0	0	0	0	38	14	0	0	0	553
......6713 Ederswiler	0	0	0	0	0	200	1200	400	200	0	0	0	0	0	0	0	0	0
......6712 Develier	2100	1780	460	1050	840	300	0	70	26	0	0	0	0	515	2668	0	57	57
......6711 Delémont	12394	29202	33631	33045	14341	7476	10386	25173	18033	12016	3295	3093	5269	3361	9063	12208	19355	13705
......6710 Courtételle	869	1730	1740	1300	1492	1450	1710	1380	98	540	1983	399	138	2540	779	2794	1579	328
......6709 Courroux	855	1055	1450	458	1030	630	1660	1616	1100	380	300	10	55	300	1305	3116	676	0
......6708 Courrendlin	960	0	40	360	3050	2023	225	63	0	41	0	650	409	590	17	287	0	80
......6707 Courfaivre*	800	700	750	600	883	40	108	303	620	2948	1400	285	1254	578	0	512	2325	2274
......6706 Courchapoix	900	485	0	0	152	0	100	20	0	0	0	0	0	0	43	0	0	401
......6705 Corban	530	0	0	0	0	0	0	0	0	0	0	30	116	155	635	0	20	0
......6704 Châtillon (JU)	180	0	0	0	0	200	1300	0	160	0	0	0	0	0	0	0	899	833
......6703 Bourrignon	2160	0	625	432	515	0	1	0	57	58	0	0	0	55	3	0	0	58
......6702 Boécourt	100	950	102	1976	290	825	40	630	25	0	0	0	0	0	0	0	0	11
......6701 Bassecourt*	15	34	816	1142	185	25	200	4560	1400	150	0	0	600	0	37	1183	129	904
......6645 Veyrier	6621	3812	1642	5678	7348	10386	15825	33123	3858	2531	3065	4832	5853	4993	14018	7994	1707	16425
......6644 Versoix	15168	13748	13128	10410	7669	12640	7425	3365	8025	6125	4465	4889	4788	6442	8190	10894	18274	22641
......6643 Vernier	113006	39346	13864	41553	76226	47929	55929	44709	23361	17319	11498	12025	12774	31252	20366	12566	23689	21268
......6642 Vandoeuvres	26180	8950	10613	3493	551	807	1885	1835	1112	382	145	1384	767	4180	1464	8012	1753	1004
......6641 Troinex	2287	1358	2009	1059	695	808	654	1953	5477	5921	1031	2510	874	21010	571	7978	1025	408
......6640 Thônex	13644	14946	10480	21740	22410	8324	4027	9941	7863	6813	13441	23619	31085	74823	14495	12685	9025	6017
......6639 Soral	1183	393	1	139	134	39	340	0	12	100	128	1235	0	158	0	0	336	1081
......6638 Satigny	14790	21368	4059	8694	8784	3489	1130	2740	4557	14402	21398	16127	43121	49862	21400	5953	6603	7463
......6637 Russin	5762	19620	32706	42874	21218	9540	4749	2278	2188	6318	9416	1535	1627	61	3682	3078	3987	1084
......6636 Puplinge	341	0	0	754	1045	203	531	1913	744	190	768	864	840	332	5	29169	61236	30275
......6635 Presinge	1710	158	1600	985	623	0	230	2	499	1667	2889	755	0	0	426	1932	1177	485
......6634 Pregny-Chambésy	2236	408	1121	1148	725	1503	7733	5673	4589	3054	3634	3168	3713	2936	852	1144	8483	6242
......6633 Plan-les-Ouates	7565	8641	3703	11114	9501	35891	44158	26751	15458	6265	21708	20037	15468	27268	3966	3975	9013	18752
......6632 Perly-Certoux	6440	149	965	4635	7016	2461	2370	1152	3550	1781	3442	6105	653	4070	2056	3386	2344	1125
......6631 Onex	16290	2522	5295	6431	4733	3104	2473	6713	6218	8039	5456	5020	2677	4062	3231	8817	1180	462
......6630 Meyrin	21197	9624	14636	36925	40644	60181	34397	37095	17414	10593	18365	39482	69727	127018	71971	7622	7813	12095
......6629 Meinier	0	101	0	1378	435	2050	685	2640	161	0	3046	1454	4763	4808	2687	11373	13835	11458
......6628 Lancy	22548	18894	33152	19287	13118	11378	13523	27474	29806	38842	39771	32761	26261	34615	15154	12101	35717	81194
......6627 Laconnex	208	74	190	65	50	504	2400	1214	2100	1300	250	200	550	0	25430	865	696	370
......6626 Jussy	0	350	1975	87	502	1117	651	4549	2426	550	1567	125	21	138	1007	3112	2879	11693
......6625 Hermance	0	300	350	823	150	393	1730	3466	122	350	164	290	101	215	350	98	844	946
......6624 Gy	114	605	739	1162	200	22	385	2510	918	17	400	200	0	1000	2985	6363	3348	0
......6623 Le Grand-Saconnex	71389	22088	33238	32310	26996	31344	52494	48180	74401	47544	29092	36676	25391	9092	3412	12722	26447	33761
......6622 Genthod	4852	1577	613	1738	2894	1795	499	1998	0	1110	3292	1355	5357	4352	3552	6449	8993	9045
......6621 Genève	188834	183261	182643	192305	196390	172686	192809	163458	171843	171973	175721	134465	132286	220830	179595	269651	362899	414876
......6620 Dardagny	2362	2239	1769	3353	1225	2043	832	538	1803	3413	5308	3515	3251	6195	6530	2057	127	468
......6619 Corsier (GE)	920	217	573	200	100	150	400	1000	586	210	100	1258	1486	1449	3775	1394	1126	49
......6618 Confignon	5302	297	2204	224	869	6119	4671	5137	4379	4978	12841	29330	2313	1850	2400	2435	1676	11957
......6617 Cologny	5100	3800	7960	15565	2637	5969	8953	7099	4844	15115	13071	1300	3103	5298	3067	7373	13951	7348
......6616 Collonge-Bellerive	5455	10561	9706	8774	14308	26374	8651	10233	17115	8728	4737	7011	7329	2962	4198	5208	13471	9182
......6615 Collex-Bossy	2931	74	781	1093	634	696	154	2723	1147	43	3851	2077	3735	3507	1900	62	189	632
......6614 Choulex	923	1879	9965	0	132	261	542	1442	124	1331	538	0	650	78	928	7654	4320	1436
......6613 Chêne-Bourg	6904	8823	2926	4182	3625	4455	1566	6138	9709	3452	4464	1498	10467	3454	4234	2999	869	1744
......6612 Chêne-Bougeries	13978	11299	11379	8061	894	1504	4921	7608	10097	4015	5684	8592	3156	1213	8582	2765	2825	1724
......6611 Chancy	10	160	1478	4147	4887	1550	3029	40	200	1516	4040	1140	250	0	5259	2290	1026	1708
......6610 Céligny	1254	5554	0	0	323	109	1300	555	0	900	136	0	0	0	278	774	184	385
......6609 Cartigny	0	0	55	0	0	322	371	239	934	632	1786	3168	1165	1141	2519	487	432	230
......6608 Carouge (GE)	19825	8041	9066	15108	15684	17057	16651	13801	4018	13559	8391	24854	54158	78099	41494	36071	27675	26489
......6607 Bernex	7952	3942	8453	6798	9971	4205	7519	8071	4843	5251	5979	14534	12198	5035	7303	4488	17773	20266
......6606 Bellevue	225	1283	549	2007	7999	14817	22065	33664	25697	17859	16707	5912	3291	1654	1113	163	1385	4289
......6605 Bardonnex	547	2094	965	1119	2267	1057	1097	3193	5328	3045	702	2428	1621	1156	1553	2624	2448	38698
......6604 Avusy	222	45	8	400	1504	5310	7665	2500	730	0	355	50	170	250	0	2800	4190	1637
......6603 Avully	1543	1504	2436	1707	235	25	0	40	843	234	25	681	1755	2596	249	31	730	492
......6602 Anières	5571	16469	4672	15001	6869	9202	5068	1169	2696	9169	6455	3022	1433	5750	8335	9855	3861	4558
......6601 Aire-la-Ville	35520	13947	753	0	1728	75	16961	12674	7390	2185	120	600	0	176	1255	2374	20	206
