Region	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Schweiz	30732163	27447267	26123825	26291916	26081447	27724815	28314976	27611759	28683754	30751268	33660458	34579534	35137296	36094454	36805944	38451149	40330231	41399050
......7626 Jura (Unzuteilbar)	1532	2542	5370	3002	1931	2130	1540	1206	1350	1047	5478	8008	8282	5702	938	0	0	0
......7625 Genf (Unzuteilbar)	10000	2000	3000	2100	0	0	0	0	6	64	0	0	290	0	0	0	0	0
......7624 Neuenburg (Unzuteilbar)	400	3677	2320	1701	1345	150	244	500	1020	1200	11372	1100	350	380	480	450	500	400
......7623 Wallis (Unzuteilbar)	244288	355411	288725	314384	33940	30171	27980	30453	31136	42965	41717	78216	66345	33516	16805	22088	21134	18074
......7622 Waadt (Unzuteilbar)	108561	17708	50844	72463	30377	24219	31714	39649	69134	73426	47983	62437	65701	7199	4174	4516	3377	5222
......7621 Tessin (Unzuteilbar)	13562	8480	7019	9280	1790	1850	7180	5520	9700	2500	3186	5405	19955	34039	22077	29217	36686	6704
......7620 Thurgau (Unzuteilbar)	9447	0	235	4075	680	1099	8500	80	0	0	6834	25115	7216	628	3713	3622	3935	3184
......7619 Aargau (Unzuteilbar)	49488	78089	92533	40889	40605	26855	24350	39660	56445	12762	26410	17407	26614	59542	59107	82002	33287	26990
......7618 Graubünden (Unzuteilbar)	75701	9185	20534	24687	18208	40904	26029	11800	19582	35014	14792	29584	56237	107498	70561	58655	76409	43434
......7617 St. Gallen (Unzuteilbar)	0	0	0	0	0	80	207	100	300	14414	10829	1704	1013	6738	14067	2862	7978	17197
......7616 Appenzell I.Rh. (Unzuteilbar)	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0
......7615 Appenzell A.Rh. (Unzuteilbar)	0	0	0	575	0	0	0	2080	1135	2680	1986	850	810	49	120	50	133	275
......7614 Schaffhausen (Unzuteilbar)	0	0	425	0	241	1000	0	0	85	269	0	331	36	47	0	0	0	0
......7613 Basel-Landschaft (Unzuteilbar)	41511	11690	18612	14485	12468	25701	17688	4628	4550	4393	3838	6705	3792	60	7954	4693	12950	3839
......7612 Basel-Stadt (Unzuteilbar)	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0
......7611 Solothurn (Unzuteilbar)	4610	9890	8172	6789	5862	7278	10253	16947	16127	42404	33904	49862	45868	60788	27845	49171	30932	31552
......7610 Freiburg (Unzuteilbar)	7341	5581	11300	4856	5066	9607	3103	5281	3922	1515	3072	2683	2737	3260	11402	10920	22676	25999
......7609 Zug (Unzuteilbar)	100	0	0	0	0	0	0	0	0	145	3321	845	254	204	160	0	12	47
......7608 Glarus (Unzuteilbar)	40	0	0	300	6000	3000	4000	1100	760	0	47	0	22015	940	191817	288482	221536	332325
......7607 Nidwalden (Unzuteilbar)	1427	947	1585	2560	266	1227	12765	16693	18929	0	0	535	0	0	0	0	0	0
......7606 Obwalden (Unzuteilbar)	105	399	0	0	0	0	0	144	21	0	0	0	0	0	0	0	0	0
......7605 Schwyz (Unzuteilbar)	14303	945	1057	1045	1408	4103	4382	1944	2020	464	2407	10251	2490	21393	14349	9287	7512	360
......7604 Uri (Unzuteilbar)	0	0	955	2579	5074	3573	9346	6220	1714	6697	650	2	63	9	10	123	2420	100
......7603 Luzern (Unzuteilbar)	8576	4963	2577	3070	7384	4165	7322	4680	6547	14642	27657	8980	17594	20997	14774	25142	21440	2287
......7602 Bern (Unzuteilbar)	98759	86004	67675	49509	43921	42455	35839	46644	64428	62763	147301	140245	147946	109826	33259	78584	89967	177918
