Region	Auftraggeber	Art Bauwerk	Art Arbeit	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Schweiz	Öffentliche Auftraggeber	Hochbau	Neubau	3061200	2673376	2571472	2239703	2046468	2008424	2028675	1898968	2141002	1849686	1915357	2057152	2175312	2477524	2397342	2981843	3744990	3425831
Schweiz	Öffentliche Auftraggeber	Hochbau	Umbau	2899784	2796742	3363440	3035401	2764174	2708563	2954008	2913015	2644667	2914810	3055249	2824334	2721803	3067639	3346165	3788378	3788524	3716993
Schweiz	Öffentliche Auftraggeber	Tiefbau	Neubau	4898191	4546552	4403970	4651482	5163554	5292159	5125508	5256456	4988489	5116098	5064969	4781899	4692415	5241407	4967776	4618700	4512153	5123789
Schweiz	Öffentliche Auftraggeber	Tiefbau	Umbau	3166812	3315276	3076863	2909695	2812947	2682971	2937063	2881158	2799922	2757227	3080284	3197390	3392064	4036400	3891111	3888440	4061880	4675256
Schweiz	Private Auftraggeber	Hochbau	Neubau	22175143	20063937	19226444	18765669	19448393	20364512	22185034	21593897	22846918	26055626	28142350	29818663	31988616	30932308	32188135	31574855	32904996	37102219
Schweiz	Private Auftraggeber	Hochbau	Umbau	6427354	6059239	6507154	6193815	5959772	6323117	6158121	6196937	5852759	6715473	7385974	7819315	8837314	8208965	8977558	10088895	11233161	12353014
Schweiz	Private Auftraggeber	Tiefbau	Neubau	1319717	1125385	972008	882426	1125719	909239	1023490	692126	632664	771033	795293	910477	719171	697687	1073295	1196989	1047807	1297286
Schweiz	Private Auftraggeber	Tiefbau	Umbau	449164	511661	476319	432393	366052	453531	389522	392119	471975	488597	516953	526097	756680	736192	663330	644087	634835	727480
......7626 Jura (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7626 Jura (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	3918	4580	2198	1500	4050	3888	4756	2589	4267	781	812	3682	4595	0	0	3761	22839	0
......7626 Jura (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	180471	166806	348327	252026	120083	138918	165439	147076	122662	140825	133504	149256	155948	157818	150735	149790	132740	116234
......7626 Jura (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	8216	6573	6800	7166	15619	21180	22040	14202	31524	22023	14798	19062	23822	17606	18439	9310	8269	13943
......7626 Jura (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7626 Jura (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7626 Jura (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	1120	2340	3578	1450	1850	1850	4080	1970	1670	1580	1300	800	800	0	0	0	0	0
......7626 Jura (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	85	0	0	0	0	0	0	0	0	0	3545	5080	7580	0	0	0	0	0
......7625 Genf (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	8700	19436	4000	21000	70	0	0	15000	153800	0
......7625 Genf (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	7910	6340	3004	3000	7950	3953	6793	7651	7320	17727	15083	12419	7758	500	1000	25553	24701	1300
......7625 Genf (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	186183	101506	34615	38425	50258	98679	112962	133619	72197	83614	134199	108497	153138	306602	294191	152593	137618	316490
......7625 Genf (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	8184	7044	9496	7946	6047	8026	9214	9684	10926	23990	30847	18411	13558	34803	14126	5091	7179	39330
