Region	Arbeitsstätten	Beschäftigte
996  Wolfisberg	0	0
995  Wiedlisbach	0	0
993  Wangenried	0	0
992  Wangen an der Aare	0	0
991  Walliswil bei Wangen	0	0
990  Walliswil bei Niederbipp	0	0
99  Schöfflisdorf	0	0
989  Thörigen	0	0
988  Seeberg	0	0
987  Rumisberg	0	0
985  Ochlenberg	0	0
983  Oberbipp	0	0
982  Niederönz	1	519
981  Niederbipp	2	798
980  Inkwil	0	0
98  Schleinikon	0	0
979  Herzogenbuchsee	0	0
978  Hermiswil	0	0
977  Heimenhausen	0	0
976  Graben	0	0
975  Farnern	0	0
973  Bettenhausen	0	0
972  Berken	0	0
971  Attiswil	0	0
97  Rümlang	0	0
960  Wyssachen	0	0
96  Regensdorf	2	794
959  Walterswil (BE)	0	0
958  Trachselwald	0	0
957  Sumiswald	0	0
956  Rüegsau	0	0
955  Lützelflüh	0	0
954  Huttwil	0	0
953  Eriswil	0	0
952  Dürrenroth	0	0
951  Affoltern im Emmental	0	0
95  Regensberg	0	0
948  Forst-Längenbühl	0	0
947  Zwieselberg	0	0
946  Wachseldorn	0	0
945  Unterlangenegg	0	0
944  Uetendorf	0	0
943  Uebeschi	0	0
942  Thun	6	4028
941  Thierachern	0	0
940  Teuffenthal (BE)	0	0
94  Otelfingen	1	389
939  Steffisburg	2	1138
938  Sigriswil	0	0
937  Schwendibach	0	0
936  Pohlern	0	0
935  Oberlangenegg	0	0
934  Oberhofen am Thunersee	0	0
932  Horrenbach-Buchen	0	0
931  Homberg	0	0
930  Höfen	0	0
93  Oberweningen	0	0
929  Hilterfingen	0	0
928  Heimberg	0	0
927  Heiligenschwendi	1	318
925  Fahrni	0	0
924  Eriz	0	0
923  Buchholterberg	0	0
922  Blumenstein	0	0
921  Amsoldingen	0	0
92  Oberglatt	0	0
91  Niederweningen	0	0
909  Trubschachen	1	463
908  Trub	0	0
907  Signau	0	0
906  Schangnau	0	0
905  Rüderswil	0	0
904  Röthenbach im Emmental	0	0
903  Lauperswil	0	0
902  Langnau im Emmental	1	527
901  Eggiwil	0	0
90  Niederhasli	1	288
9  Mettmenstetten	0	0
89  Niederglatt	0	0
888  Wald (BE)	0	0
886  Wattenwil	0	0
885  Uttigen	0	0
884  Toffen	0	0
883  Seftigen	0	0
881  Rümligen	0	0
880  Rüeggisberg	0	0
88  Neerach	0	0
879  Riggisberg	0	0
878  Noflen	0	0
877  Niedermuhlern	0	0
876  Mühlethurnen	0	0
875  Mühledorf (BE)	0	0
874  Lohnstorf	0	0
873  Kirchenthurnen	0	0
872  Kirchdorf (BE)	0	0
871  Kienersrüti	0	0
870  Kehrsatz	0	0
87  Hüttikon	0	0
869  Kaufdorf	0	0
868  Jaberg	0	0
867  Gurzelen	0	0
866  Gerzensee	0	0
865  Gelterfingen	0	0
863  Burgistein	0	0
861  Belp	0	0
86  Dielsdorf	0	0
855  Schwarzenburg	1	349
853  Rüschegg	0	0
852  Guggisberg	0	0
85  Dänikon	0	0
843  Saanen	1	289
842  Lauenen	0	0
841  Gsteig	0	0
84  Dällikon	1	468
83  Buchs (ZH)	1	530
82  Boppelsen	0	0
81  Bachs	0	0
8  Maschwanden	0	0
794  Zweisimmen	0	0
793  St. Stephan	0	0
792  Lenk	0	0
791  Boltigen	0	0
786  Schattenhalb	1	344
785  Meiringen	0	0
784  Innertkirchen	0	0
783  Hasliberg	0	0
782  Guttannen	0	0
781  Gadmen	0	0
769  Wimmis	0	0
768  Spiez	1	298
767  Reutigen	0	0
766  Oberwil im Simmental	0	0
765  Oberstocken	0	0
764  Niederstocken	0	0
763  Erlenbach im Simmental	0	0
762  Diemtigen	0	0
761  Därstetten	0	0
756  Twann-Tüscherz	0	0
755  Worben	1	323
754  Walperswil	0	0
751  Täuffelen	0	0
750  Sutz-Lattrigen	0	0
749  Studen (BE)	0	0
748  Schwadernau	0	0
747  Scheuren	0	0
746  Safnern	0	0
745  Port	0	0
744  Orpund	0	0
743  Nidau	0	0
742  Mörigen	0	0
741  Merzligen	0	0
740  Ligerz	0	0
739  Ipsach	0	0
738  Jens	0	0
737  Hermrigen	0	0
736  Hagneck	0	0
735  Epsach	0	0
734  Bühl	0	0
733  Brügg	0	0
732  Bellmund	0	0
731  Aegerten	0	0
725  Prêles	0	0
724  Nods	0	0
723  La Neuveville	0	0
722  Lamboing	0	0
721  Diesse	0	0
72  Winkel	0	0
715  Rebévelier	0	0
713  Tavannes	0	0
712  Souboz	0	0
711  Sorvilier	0	0
710  Sornetan	0	0
71  Wil (ZH)	0	0
709  Seehof	0	0
708  Schelten	0	0
707  Saules (BE)	0	0
706  Saicourt	0	0
704  Roches (BE)	0	0
703  Reconvilier	0	0
702  Pontenet	0	0
701  Perrefitte	0	0
700  Moutier	2	775
70  Wasterkingen	0	0
7  Knonau	0	0
699  Monible	0	0
697  Malleray	0	0
696  Loveresse	0	0
694  Grandval	0	0
692  Eschert	0	0
691  Crémines	0	0
690  Court	0	0
69  Wallisellen	6	2800
687  Corcelles (BE)	0	0
684  Châtelat	0	0
683  Champoz	0	0
682  Bévilard	0	0
6810  La Baroche	0	0
681  Belprahon	0	0
6809  Haute-Ajoie	1	327
6808  Clos du Doubs	0	0
6807  Basse-Allaine	0	0
6806  Vendlincourt	0	0
6803  Rocourt	0	0
6800  Porrentruy	2	939
68  Rorbas	0	0
6793  Lugnez	0	0
6792  Grandfontaine	0	0
6790  Fontenais	0	0
6789  Fahy	0	0
6787  Damphreux	0	0
6785  Courtedoux	0	0
6784  Courgenay	0	0
6783  Courchavon	0	0
6782  Cornol	0	0
6781  Coeuve	0	0
6778  Bure	0	0
