Region	Arbeitsstätten	Beschäftigte
996  Wolfisberg	13	37
995  Wiedlisbach	174	498
993  Wangenried	27	82
992  Wangen an der Aare	160	503
991  Walliswil bei Wangen	30	68
990  Walliswil bei Niederbipp	14	39
99  Schöfflisdorf	90	245
989  Thörigen	81	210
988  Seeberg	139	363
987  Rumisberg	32	74
985  Ochlenberg	73	194
983  Oberbipp	91	261
982  Niederönz	75	193
981  Niederbipp	259	760
980  Inkwil	32	67
98  Schleinikon	57	126
979  Herzogenbuchsee	403	1334
978  Hermiswil	11	32
977  Heimenhausen	57	156
976  Graben	24	61
975  Farnern	23	44
973  Bettenhausen	33	96
972  Berken	7	27
971  Attiswil	93	266
97  Rümlang	607	1886
960  Wyssachen	117	305
96  Regensdorf	1104	3270
959  Walterswil (BE)	74	193
958  Trachselwald	113	321
957  Sumiswald	446	1466
956  Rüegsau	207	594
955  Lützelflüh	322	965
954  Huttwil	372	1183
953  Eriswil	130	381
952  Dürrenroth	117	337
951  Affoltern im Emmental	137	390
95  Regensberg	31	79
948  Forst-Längenbühl	55	143
947  Zwieselberg	26	55
946  Wachseldorn	33	76
945  Unterlangenegg	102	292
944  Uetendorf	404	1154
943  Uebeschi	66	162
942  Thun	2800	8786
941  Thierachern	117	286
940  Teuffenthal (BE)	32	81
94  Otelfingen	207	587
939  Steffisburg	727	1952
938  Sigriswil	360	956
937  Schwendibach	21	60
936  Pohlern	23	73
935  Oberlangenegg	67	246
934  Oberhofen am Thunersee	166	456
932  Horrenbach-Buchen	37	102
931  Homberg	59	164
930  Höfen	46	83
93  Oberweningen	78	185
929  Hilterfingen	207	520
928  Heimberg	327	944
927  Heiligenschwendi	58	136
925  Fahrni	76	197
924  Eriz	60	179
923  Buchholterberg	155	428
922  Blumenstein	82	220
921  Amsoldingen	59	137
92  Oberglatt	268	650
91  Niederweningen	151	344
909  Trubschachen	120	428
908  Trub	206	570
907  Signau	247	800
906  Schangnau	149	502
905  Rüderswil	219	615
904  Röthenbach im Emmental	172	544
903  Lauperswil	227	704
902  Langnau im Emmental	717	2335
901  Eggiwil	314	929
90  Niederhasli	393	980
9  Mettmenstetten	269	694
89  Niederglatt	191	480
888  Wald (BE)	113	291
886  Wattenwil	198	518
885  Uttigen	93	196
884  Toffen	131	359
883  Seftigen	134	362
881  Rümligen	44	125
880  Rüeggisberg	227	582
88  Neerach	238	544
879  Riggisberg	207	655
878  Noflen	37	116
877  Niedermuhlern	55	155
876  Mühlethurnen	68	164
875  Mühledorf (BE)	20	57
874  Lohnstorf	20	74
873  Kirchenthurnen	16	40
872  Kirchdorf (BE)	78	244
871  Kienersrüti	6	19
870  Kehrsatz	205	602
87  Hüttikon	43	96
869  Kaufdorf	57	135
868  Jaberg	16	36
867  Gurzelen	66	173
866  Gerzensee	92	253
865  Gelterfingen	33	80
863  Burgistein	88	245
861  Belp	653	1964
86  Dielsdorf	361	1162
855  Schwarzenburg	566	1589
853  Rüschegg	146	363
852  Guggisberg	186	519
85  Dänikon	92	207
843  Saanen	778	2481
842  Lauenen	118	322
841  Gsteig	124	368
84  Dällikon	228	669
83  Buchs (ZH)	235	668
82  Boppelsen	77	171
81  Bachs	55	167
8  Maschwanden	57	135
794  Zweisimmen	333	1105
793  St. Stephan	144	454
792  Lenk	301	1067
791  Boltigen	173	454
786  Schattenhalb	37	144
785  Meiringen	359	1080
784  Innertkirchen	92	270
783  Hasliberg	132	388
782  Guttannen	37	94
781  Gadmen	36	82
769  Wimmis	153	442
768  Spiez	778	2265
767  Reutigen	64	202
766  Oberwil im Simmental	116	322
765  Oberstocken	12	18
764  Niederstocken	33	71
763  Erlenbach im Simmental	157	459
762  Diemtigen	289	848
761  Därstetten	93	253
756  Twann-Tüscherz	111	320
755  Worben	92	270
754  Walperswil	70	157
751  Täuffelen	146	460
750  Sutz-Lattrigen	76	230
749  Studen (BE)	140	439
748  Schwadernau	43	119
747  Scheuren	27	79
746  Safnern	115	308
745  Port	145	382
744  Orpund	117	291
743  Nidau	391	991
742  Mörigen	48	108
741  Merzligen	22	40
740  Ligerz	57	164
739  Ipsach	162	423
738  Jens	48	97
737  Hermrigen	28	81
736  Hagneck	20	58
735  Epsach	34	97
734  Bühl	30	73
733  Brügg	265	1001
732  Bellmund	63	129
731  Aegerten	83	219
725  Prêles	49	116
724  Nods	49	112
723  La Neuveville	240	631
722  Lamboing	35	101
721  Diesse	35	71
72  Winkel	237	526
715  Rebévelier	8	24
713  Tavannes	225	684
712  Souboz	23	57
711  Sorvilier	27	55
710  Sornetan	20	52
71  Wil (ZH)	114	298
709  Seehof	17	40
708  Schelten	11	32
707  Saules (BE)	14	29
706  Saicourt	51	120
704  Roches (BE)	19	52
703  Reconvilier	105	385
702  Pontenet	12	33
701  Perrefitte	34	66
700  Moutier	464	1401
70  Wasterkingen	35	60
7  Knonau	114	274
699  Monible	7	19
697  Malleray	95	304
696  Loveresse	27	92
694  Grandval	25	60
692  Eschert	23	69
691  Crémines	34	112
690  Court	102	302
69  Wallisellen	1043	3176
687  Corcelles (BE)	20	47
684  Châtelat	19	43
683  Champoz	22	51
682  Bévilard	93	237
6810  La Baroche	119	299
681  Belprahon	16	44
6809  Haute-Ajoie	92	246
6808  Clos du Doubs	162	440
6807  Basse-Allaine	96	275
6806  Vendlincourt	34	78
6803  Rocourt	16	35
6800  Porrentruy	676	1924
68  Rorbas	143	333
6793  Lugnez	13	29
6792  Grandfontaine	37	102
6790  Fontenais	97	205
6789  Fahy	42	111
6787  Damphreux	20	62
6785  Courtedoux	41	106
6784  Courgenay	162	477
6783  Courchavon	28	77
6782  Cornol	67	175
6781  Coeuve	50	155
6778  Bure	43	132
6775  Bonfol	60	158
6774  Boncourt	113	315
6773  Beurnevésin	16	37
6771  Alle	124	375
6759  Soubey	22	50
6758  Saint-Brais	34	80
6757  Saignelégier	247	800
6754  Le Noirmont	149	375
6753  Muriaux	66	175
6751  Montfaucon	64	170
6750  Lajoux (JU)	48	109
6748  Les Genevez (JU)	47	96
6745  Les Enfers	17	47
6744  La Chaux-des-Breuleux	9	19
6743  Les Breuleux	102	276
6742  Les Bois	118	286
6741  Le Bémont (JU)	43	104
6730  Val Terbi	187	510
6729  Haute-Sorne	433	1157
6728  Vellerat	5	8
6724  Soyhières	44	107
6722  Saulcy	21	60
6721  Rossemaison	36	111
6720  Rebeuvelier	28	94
6719  Pleigne	27	71
6718  Movelier	35	86
6716  Mettembert	9	15
6715  Mervelier	40	72
6713  Ederswiler	11	30
6712  Develier	97	259
6711  Delémont	1080	3489
6710  Courtételle	131	346
671  Wileroltigen	27	82
6709  Courroux	187	513
6708  Courrendlin	151	420
6706  Courchapoix	28	73
6705  Corban	34	77
6704  Châtillon (JU)	24	78
6703  Bourrignon	33	98
