Region	Arbeitsstätten	Beschäftigte
996  Wolfisberg	0	0
995  Wiedlisbach	3	325
993  Wangenried	0	0
992  Wangen an der Aare	4	420
991  Walliswil bei Wangen	0	0
990  Walliswil bei Niederbipp	0	0
99  Schöfflisdorf	0	0
989  Thörigen	1	65
988  Seeberg	0	0
987  Rumisberg	0	0
985  Ochlenberg	0	0
983  Oberbipp	4	367
982  Niederönz	0	0
981  Niederbipp	5	622
980  Inkwil	0	0
98  Schleinikon	0	0
979  Herzogenbuchsee	9	919
978  Hermiswil	0	0
977  Heimenhausen	0	0
976  Graben	0	0
975  Farnern	0	0
973  Bettenhausen	0	0
972  Berken	0	0
971  Attiswil	0	0
97  Rümlang	18	1873
960  Wyssachen	1	93
96  Regensdorf	34	3543
959  Walterswil (BE)	0	0
958  Trachselwald	0	0
957  Sumiswald	7	884
956  Rüegsau	2	354
955  Lützelflüh	2	193
954  Huttwil	5	496
953  Eriswil	0	0
952  Dürrenroth	0	0
951  Affoltern im Emmental	0	0
95  Regensberg	1	82
948  Forst-Längenbühl	0	0
947  Zwieselberg	0	0
946  Wachseldorn	0	0
945  Unterlangenegg	0	0
944  Uetendorf	5	567
943  Uebeschi	0	0
942  Thun	65	7100
941  Thierachern	0	0
940  Teuffenthal (BE)	0	0
94  Otelfingen	9	1097
939  Steffisburg	9	1109
938  Sigriswil	3	355
937  Schwendibach	0	0
936  Pohlern	0	0
935  Oberlangenegg	0	0
934  Oberhofen am Thunersee	0	0
932  Horrenbach-Buchen	0	0
931  Homberg	0	0
930  Höfen	0	0
93  Oberweningen	0	0
929  Hilterfingen	0	0
928  Heimberg	3	256
927  Heiligenschwendi	0	0
925  Fahrni	0	0
924  Eriz	0	0
923  Buchholterberg	0	0
922  Blumenstein	0	0
921  Amsoldingen	0	0
92  Oberglatt	2	158
91  Niederweningen	4	423
909  Trubschachen	1	75
908  Trub	0	0
907  Signau	1	95
906  Schangnau	0	0
905  Rüderswil	0	0
904  Röthenbach im Emmental	0	0
903  Lauperswil	3	419
902  Langnau im Emmental	9	1294
901  Eggiwil	1	172
90  Niederhasli	6	427
