Region	Arbeitsstätten	Beschäftigte	Vollzeitäquivalente
996  Wolfisberg	5	12	42.072,00
995  Wiedlisbach	19	64	49.4
993  Wangenried	14	40	42.026,00
992  Wangen an der Aare	13	41	42.121,00
991  Walliswil bei Wangen	10	24	42.167,00
990  Walliswil bei Niederbipp	5	11	42.223,00
99  Schöfflisdorf	7	16	9.0
989  Thörigen	16	56	34.7
988  Seeberg	56	154	89.9
987  Rumisberg	14	32	42.268,00
985  Ochlenberg	53	158	96.9
983  Oberbipp	17	47	32.9
982  Niederönz	9	26	42.109,00
981  Niederbipp	35	260	194.8
980  Inkwil	7	20	42.139,00
98  Schleinikon	15	25	42.077,00
979  Herzogenbuchsee	15	49	32.9
978  Hermiswil	4	10	42.007,00
977  Heimenhausen	18	52	42.032,00
976  Graben	11	31	42.083,00
975  Farnern	9	23	16.0
973  Bettenhausen	14	41	42.184,00
972  Berken	6	19	42.227,00
971  Attiswil	20	64	41.2
97  Rümlang	25	86	50.5
960  Wyssachen	59	152	98.8
96  Regensdorf	23	69	52.0
959  Walterswil (BE)	52	129	80.7
958  Trachselwald	74	202	109.2
957  Sumiswald	180	493	298.2
956  Rüegsau	68	199	133.3
955  Lützelflüh	126	351	225.8
954  Huttwil	82	234	148.7
953  Eriswil	61	164	97.3
952  Dürrenroth	66	199	126.6
951  Affoltern im Emmental	59	172	111.3
95  Regensberg	5	19	42.072,00
948  Forst-Längenbühl	26	72	43.4
947  Zwieselberg	7	22	42.076,00
946  Wachseldorn	23	56	37.8
945  Unterlangenegg	42	116	73.4
944  Uetendorf	46	132	86.7
943  Uebeschi	34	87	55.5
942  Thun	42	156	108.7
941  Thierachern	32	90	57.8
940  Teuffenthal (BE)	19	42	42.238,00
94  Otelfingen	11	56	36.4
939  Steffisburg	46	157	95.8
938  Sigriswil	113	302	169.3
937  Schwendibach	9	21	42.228,00
936  Pohlern	11	33	42.084,00
935  Oberlangenegg	35	106	66.6
934  Oberhofen am Thunersee	6	21	42.136,00
932  Horrenbach-Buchen	25	68	41.3
931  Homberg	34	86	50.2
930  Höfen	21	50	35.6
93  Oberweningen	7	34	42.150,00
929  Hilterfingen	3	19	42.228,00
928  Heimberg	16	43	42.208,00
927  Heiligenschwendi	18	43	42.060,00
925  Fahrni	41	109	63.7
924  Eriz	34	103	62.5
923  Buchholterberg	76	196	115.7
922  Blumenstein	24	59	42.3
921  Amsoldingen	15	37	42.029,00
92  Oberglatt	10	32	42.083,00
91  Niederweningen	21	39	42.238,00
