Region	Arbeitsstätten	Beschäftigte	Vollzeitäquivalente
996  Wolfisberg	0	0	0.0
995  Wiedlisbach	37	320	289.5
993  Wangenried	6	47	41.5
992  Wangen an der Aare	41	353	307.4
991  Walliswil bei Wangen	6	10	08.02.2015
990  Walliswil bei Niederbipp	3	18	12.02.2015
99  Schöfflisdorf	18	55	42.9
989  Thörigen	16	158	141.8
988  Seeberg	29	106	90.7
987  Rumisberg	3	15	11.05.2015
985  Ochlenberg	5	7	6.0
983  Oberbipp	29	398	361.0
982  Niederönz	21	605	587.8
981  Niederbipp	60	815	755.4
980  Inkwil	7	75	64.0
98  Schleinikon	9	39	31.2
979  Herzogenbuchsee	88	1434	01.08.1315
978  Hermiswil	1	3	02.04.2015
977  Heimenhausen	10	45	39.6
976  Graben	2	3	02.01.2015
975  Farnern	2	2	01.03.2015
973  Bettenhausen	10	47	42.9
972  Berken	1	8	07.04.2015
971  Attiswil	19	84	68.6
97  Rümlang	161	1927	01.08.1723
960  Wyssachen	25	188	162.1
96  Regensdorf	209	2621	01.09.2416
959  Walterswil (BE)	5	19	17.01.2015
958  Trachselwald	10	39	32.5
957  Sumiswald	98	1237	01.07.1082
956  Rüegsau	39	442	388.3
955  Lützelflüh	58	550	502.0
954  Huttwil	90	1243	01.09.1065
953  Eriswil	28	117	101.4
952  Dürrenroth	15	61	48.4
951  Affoltern im Emmental	33	147	112.3
95  Regensberg	3	7	05.09.2015
948  Forst-Längenbühl	12	44	37.4
947  Zwieselberg	1	4	03.07.2015
946  Wachseldorn	0	0	0.0
945  Unterlangenegg	21	64	55.8
944  Uetendorf	113	1190	01.05.1063
943  Uebeschi	12	30	26.03.2015
942  Thun	425	6330	01.01.5823
941  Thierachern	13	67	62.1
940  Teuffenthal (BE)	6	7	05.09.2015
94  Otelfingen	48	420	369.5
939  Steffisburg	139	1851	01.01.1695
938  Sigriswil	66	197	168.1
937  Schwendibach	1	2	01.06.2015
936  Pohlern	5	13	10.01.2015
935  Oberlangenegg	7	43	37.3
934  Oberhofen am Thunersee	25	89	66.8
932  Horrenbach-Buchen	4	13	11.0
931  Homberg	10	24	21.01.2015
930  Höfen	6	8	6.0
93  Oberweningen	15	73	62.8
929  Hilterfingen	27	168	141.0
928  Heimberg	77	659	580.7
927  Heiligenschwendi	6	12	09.09.2015
925  Fahrni	12	33	25.05.2015
924  Eriz	5	9	7.0
923  Buchholterberg	23	79	64.8
922  Blumenstein	23	153	122.5
921  Amsoldingen	9	19	15.03.2015
92  Oberglatt	60	571	530.0
91  Niederweningen	31	441	420.6
909  Trubschachen	20	655	564.0
908  Trub	27	148	129.2
907  Signau	52	372	328.6
906  Schangnau	25	99	78.5
905  Rüderswil	47	233	192.5
904  Röthenbach im Emmental	17	75	66.6
903  Lauperswil	46	535	470.1
902  Langnau im Emmental	123	1491	01.02.1323
901  Eggiwil	32	364	326.2
90  Niederhasli	78	878	798.7
9  Mettmenstetten	54	588	524.2
89  Niederglatt	43	535	483.1
888  Wald (BE)	6	13	09.02.2015
886  Wattenwil	45	289	250.2
885  Uttigen	28	106	83.8
884  Toffen	23	66	54.5
883  Seftigen	29	208	184.5
881  Rümligen	8	25	21.04.2015
880  Rüeggisberg	31	94	81.2
88  Neerach	24	85	73.9
879  Riggisberg	52	263	213.7
878  Noflen	2	5	03.09.2015
877  Niedermuhlern	6	11	9.0
876  Mühlethurnen	18	58	52.1
875  Mühledorf (BE)	2	4	02.02.2015
874  Lohnstorf	2	13	10.03.2015
873  Kirchenthurnen	2	31	29.05.2015
872  Kirchdorf (BE)	16	81	65.6
871  Kienersrüti	0	0	0.0
870  Kehrsatz	46	203	178.0
87  Hüttikon	8	56	45.7
869  Kaufdorf	13	46	40.1
868  Jaberg	2	32	29.03.2015
867  Gurzelen	13	31	25.06.2015
866  Gerzensee	13	40	35.0
865  Gelterfingen	3	17	12.05.2015
863  Burgistein	19	124	111.8
861  Belp	121	1267	1168.0
86  Dielsdorf	62	682	625.2
855  Schwarzenburg	105	994	890.7
853  Rüschegg	20	67	58.6
852  Guggisberg	18	47	39.8
85  Dänikon	23	213	196.9
843  Saanen	126	1476	01.01.1306
842  Lauenen	19	80	71.6
841  Gsteig	25	105	84.2
84  Dällikon	81	1343	01.01.1245
83  Buchs (ZH)	51	295	258.4
82  Boppelsen	9	15	12.06.2015
81  Bachs	6	37	33.4
8  Maschwanden	7	43	34.9
794  Zweisimmen	54	332	285.9
793  St. Stephan	32	183	162.3
792  Lenk	45	317	273.6
791  Boltigen	22	72	59.2
786  Schattenhalb	9	86	79.3
785  Meiringen	64	550	501.6
784  Innertkirchen	15	347	313.1
783  Hasliberg	13	53	47.5
782  Guttannen	5	137	118.0
781  Gadmen	3	16	11.06.2015
769  Wimmis	43	721	660.5
768  Spiez	137	1220	1108.0
767  Reutigen	12	77	65.8
766  Oberwil im Simmental	14	72	60.3
765  Oberstocken	3	3	02.02.2015
764  Niederstocken	7	8	07.01.2015
763  Erlenbach im Simmental	33	134	114.2
762  Diemtigen	62	459	411.7
761  Därstetten	18	89	81.0
756  Twann-Tüscherz	15	45	35.4
755  Worben	22	149	134.1
754  Walperswil	10	35	31.03.2015
751  Täuffelen	34	550	509.2
750  Sutz-Lattrigen	15	201	186.1
749  Studen (BE)	43	535	493.8
748  Schwadernau	6	20	17.09.2015
747  Scheuren	5	54	47.6
746  Safnern	35	273	243.7
745  Port	34	576	537.4
744  Orpund	38	418	364.8
743  Nidau	66	988	904.4
742  Mörigen	7	24	21.0
741  Merzligen	3	5	03.06.2015
740  Ligerz	6	26	23.03.2015
739  Ipsach	24	205	186.8
738  Jens	7	31	26.07.2015
737  Hermrigen	3	12	11.04.2015
736  Hagneck	4	17	13.03.2015
735  Epsach	3	5	04.06.2015
734  Bühl	6	14	10.04.2015
733  Brügg	84	1413	01.07.1298
732  Bellmund	12	179	170.2
731  Aegerten	26	164	150.1
725  Prêles	4	62	58.8
724  Nods	11	46	35.4
723  La Neuveville	48	474	444.7
722  Lamboing	10	50	42.4
721  Diesse	10	21	18.01.2015
72  Winkel	32	115	102.3
715  Rebévelier	0	0	0.0
713  Tavannes	55	581	520.4
712  Souboz	3	3	02.08.2015
711  Sorvilier	7	11	09.07.2015
710  Sornetan	5	17	15.03.2015
71  Wil (ZH)	21	153	143.9
709  Seehof	1	6	05.01.2015
708  Schelten	0	0	0.0
707  Saules (BE)	3	6	04.04.2015
706  Saicourt	4	12	11.05.2015
704  Roches (BE)	6	14	10.04.2015
703  Reconvilier	34	346	321.7
702  Pontenet	3	15	13.08.2015
701  Perrefitte	12	19	15.02.2015
700  Moutier	119	1778	01.06.1670
70  Wasterkingen	4	20	18.03.2015
7  Knonau	17	103	88.5
699  Monible	0	0	0.0
697  Malleray	31	476	438.3
696  Loveresse	6	70	61.6
694  Grandval	5	23	18.08.2015
692  Eschert	10	78	69.9
691  Crémines	8	94	86.8
690  Court	40	460	400.0
69  Wallisellen	165	3266	01.04.3094
687  Corcelles (BE)	8	24	20.07.2015
684  Châtelat	1	18	12.09.2015
683  Champoz	3	8	06.06.2015
682  Bévilard	27	522	495.4
6810  La Baroche	28	124	110.4
681  Belprahon	6	39	34.1
6809  Haute-Ajoie	11	340	330.4
6808  Clos du Doubs	21	168	158.6
6807  Basse-Allaine	20	211	199.8
6806  Vendlincourt	9	141	134.7
6803  Rocourt	1	1	1.0
6800  Porrentruy	107	1503	01.05.1423
68  Rorbas	30	108	91.1
6793  Lugnez	4	24	21.03.2015
6792  Grandfontaine	6	34	31.03.2015
6790  Fontenais	26	83	74.3
6789  Fahy	12	42	33.8
6787  Damphreux	2	2	01.08.2015
6785  Courtedoux	9	153	144.1
6784  Courgenay	48	463	423.1
6783  Courchavon	6	81	76.3
6782  Cornol	17	318	307.8
6781  Coeuve	14	52	46.4
6778  Bure	10	121	104.6
