Region	Arbeitsstätten	Beschäftigte	Vollzeitäquivalente
996  Wolfisberg	8	25	15.01.2015
995  Wiedlisbach	138	839	605.7
993  Wangenried	8	25	13.08.2015
992  Wangen an der Aare	125	915	657.9
991  Walliswil bei Wangen	15	64	45.5
990  Walliswil bei Niederbipp	8	49	27.01.2015
99  Schöfflisdorf	70	288	189.7
989  Thörigen	55	177	126.3
988  Seeberg	58	176	107.7
987  Rumisberg	15	27	13.06.2015
985  Ochlenberg	15	29	15.0
983  Oberbipp	59	419	309.9
982  Niederönz	49	145	104.6
981  Niederbipp	195	1776	01.08.1281
980  Inkwil	20	36	20.01.2015
98  Schleinikon	34	73	41.0
979  Herzogenbuchsee	358	2138	01.08.1516
978  Hermiswil	7	32	18.01.2015
977  Heimenhausen	30	72	45.7
976  Graben	11	27	22.05.2015
975  Farnern	13	34	21.03.2015
973  Bettenhausen	11	36	18.07.2015
972  Berken	1	19	12.04.2015
971  Attiswil	56	230	114.3
97  Rümlang	526	3861	01.07.3088
960  Wyssachen	38	141	87.9
96  Regensdorf	1027	7949	01.05.6471
959  Walterswil (BE)	18	57	40.4
958  Trachselwald	32	133	77.8
957  Sumiswald	204	1289	823.3
956  Rüegsau	115	626	451.3
955  Lützelflüh	162	751	472.4
954  Huttwil	258	1668	01.07.1115
953  Eriswil	45	202	116.2
952  Dürrenroth	38	142	93.4
951  Affoltern im Emmental	53	237	158.1
95  Regensberg	27	187	134.4
948  Forst-Längenbühl	19	68	39.2
947  Zwieselberg	18	29	13.08.2015
946  Wachseldorn	10	20	11.0
945  Unterlangenegg	42	165	106.9
944  Uetendorf	307	1647	01.03.1250
943  Uebeschi	20	45	24.05.2015
942  Thun	2729	22285	16084.4
941  Thierachern	77	238	157.9
940  Teuffenthal (BE)	7	32	22.04.2015
94  Otelfingen	194	2469	01.02.2101
939  Steffisburg	626	4073	01.05.2924
938  Sigriswil	198	1194	868.0
937  Schwendibach	11	37	25.07.2015
936  Pohlern	7	27	15.0
935  Oberlangenegg	25	97	55.9
934  Oberhofen am Thunersee	146	666	408.2
932  Horrenbach-Buchen	8	21	11.0
931  Homberg	15	54	26.05.2015
930  Höfen	20	44	29.09.2015
93  Oberweningen	62	220	140.9
929  Hilterfingen	193	766	496.4
928  Heimberg	281	1773	01.05.1245
927  Heiligenschwendi	36	449	345.6
925  Fahrni	23	55	35.6
924  Eriz	21	67	35.1
923  Buchholterberg	59	240	153.7
922  Blumenstein	41	158	98.2
921  Amsoldingen	36	102	66.7
92  Oberglatt	220	669	476.0
91  Niederweningen	108	384	261.4
909  Trubschachen	53	265	171.1
908  Trub	48	139	82.1
907  Signau	92	349	233.8
906  Schangnau	43	204	120.3
905  Rüderswil	93	350	226.8
904  Röthenbach im Emmental	49	170	113.2
903  Lauperswil	92	521	363.1
902  Langnau im Emmental	498	3951	01.03.2755
901  Eggiwil	91	385	243.9
90  Niederhasli	318	1352	01.04.1007
9  Mettmenstetten	194	782	539.6
89  Niederglatt	159	766	573.6
888  Wald (BE)	54	322	230.9
886  Wattenwil	123	580	372.8
885  Uttigen	62	154	91.2
884  Toffen	95	357	273.3
883  Seftigen	99	299	199.5
881  Rümligen	17	39	23.03.2015
880  Rüeggisberg	71	254	151.8
88  Neerach	199	485	332.0
879  Riggisberg	109	1170	800.0
878  Noflen	13	32	17.05.2015
877  Niedermuhlern	15	51	31.01.2015
876  Mühlethurnen	45	192	134.7
875  Mühledorf (BE)	6	25	15.03.2015
874  Lohnstorf	6	27	14.07.2015
873  Kirchenthurnen	7	15	08.08.2015
872  Kirchdorf (BE)	39	141	79.1
871  Kienersrüti	1	2	0.3
870  Kehrsatz	158	822	574.9
87  Hüttikon	29	54	35.5
869  Kaufdorf	36	89	50.9
868  Jaberg	10	20	12.03.2015
867  Gurzelen	23	67	39.0
866  Gerzensee	51	196	119.9
865  Gelterfingen	16	25	17.04.2015
863  Burgistein	38	92	63.4
861  Belp	549	3596	01.04.2588
86  Dielsdorf	352	3157	01.05.2427
855  Schwarzenburg	298	1393	907.7
853  Rüschegg	70	227	136.0
852  Guggisberg	49	227	130.2
85  Dänikon	65	140	90.2
843  Saanen	593	4806	01.05.3773
842  Lauenen	44	121	88.8
841  Gsteig	55	189	129.3
84  Dällikon	179	1103	917.2
83  Buchs (ZH)	203	1800	01.04.1507
82  Boppelsen	55	111	67.6
81  Bachs	27	146	101.3
8  Maschwanden	31	55	33.1
794  Zweisimmen	207	1111	799.1
793  St. Stephan	41	214	128.3
792  Lenk	173	1214	879.7
791  Boltigen	66	192	114.0
786  Schattenhalb	15	469	372.5
785  Meiringen	286	2024	01.03.1492
784  Innertkirchen	46	135	86.4
783  Hasliberg	78	644	484.3
782  Guttannen	17	40	24.05.2015
781  Gadmen	17	31	22.04.2015
769  Wimmis	96	340	226.6
768  Spiez	666	3882	01.01.2731
767  Reutigen	35	110	64.5
766  Oberwil im Simmental	33	83	46.3
765  Oberstocken	8	12	08.02.2015
764  Niederstocken	18	67	38.1
763  Erlenbach im Simmental	84	460	305.1
762  Diemtigen	124	499	291.5
761  Därstetten	31	92	56.4
756  Twann-Tüscherz	55	210	144.4
755  Worben	69	604	449.6
754  Walperswil	35	103	69.4
751  Täuffelen	107	410	287.3
750  Sutz-Lattrigen	60	381	238.0
749  Studen (BE)	126	1070	814.8
748  Schwadernau	22	129	82.7
