ID	Name	Kantonszugehörigkeit	Kanton_ID
1001	La Broye	Freiburg (10)	10
1002	La Glâne	Freiburg (10)	10
1003	La Gruyère	Freiburg (10)	10
1004	La Sarine	Freiburg (10)	10
1005	See / Lac	Freiburg (10)	10
1006	Sense	Freiburg (10)	10
1007	La Veveyse	Freiburg (10)	10
101	Affoltern	Zürich (1)	1
102	Andelfingen	Zürich (1)	1
103	Bülach	Zürich (1)	1
104	Dielsdorf	Zürich (1)	1
105	Hinwil	Zürich (1)	1
106	Horgen	Zürich (1)	1
107	Meilen	Zürich (1)	1
108	Pfäffikon	Zürich (1)	1
109	Uster	Zürich (1)	1
110	Winterthur	Zürich (1)	1
1101	Gäu	Solothurn (11)	11
1102	Thal	Solothurn (11)	11
1103	Bucheggberg	Solothurn (11)	11
1104	Dorneck	Solothurn (11)	11
1105	Gösgen	Solothurn (11)	11
1106	Wasseramt	Solothurn (11)	11
1107	Lebern	Solothurn (11)	11
1108	Olten	Solothurn (11)	11
1109	Solothurn	Solothurn (11)	11
111	Dietikon	Zürich (1)	1
1110	Thierstein	Solothurn (11)	11
112	Zürich	Zürich (1)	1
1200	Kt. Basel-Stadt	Basel-Stadt (12)	12
1301	Arlesheim	Basel-Landschaft (13)	13
1302	Laufen	Basel-Landschaft (13)	13
1303	Liestal	Basel-Landschaft (13)	13
1304	Sissach	Basel-Landschaft (13)	13
1305	Waldenburg	Basel-Landschaft (13)	13
1401	Oberklettgau	Schaffhausen (14)	14
1402	Reiat	Schaffhausen (14)	14
1403	Schaffhausen	Schaffhausen (14)	14
1404	Schleitheim	Schaffhausen (14)	14
1405	Stein	Schaffhausen (14)	14
1406	Unterklettgau	Schaffhausen (14)	14
1501	Hinterland	Appenzell A.Rh. (15)	15
1502	Mittelland	Appenzell A.Rh. (15)	15
1503	Vorderland	Appenzell A.Rh. (15)	15
1600	Kt. Appenzell i.Rh.	Appenzell I.Rh. (16)	16
1721	St. Gallen	Sankt Gallen (17)	17
1722	Rorschach	Sankt Gallen (17)	17
1723	Rheintal	Sankt Gallen (17)	17
1724	Werdenberg	Sankt Gallen (17)	17
1725	Sarganserland	Sankt Gallen (17)	17
1726	See-Gaster	Sankt Gallen (17)	17
1727	Toggenburg	Sankt Gallen (17)	17
1728	Wil	Sankt Gallen (17)	17
1821	Albula	Graubünden (18)	18
1822	Bernina	Graubünden (18)	18
1823	Hinterrhein	Graubünden (18)	18
1824	Imboden	Graubünden (18)	18
1825	Inn	Graubünden (18)	18
1826	Landquart	Graubünden (18)	18
1827	Maloja / Maloggia	Graubünden (18)	18
1828	Moesa	Graubünden (18)	18
1829	Plessur	Graubünden (18)	18
1830	Prättigau-Davos	Graubünden (18)	18
1831	Surselva	Graubünden (18)	18
1901	Aarau	Aargau (19)	19
1902	Baden	Aargau (19)	19
1903	Bremgarten	Aargau (19)	19
1904	Brugg	Aargau (19)	19
1905	Kulm	Aargau (19)	19
1906	Laufenburg	Aargau (19)	19
1907	Lenzburg	Aargau (19)	19
1908	Muri	Aargau (19)	19
1909	Rheinfelden	Aargau (19)	19
1910	Zofingen	Aargau (19)	19
1911	Zurzach	Aargau (19)	19
2011	Arbon	Thurgau (20)	20
2012	Frauenfeld	Thurgau (20)	20
2013	Kreuzlingen	Thurgau (20)	20
2014	Münchwilen	Thurgau (20)	20
2015	Weinfelden	Thurgau (20)	20
2101	Bellinzona	Tessin (21)	21
2102	Blenio	Tessin (21)	21
2103	Leventina	Tessin (21)	21
2104	Locarno	Tessin (21)	21
2105	Lugano	Tessin (21)	21
