Region	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Schweiz	13984	15712	12903	16108	15101	16215	16994	19697	20298	20200	23566	24608	21250	20993	18816	20370	17745	16380	15905	15930	11067	10604	8778	12902	11779	13088	13405	15458	15810	17737	18717	17991	17770	21349
- Zürich	2042	2153	1630	1970	1911	1751	1790	1978	2089	1818	2260	2502	2264	2094	1970	2159	2123	2317	2276	2485	1995	2344	2176	3146	3056	3585	3722	4317	4709	5014	5312	5294	5204	6363
>> Bezirk Affoltern	222	255	263	285	238	258	192	269	236	255	220	283	240	252	285	243	219	226	195	227	266	199	161	229	221	178	169	209	234	229	268	243	177	240
......0001 Aeugst am Albis	7	3	12	2	4	10	4	6	8	9	8	7	5	6	10	8	7	4	8	8	-1	4	6	2	3	1	5	0	7	10	2	7	6	4
......0002 Affoltern am Albis	75	63	72	78	63	58	47	58	67	87	67	93	72	73	67	47	59	39	37	37	64	61	48	47	29	16	16	37	32	41	45	31	32	54
......0003 Bonstetten	20	27	32	28	11	28	29	25	16	16	13	23	30	25	46	44	24	40	26	36	35	33	25	31	55	36	42	34	58	29	49	50	29	54
......0004 Hausen am Albis	12	11	26	21	19	20	2	33	6	24	21	14	15	6	32	36	18	31	17	6	9	7	9	11	21	12	11	16	5	9	10	6	-5	16
......0005 Hedingen	6	12	9	10	5	9	4	9	8	10	15	9	30	28	11	26	10	21	23	15	25	10	9	20	14	21	15	14	2	-2	21	13	17	14
......0006 Kappel am Albis	6	4	6	7	9	12	7	4	10	5	2	10	7	12	11	1	8	3	5	2	10	6	8	4	0	7	1	9	4	4	9	4	4	-1
......0007 Knonau	1	-4	8	6	6	7	3	10	5	8	5	18	1	11	9	8	12	-2	9	12	16	3	0	6	3	11	-3	11	9	20	7	9	5	8
......0008 Maschwanden	4	2	4	8	5	10	8	2	5	5	2	11	2	10	2	3	-1	4	4	7	3	-3	6	1	4	4	-1	5	-2	-1	5	-2	9	2
......0009 Mettmenstetten	17	26	4	38	32	21	18	26	16	22	18	18	13	26	15	7	30	15	13	27	17	12	3	21	22	22	21	17	22	16	20	21	25	24
......0010 Obfelden	27	48	41	31	32	22	22	29	20	25	26	31	14	15	29	32	18	20	20	27	25	16	2	27	13	19	22	14	37	26	28	26	12	28
......0011 Ottenbach	-1	8	6	7	12	20	9	19	24	10	13	20	-1	15	15	10	10	8	13	5	20	5	9	5	2	-5	1	0	6	5	13	20	8	-1
