ID	Name	Raumkategorie
1	Aeugst am Albis	Agglomerationsgürtelgemeinde
10	Obfelden	Agglomerationsgürtelgemeinde
100	Stadel	Agglomerationsgürtelgemeinde
1001	Doppleschwand	Ländliche Gemeinde ohne städtischen Charakter
1002	Entlebuch	Ländliche Gemeinde ohne städtischen Charakter
1004	Flühli	Ländliche Gemeinde ohne städtischen Charakter
1005	Hasle (LU)	Ländliche Gemeinde ohne städtischen Charakter
1007	Romoos	Ländliche Gemeinde ohne städtischen Charakter
1008	Schüpfheim	Ländliche Gemeinde ohne städtischen Charakter
1009	Werthenstein	Ländliche Gemeinde ohne städtischen Charakter
101	Steinmaur	Agglomerationsgürtelgemeinde
1010	Escholzmatt-Marbach	Ländliche Gemeinde ohne städtischen Charakter
102	Weiach	Agglomerationsgürtelgemeinde
1021	Aesch (LU)	Ländliche Gemeinde ohne städtischen Charakter
1022	Altwis	Ländliche Gemeinde ohne städtischen Charakter
1023	Ballwil	Mehrfach orientierte Gemeinde
1024	Emmen	Agglomerationskerngemeinde (Hauptkern)
1025	Ermensee	Ländliche Gemeinde ohne städtischen Charakter
1026	Eschenbach (LU)	Agglomerationsgürtelgemeinde
1030	Hitzkirch	Ländliche Gemeinde ohne städtischen Charakter
1031	Hochdorf	Ländliche Gemeinde ohne städtischen Charakter
1032	Hohenrain	Ländliche Gemeinde ohne städtischen Charakter
1033	Inwil	Agglomerationsgürtelgemeinde
1037	Rain	Agglomerationsgürtelgemeinde
1039	Römerswil	Ländliche Gemeinde ohne städtischen Charakter
1040	Rothenburg	Agglomerationskerngemeinde (Hauptkern)
1041	Schongau	Ländliche Gemeinde ohne städtischen Charakter
1051	Adligenswil	Agglomerationskerngemeinde (Hauptkern)
1052	Buchrain	Agglomerationskerngemeinde (Hauptkern)
1053	Dierikon	Agglomerationskerngemeinde (Hauptkern)
1054	Ebikon	Agglomerationskerngemeinde (Hauptkern)
1055	Gisikon	Mehrfach orientierte Gemeinde
1056	Greppen	Mehrfach orientierte Gemeinde
1057	Honau	Mehrfach orientierte Gemeinde
1058	Horw	Agglomerationskerngemeinde (Hauptkern)
1059	Kriens	Agglomerationskerngemeinde (Hauptkern)
1061	Luzern	Agglomerationskerngemeinde (Kernstadt)
1062	Malters	Agglomerationsgürtelgemeinde
1063	Meggen	Agglomerationskerngemeinde (Hauptkern)
1064	Meierskappel	Agglomerationsgürtelgemeinde
1065	Root	Mehrfach orientierte Gemeinde
1066	Schwarzenberg	Agglomerationsgürtelgemeinde
1067	Udligenswil	Agglomerationsgürtelgemeinde
1068	Vitznau	Ländliche Gemeinde ohne städtischen Charakter
1069	Weggis	Mehrfach orientierte Gemeinde
1081	Beromünster	Ländliche Gemeinde ohne städtischen Charakter
1082	Büron	Ländliche Gemeinde ohne städtischen Charakter
1083	Buttisholz	Ländliche Gemeinde ohne städtischen Charakter
1084	Eich	Ländliche Gemeinde ohne städtischen Charakter
1085	Geuensee	Ländliche Gemeinde ohne städtischen Charakter
1086	Grosswangen	Ländliche Gemeinde ohne städtischen Charakter
1088	Hildisrieden	Agglomerationsgürtelgemeinde
1089	Knutwil	Ländliche Gemeinde ohne städtischen Charakter
1091	Mauensee	Ländliche Gemeinde ohne städtischen Charakter
1093	Neuenkirch	Agglomerationsgürtelgemeinde
1094	Nottwil	Ländliche Gemeinde ohne städtischen Charakter
1095	Oberkirch	Kerngemeinde ausserhalb Agglomerationen
1097	Rickenbach (LU)	Ländliche Gemeinde ohne städtischen Charakter
1098	Ruswil	Ländliche Gemeinde ohne städtischen Charakter
1099	Schenkon	Kerngemeinde ausserhalb Agglomerationen
11	Ottenbach	Agglomerationsgürtelgemeinde
1100	Schlierbach	Ländliche Gemeinde ohne städtischen Charakter
1102	Sempach	Ländliche Gemeinde ohne städtischen Charakter
1103	Sursee	Kerngemeinde ausserhalb Agglomerationen
1104	Triengen	Ländliche Gemeinde ohne städtischen Charakter
1107	Wolhusen	Ländliche Gemeinde ohne städtischen Charakter
111	Bäretswil	Agglomerationsgürtelgemeinde
112	Bubikon	Agglomerationsgürtelgemeinde
1121	Alberswil	Ländliche Gemeinde ohne städtischen Charakter
1122	Altbüron	Ländliche Gemeinde ohne städtischen Charakter
1123	Altishofen	Ländliche Gemeinde ohne städtischen Charakter
1125	Dagmersellen	Ländliche Gemeinde ohne städtischen Charakter
1126	Ebersecken	Ländliche Gemeinde ohne städtischen Charakter
1127	Egolzwil	Ländliche Gemeinde ohne städtischen Charakter
1128	Ettiswil	Ländliche Gemeinde ohne städtischen Charakter
1129	Fischbach	Ländliche Gemeinde ohne städtischen Charakter
113	Dürnten	Agglomerationskerngemeinde (Hauptkern)
1130	Gettnau	Ländliche Gemeinde ohne städtischen Charakter
1131	Grossdietwil	Ländliche Gemeinde ohne städtischen Charakter
1132	Hergiswil bei Willisau	Ländliche Gemeinde ohne städtischen Charakter
1135	Luthern	Ländliche Gemeinde ohne städtischen Charakter
1136	Menznau	Ländliche Gemeinde ohne städtischen Charakter
1137	Nebikon	Ländliche Gemeinde ohne städtischen Charakter
1139	Pfaffnau	Ländliche Gemeinde ohne städtischen Charakter
114	Fischenthal	Ländliche Gemeinde ohne städtischen Charakter
1140	Reiden	Ländliche Gemeinde ohne städtischen Charakter
1142	Roggliswil	Ländliche Gemeinde ohne städtischen Charakter
1143	Schötz	Ländliche Gemeinde ohne städtischen Charakter
1145	Ufhusen	Ländliche Gemeinde ohne städtischen Charakter
1146	Wauwil	Ländliche Gemeinde ohne städtischen Charakter
1147	Wikon	Agglomerationskerngemeinde (Hauptkern)
115	Gossau (ZH)	Agglomerationsgürtelgemeinde
1150	Zell (LU)	Ländliche Gemeinde ohne städtischen Charakter
1151	Willisau	Ländliche Gemeinde ohne städtischen Charakter
116	Grüningen	Agglomerationsgürtelgemeinde
117	Hinwil	Agglomerationsgürtelgemeinde
118	Rüti (ZH)	Agglomerationskerngemeinde (Kernstadt)
119	Seegräben	Agglomerationsgürtelgemeinde
12	Rifferswil	Agglomerationsgürtelgemeinde
120	Wald (ZH)	Mehrfach orientierte Gemeinde
1201	Altdorf (UR)	Agglomerationskerngemeinde (Kernstadt)
1202	Andermatt	Ländliche Gemeinde ohne städtischen Charakter
1203	Attinghausen	Agglomerationskerngemeinde (Hauptkern)
1204	Bauen	Agglomerationsgürtelgemeinde
1205	Bürglen (UR)	Agglomerationskerngemeinde (Hauptkern)
1206	Erstfeld	Agglomerationsgürtelgemeinde
1207	Flüelen	Agglomerationskerngemeinde (Hauptkern)
1208	Göschenen	Ländliche Gemeinde ohne städtischen Charakter
1209	Gurtnellen	Ländliche Gemeinde ohne städtischen Charakter
121	Wetzikon (ZH)	Agglomerationskerngemeinde (Nebenkern)
1210	Hospental	Ländliche Gemeinde ohne städtischen Charakter
1211	Isenthal	Agglomerationsgürtelgemeinde
1212	Realp	Ländliche Gemeinde ohne städtischen Charakter
1213	Schattdorf	Agglomerationskerngemeinde (Hauptkern)
1214	Seedorf (UR)	Agglomerationsgürtelgemeinde
1215	Seelisberg	Ländliche Gemeinde ohne städtischen Charakter
1216	Silenen	Agglomerationsgürtelgemeinde
