Regions-ID	Regionsname	Durchschnittliche Länge des Arbeitswegs in km
101	Affoltern	14.871508
102	Andelfingen	18.250982
103	Bülach	13.150284
104	Dielsdorf	13.365198
105	Hinwil	15.963489
106	Horgen	14.858656
107	Meilen	14.34445
108	Pfäffikon	15.445843
109	Uster	12.7587
110	Winterthur	15.740979
111	Dietikon	11.598394
112	Zürich	10.665614
241	Jura bernois	15.368628
242	Biel/Bienne	14.889151
243	Seeland	15.249463
244	Oberaargau	16.011082
245	Emmental	15.265863
246	Bern-Mittelland	12.651963
247	Thun	16.178372
248	Obersimmental-Saanen	9.076872
249	Frutigen-Niedersimmental	17.519471
250	Interlaken-Oberhasli	14.135486
311	Luzern-Stadt	13.780025
312	Luzern-Land	13.482292
313	Hochdorf	13.158204
314	Sursee	15.276639
315	Willisau	15.23342
316	Entlebuch	15.72535
400	Kt. Uri	13.625153
501	Einsiedeln	16.146694
502	Gersau	16.891977
503	Höfe	20.310812
504	Küssnacht (SZ)	14.092184
505	March	17.840831
506	Schwyz	15.676539
600	Kt. Obwalden	14.395945
700	Kt. Nidwalden	14.88124
800	Kt. Glarus	16.103862
900	Kt. Zug	13.739442
1001	La Broye	20.438841
1002	La Glâne	19.002512
1003	La Gruyère	16.565189
1004	La Sarine	14.62685
1005	See / Lac	17.569393
1006	Sense	15.545004
1007	La Veveyse	18.88188
1101	Gäu	15.553556
1102	Thal	17.361022
1103	Bucheggberg	17.316492
1104	Dorneck	12.742465
1105	Gösgen	14.979207
1106	Wasseramt	15.257662
1107	Lebern	13.367612
1108	Olten	17.263009
1109	Solothurn	19.329055
1110	Thierstein	15.390121
1200	Kt. Basel-Stadt	10.068008
1301	Arlesheim	10.251992
1302	Laufen	16.215562
1303	Liestal	13.451831
1304	Sissach	17.234493
1305	Waldenburg	15.717035
1401	Oberklettgau	19.175685
1402	Reiat	15.831489
1403	Schaffhausen	15.876815
1404	Schleitheim	15.432196
1405	Stein	19.895119
1406	Unterklettgau	22.869266
1501	Hinterland	10.325413
1502	Mittelland	12.60921
1503	Vorderland	12.28832
1600	Kt. Appenzell i.Rh.	10.410046
1721	St. Gallen	11.652193
1722	Rorschach	12.236056
1723	Rheintal	12.701204
1724	Werdenberg	12.605544
1725	Sarganserland	17.070831
1726	See-Gaster	16.454967
1727	Toggenburg	15.077072
1728	Wil	16.402039
1821	Albula	11.344716
1822	Bernina	8.924372
1823	Hinterrhein	13.534315
1824	Imboden	12.043889
1825	Inn	9.536332
1826	Landquart	15.307432
1827	Maloja / Maloggia	7.091771
1828	Moesa	15.602806
1829	Plessur	8.525701
1830	Prättigau-Davos	10.115521
1831	Surselva	12.110686
1901	Aarau	16.28689
1902	Baden	14.617415
1903	Bremgarten	15.315295
1904	Brugg	16.010614
1905	Kulm	14.814838
1906	Laufenburg	20.349499
1907	Lenzburg	16.237484
1908	Muri	15.232867
1909	Rheinfelden	17.707027
1910	Zofingen	16.238026
1911	Zurzach	16.268427
2011	Arbon	14.383627
2012	Frauenfeld	16.767557
2013	Kreuzlingen	16.491098
2014	Münchwilen	16.917704
2015	Weinfelden	16.282175
2101	Bellinzona	11.27186
2102	Blenio	20.680602
2103	Leventina	20.144278
2104	Locarno	10.545936
2105	Lugano	9.264234
2106	Mendrisio	12.524683
2107	Riviera	17.117506
2108	Vallemaggia	17.438454
2221	Aigle	20.276896
2222	Broye-Vully	19.388597
2223	Gros-de-Vaud	15.865629
2224	Jura-Nord vaudois	20.251127
2225	Lausanne	12.949448
2226	Lavaux-Oron	15.851817
2227	Morges	17.609896
2228	Nyon	20.163389
2229	Ouest lausannois	10.702495
2230	Riviera-Pays-d'Enhaut	16.665577
2301	Brig	13.928274
2302	Conthey	14.833955
2303	Entremont	19.098508
2304	Goms	15.341891
2305	Hérens	16.445078
2306	Leuk	15.557158
2307	Martigny	17.480214
2308	Monthey	18.768702
2309	Raron	16.250805
2310	Saint-Maurice	18.844455
2311	Sierre	11.681262
2312	Sion	13.169588
2313	Visp	9.639395
2401	Boudry	15.459459
2402	La Chaux-de-Fonds	10.824712
2403	Le Locle	11.725117
2404	Neuchâtel	16.143061
2405	Val-de-Ruz	13.642947
2406	Val-de-Travers	17.488557
2500	Cant. de Genève	6.929446
2601	Delémont	14.609144
2602	Les Franches-Montagnes	13.727321
2603	Porrentruy	14.358083
