Region	Anzahl Wohnräume - Total	1 Wohnraum	2 Wohnräume	3 Wohnräume	4 Wohnräume	5 Wohnräume	6 Wohnräume und mehr
Schweiz	51172	3748	6963	15480	15761	5758	3462
- Kanton Zürich	5518	319	692	1636	1822	702	347
......0001 Aeugst am Albis	18	0	1	5	3	6	3
......0002 Affoltern am Albis	45	1	3	12	21	6	2
......0003 Bonstetten	15	0	0	3	12	0	0
......0004 Hausen am Albis	15	1	0	4	7	2	1
......0005 Hedingen	26	0	0	11	8	3	4
......0006 Kappel am Albis	35	3	5	3	10	4	10
......0007 Knonau	4	0	0	0	2	2	0
......0008 Maschwanden	5	0	0	0	1	1	3
......0009 Mettmenstetten	24	1	0	8	12	2	1
......0010 Obfelden	16	4	3	0	4	4	1
......0011 Ottenbach	26	0	5	6	13	2	0
......0012 Rifferswil	3	0	0	0	2	1	0
......0013 Stallikon	13	1	1	4	4	2	1
......0014 Wettswil am Albis	3	0	0	1	1	1	0
......0021 Adlikon	6	0	0	0	3	3	0
......0022 Benken (ZH)	7	0	0	0	3	1	3
......0023 Berg am Irchel	1	0	0	0	1	0	0
......0024 Buch am Irchel	1	0	0	0	0	1	0
......0025 Dachsen	24	1	1	0	9	10	3
......0026 Dorf	0	0	0	0	0	0	0
......0027 Feuerthalen	28	1	1	14	6	4	2
......0028 Flaach	5	0	0	2	2	1	0
......0029 Flurlingen	7	0	0	0	0	3	4
......0030 Andelfingen	6	0	0	2	3	1	0
......0031 Henggart	8	0	2	3	2	0	1
......0032 Humlikon	3	0	0	1	0	2	0
......0033 Kleinandelfingen	14	0	2	4	3	2	3
......0034 Laufen-Uhwiesen	12	0	1	2	5	3	1
......0035 Marthalen	5	1	0	1	0	0	3
......0036 Oberstammheim	4	0	0	0	3	0	1
......0037 Ossingen	37	0	3	4	26	3	1
......0038 Rheinau	6	0	1	0	1	4	0
......0039 Thalheim an der Thur	4	0	1	1	2	0	0
......0040 Trüllikon	5	0	0	0	1	0	4
......0041 Truttikon	1	0	0	1	0	0	0
......0042 Unterstammheim	3	0	0	0	3	0	0
......0043 Volken	1	0	0	0	1	0	0
......0044 Waltalingen	2	0	1	1	0	0	0
......0051 Bachenbülach	20	1	2	5	7	4	1
......0052 Bassersdorf	65	2	7	11	25	14	6
......0053 Bülach	176	0	23	60	83	8	2
......0054 Dietlikon	7	1	0	2	1	3	0
......0055 Eglisau	22	0	0	4	15	3	0
......0056 Embrach	57	0	2	12	15	24	4
......0057 Freienstein-Teufen	7	0	0	5	1	1	0
......0058 Glattfelden	23	2	3	10	5	3	0
......0059 Hochfelden	3	0	0	0	2	0	1
......0060 Höri	2	0	0	0	1	1	0
......0061 Hüntwangen	27	1	3	4	10	6	3
......0062 Kloten	125	5	32	41	28	17	2
......0063 Lufingen	4	0	0	1	2	1	0
......0064 Nürensdorf	43	0	4	12	17	9	1
......0065 Oberembrach	1	0	1	0	0	0	0
......0066 Opfikon	95	9	12	42	24	8	0
......0067 Rafz	18	1	2	4	10	1	0
......0068 Rorbas	7	0	0	2	5	0	0
......0069 Wallisellen	61	11	9	17	11	8	5
......0070 Wasterkingen	2	0	0	0	1	1	0
......0071 Wil (ZH)	3	0	0	1	2	0	0
......0072 Winkel	10	0	1	2	6	1	0
......0081 Bachs	1	0	0	0	0	0	1
......0082 Boppelsen	4	0	1	1	1	0	1
......0083 Buchs (ZH)	9	4	3	2	0	0	0
......0084 Dällikon	7	0	1	1	4	1	0
......0085 Dänikon	2	0	0	0	1	1	0
......0086 Dielsdorf	20	2	1	12	3	2	0
......0087 Hüttikon	12	0	0	1	1	8	2
......0088 Neerach	23	0	2	3	11	7	0
......0089 Niederglatt	21	2	3	4	11	0	1
......0090 Niederhasli	25	0	4	7	6	8	0
......0091 Niederweningen	14	1	0	7	4	2	0
......0092 Oberglatt	31	2	4	7	10	6	2
......0093 Oberweningen	13	0	0	6	1	5	1
......0094 Otelfingen	9	0	0	4	4	1	0
......0095 Regensberg	5	0	1	1	2	0	1
......0096 Regensdorf	41	1	12	12	13	3	0
......0097 Rümlang	33	3	1	11	12	4	2
......0098 Schleinikon	6	0	1	1	2	2	0
