Regions-ID	Regionsname	Pendlersaldo in Personen 	Bilanz der Zu- und Wegpendler pro 100 Erwerbstätige sowie Schüler/Studierende
1	Aeugst am Albis	-667	-59
2	Affoltern am Albis	-461	-6.6
3	Bonstetten	-1467	-51.7
4	Hausen am Albis	-977	-43.2
5	Hedingen	-435	-20.1
6	Kappel am Albis	-309	-48.6
7	Knonau	-529	-50.6
8	Maschwanden	-226	-57.5
9	Mettmenstetten	-1108	-40.2
10	Obfelden	-1322	-43.5
11	Ottenbach	-866	-53.2
12	Rifferswil	-266	-51.6
13	Stallikon	-951	-48.9
14	Wettswil am Albis	-1497	-55.8
21	Adlikon	-275	-63.8
22	Benken (ZH)	-243	-49.7
23	Berg am Irchel	-143	-33.6
24	Buch am Irchel	-347	-63.6
25	Dachsen	-504	-49.3
26	Dorf	-249	-59.3
27	Feuerthalen	-443	-22.8
28	Flaach	0	0
29	Flurlingen	-413	-47.1
30	Andelfingen	384	34.3
31	Henggart	-568	-49.7
32	Humlikon	-49	-17.3
33	Kleinandelfingen	-321	-24.6
34	Laufen-Uhwiesen	-435	-46.7
35	Marthalen	-77	-6
36	Oberstammheim	-206	-28.2
37	Ossingen	-213	-24.3
38	Rheinau	190	21.2
39	Thalheim an der Thur	-265	-58.8
40	Trüllikon	-390	-52.7
41	Truttikon	-73	-22.7
42	Unterstammheim	-27	-4.5
43	Volken	-105	-53.8
44	Waltalingen	-266	-52.5
51	Bachenbülach	-546	-24.5
52	Bassersdorf	-1496	-28
53	Bülach	977	9.9
54	Dietlikon	2173	50.3
55	Eglisau	-418	-20.8
56	Embrach	-1263	-22.7
57	Freienstein-Teufen	-820	-51.6
58	Glattfelden	-1247	-50.2
59	Hochfelden	-731	-63.3
60	Höri	-279	-17.1
61	Hüntwangen	-306	-56.2
62	Kloten	19841	164.3
63	Lufingen	-549	-64.4
64	Nürensdorf	-1805	-56.3
65	Oberembrach	-427	-58.6
66	Opfikon	7388	87.9
67	Rafz	-741	-31.1
68	Rorbas	-665	-40.7
69	Wallisellen	4881	59.9
70	Wasterkingen	-276	-64.6
71	Wil (ZH)	-315	-33.1
72	Winkel	-1572	-65.4
81	Bachs	-150	-35.3
82	Boppelsen	-488	-66.8
83	Buchs (ZH)	-868	-27.3
84	Dällikon	37	1.5
85	Dänikon	-639	-48.2
86	Dielsdorf	644	18.4
87	Hüttikon	-248	-61.4
88	Neerach	-1172	-65.8
89	Niederglatt	-1228	-45.6
90	Niederhasli	-2928	-52.6
91	Niederweningen	-317	-19.4
92	Oberglatt	-2121	-56.3
93	Oberweningen	-646	-66.8
94	Otelfingen	1062	77.3
95	Regensberg	-126	-33.9
96	Regensdorf	-316	-2.9
97	Rümlang	1456	37.8
98	Schleinikon	-284	-61.2
99	Schöfflisdorf	-363	-45.2
100	Stadel	-525	-43.1
101	Steinmaur	-999	-50.3
102	Weiach	-320	-47.4
111	Bäretswil	-1382	-46.3
112	Bubikon	-731	-18.6
113	Dürnten	-2145	-51.3
114	Fischenthal	-485	-34.2
115	Gossau (ZH)	-2798	-44.4
116	Grüningen	-408	-19.7
117	Hinwil	191	3
118	Rüti (ZH)	-1670	-22.7
119	Seegräben	-384	-39.4
120	Wald (ZH)	-1521	-26.7
121	Wetzikon (ZH)	2925	23.7
131	Adliswil	-3551	-33.2
132	Hirzel	-461	-34.4
133	Horgen	-1718	-14.6
134	Hütten	-245	-41.4
135	Kilchberg (ZH)	-507	-10.5
136	Langnau am Albis	-2524	-55.6
137	Oberrieden	-1649	-54.7
138	Richterswil	-2795	-39.2
139	Rüschlikon	-447	-14.2
140	Schönenberg (ZH)	-664	-53
141	Thalwil	-3892	-36
142	Wädenswil	-2478	-18.5
151	Erlenbach (ZH)	-865	-28.1
152	Herrliberg	-2010	-54.9
153	Hombrechtikon	-1220	-23.9
154	Küsnacht (ZH)	-1754	-22
155	Männedorf	-1159	-21.1
156	Meilen	-1328	-17.3
157	Oetwil am See	-817	-25.8
158	Stäfa	-1908	-24.3
159	Uetikon am See	-1420	-42
160	Zumikon	-586	-19
161	Zollikon	-1580	-21.7
171	Bauma	-895	-30
172	Fehraltorf	-571	-16.3
173	Hittnau	-1070	-48
174	Illnau-Effretikon	-3457	-34
175	Kyburg	-162	-57.9
176	Lindau	-370	-12.6
177	Pfäffikon	-746	-11.3
178	Russikon	-1328	-46.3
179	Sternenberg	-63	-27.4
180	Weisslingen	-918	-44.4
181	Wila	-411	-31.9
182	Wildberg	-357	-55.6
191	Dübendorf	894	5.7
192	Egg	-2185	-42.5
193	Fällanden	-1504	-32.6
194	Greifensee	-1797	-48.3
195	Maur	-3440	-55.5
196	Mönchaltorf	-1029	-42.4
197	Schwerzenbach	117	3.9
198	Uster	-3640	-18.3
199	Volketswil	176	1.7
200	Wangen-Brüttisellen	-740	-16.6
211	Altikon	-263	-59
212	Bertschikon	-345	-47.4
213	Brütten	-816	-64.2
214	Dägerlen	-295	-47.8
215	Dättlikon	-239	-60.7
216	Dinhard	-556	-57.7
217	Elgg	-537	-22.2
218	Ellikon an der Thur	-150	-27.6
219	Elsau	-882	-44.2
220	Hagenbuch	-456	-55.9
221	Hettlingen	-821	-50.6
222	Hofstetten bei Elgg	-159	-54.5
223	Neftenbach	-1507	-45.7
224	Pfungen	-915	-52.3
225	Rickenbach (ZH)	-635	-46.2
226	Schlatt (ZH)	-231	-51.3
227	Seuzach	-1496	-33.6
228	Turbenthal	-842	-29.1
229	Wiesendangen	-1546	-57.4
230	Winterthur	9094	15.2
231	Zell (ZH)	-1244	-40.7
241	Aesch bei Birmensdorf	-350	-50.7
242	Birmensdorf (ZH)	-1432	-37.2
243	Dietikon	1118	7.8
244	Geroldswil	-1404	-41.5
245	Oberengstringen	-1979	-51.1
246	Oetwil an der Limmat	-1100	-70.7
247	Schlieren	4795	53.9
248	Uitikon	-1141	-49.2
249	Unterengstringen	-989	-49.1
250	Urdorf	890	13.8
251	Weiningen (ZH)	-745	-27.4
261	Zürich	170051	70.4
301	Aarberg	641	24.2
302	Bargen (BE)	-311	-47.3
303	Grossaffoltern	-1128	-58.3
304	Kallnach	-204	-20
305	Kappelen	-295	-41.4
306	Lyss	843	11.1
307	Meikirch	-975	-55.4
308	Niederried bei Kallnach	-142	-70
309	Radelfingen	-453	-53.2
310	Rapperswil (BE)	-530	-37.7
311	Schüpfen	-1026	-43.4
312	Seedorf (BE)	-846	-41.2
321	Aarwangen	-1024	-37.7
322	Auswil	-159	-45
323	Bannwil	-222	-53.1
324	Bleienbach	240	48.4
325	Busswil bei Melchnau	-45	-36.6
326	Gondiswil	-206	-43.7
327	Gutenburg	-63	-67
328	Kleindietwil	44	12.3
329	Langenthal	4385	47.4
330	Leimiswil	-113	-37
331	Lotzwil	-468	-30.7
332	Madiswil	-388	-28.9
333	Melchnau	-261	-24.5
334	Obersteckholz	-134	-51
335	Oeschenbach	-76	-40.2
336	Reisiswil	-46	-34.6
337	Roggwil (BE)	-303	-13.1
338	Rohrbach	-282	-32.1
339	Rohrbachgraben	-120	-42.9
340	Rütschelen	-196	-56
341	Schwarzhäusern	-151	-52.4
342	Thunstetten	255	12.8
343	Untersteckholz	-71	-59.7
344	Ursenbach	-147	-26
345	Wynau	-415	-39.8
351	Bern	85803	101.5
352	Bolligen	-1625	-42.3
353	Bremgarten bei Bern	-1613	-63.3
354	Kirchlindach	-997	-53.4
355	Köniz	-4497	-18
356	Muri bei Bern	-98	-1.2
357	Oberbalm	-307	-52
358	Stettlen	-935	-45.6
359	Vechigen	-1442	-48.2
