Region	Personen
Switzerland	2354837
>> Wahlkreis Willisau	7719
>> Wahlkreis Wil	17141
>> Wahlkreis Werdenberg	11650
>> Wahlkreis Toggenburg	7790
>> Wahlkreis Sursee	10118
>> Wahlkreis St. Gallen	34923
>> Wahlkreis See-Gaster	13658
>> Wahlkreis Sarganserland	8470
>> Wahlkreis Rorschach	11685
>> Wahlkreis Rheintal	19127
>> Wahlkreis Luzern-Stadt	23676
>> Wahlkreis Luzern-Land	21493
>> Wahlkreis Hochdorf	14922
>> Wahlkreis Entlebuch	2506
>> Verwaltungskreis Thun	14638
>> Verwaltungskreis Seeland	10246
>> Verwaltungskreis Obersimmental-Saanen	3302
>> Verwaltungskreis Oberaargau	12468
>> Verwaltungskreis Interlaken-Oberhasli	9250
>> Verwaltungskreis Frutigen-Niedersimmental	4186
>> Verwaltungskreis Emmental	10648
>> Verwaltungskreis Biel/Bienne	27565
>> Verwaltungskreis Bern-Mittelland	85361
>> Kanton Zug	36062
>> Kanton Uri	4675
>> Kanton Obwalden	6028
>> Kanton Nidwalden	7204
>> Kanton Glarus	9360
>> Kanton Basel-Stadt	77803
>> Kanton Appenzell Innerrhoden	1968
>> District du Val-de-Travers	2826
>> District du Val-de-Ruz	3401
>> District du Locle	3985
>> District du Jura-Nord vaudois	26382
>> District du Gros-de-Vaud	9163
>> District des Franches-Montagnes	1372
>> District de Sion	12093
>> District de Sierre	15705
>> District de Saint-Maurice	3314
>> District de Porrentruy	4126
>> District de Nyon	40922
>> District de Neuchâtel	19175
>> District de Morges	25197
>> District de Monthey	12985
>> District de Martigny	12605
>> District de Lavaux-Oron	20274
>> District de Lausanne	73491
>> District de la Veveyse	3801
>> District de la Sarine	30945
>> District de la Riviera-Pays-d'Enhaut	36396
>> District de la Gruyère	13450
>> District de la Glâne	4390
>> District de la Chaux-de-Fonds	13619
>> District de la Broye-Vully	12988
>> District de la Broye	6045
>> District de l'Ouest lausannois	35579
>> District de Delémont	7437
>> District de Conthey	6578
>> District de Boudry	10697
>> District d'Hérens	1696
>> District d'Entremont	4034
>> District d'Aigle	17591
>> Distretto di Vallemaggia	992
>> Distretto di Riviera	4356
>> Distretto di Moesa	2079
>> Distretto di Mendrisio	17990
>> Distretto di Lugano	60026
>> Distretto di Locarno	20451
>> Distretto di Leventina	3113
>> Distretto di Blenio	846
>> Distretto di Bernina	825
>> Distretto di Bellinzona	16287
>> Canton de Genève	235957
>> Bezirk Zurzach	9650
>> Bezirk Zürich	159164
>> Bezirk Zofingen	15508
>> Bezirk Winterthur	42902
>> Bezirk Weinfelden	10959
>> Bezirk Wasseramt	10745
>> Bezirk Waldenburg	2822
>> Bezirk Vorderland	2853
>> Bezirk Visp	6168
>> Bezirk Uster	38878
>> Bezirk Unterklettgau	921
>> Bezirk Thierstein	2235
>> Bezirk Thal	2561
>> Bezirk Surselva	2865
>> Bezirk Stein	1673
>> Bezirk Solothurn	3745
>> Bezirk Sissach	5904
>> Bezirk Sense	5267
>> Bezirk See / District du Lac	7506
>> Bezirk Schwyz	8858
>> Bezirk Schleitheim	559
>> Bezirk Schaffhausen	17468
>> Bezirk Rheinfelden	13297
>> Bezirk Reiat	2124
>> Bezirk Raron	1152
>> Bezirk Prättigau-Davos	5930
>> Bezirk Plessur	9599
>> Bezirk Pfäffikon	13560
