Region	Personen
Switzerland	5882829
>> Wahlkreis Willisau	44006
>> Wahlkreis Wil	57062
>> Wahlkreis Werdenberg	25931
>> Wahlkreis Toggenburg	37808
>> Wahlkreis Sursee	60178
>> Wahlkreis St. Gallen	86221
>> Wahlkreis See-Gaster	51490
>> Wahlkreis Sarganserland	31222
>> Wahlkreis Rorschach	30439
>> Wahlkreis Rheintal	51207
>> Wahlkreis Luzern-Stadt	57381
>> Wahlkreis Luzern-Land	77188
>> Wahlkreis Hochdorf	54771
>> Wahlkreis Entlebuch	20646
>> Verwaltungskreis Thun	91600
>> Verwaltungskreis Seeland	60880
>> Verwaltungskreis Obersimmental-Saanen	13475
>> Verwaltungskreis Oberaargau	66728
>> Verwaltungskreis Interlaken-Oberhasli	37905
>> Verwaltungskreis Frutigen-Niedersimmental	35401
>> Verwaltungskreis Emmental	84925
>> Verwaltungskreis Biel/Bienne	70363
>> Verwaltungskreis Bern-Mittelland	317159
>> Kanton Zug	84027
>> Kanton Uri	31333
>> Kanton Obwalden	30806
>> Kanton Nidwalden	34876
>> Kanton Glarus	30434
>> Kanton Basel-Stadt	112777
>> Kanton Appenzell Innerrhoden	13886
>> District du Val-de-Travers	9225
>> District du Val-de-Ruz	13490
>> District du Locle	10504
>> District du Jura-Nord vaudois	61687
>> District du Gros-de-Vaud	32957
>> District des Franches-Montagnes	8890
>> District de Sion	33380
>> District de Sierre	32771
>> District de Saint-Maurice	10129
>> District de Porrentruy	20362
>> District de Nyon	54626
>> District de Neuchâtel	34501
>> District de Morges	53267
>> District de Monthey	31399
>> District de Martigny	32562
>> District de Lavaux-Oron	38350
>> District de Lausanne	85154
>> District de la Veveyse	13863
>> District de la Sarine	72385
>> District de la Riviera-Pays-d'Enhaut	47027
>> District de la Gruyère	38130
>> District de la Glâne	18527
>> District de la Chaux-de-Fonds	26573
>> District de la Broye-Vully	28053
>> District de la Broye	23990
>> District de l'Ouest lausannois	36259
>> District de Delémont	30223
>> District de Conthey	20100
>> District de Boudry	29331
>> District d'Hérens	9178
>> District d'Entremont	10950
>> District d'Aigle	26083
>> Distretto di Vallemaggia	5029
>> Distretto di Riviera	8657
>> Distretto di Moesa	6259
>> Distretto di Mendrisio	33083
>> Distretto di Lugano	90922
>> Distretto di Locarno	42989
>> Distretto di Leventina	6299
>> Distretto di Blenio	4807
>> Distretto di Bernina	3827
>> Distretto di Bellinzona	34516
>> Canton de Genève	241428
>> Bezirk Zurzach	23241
