Regions-ID	Regionsname	Anzahl Wählende	FDP	CVP	SPS	SVP	GLP	BDP	Grüne
1	Zürich	410122	47757.992388738	20631.305780274	79023.291809579	122395.16438425	47103.050455326	21648.085342302	34417.961617242
2	Bern	357438	30932.233186043	7385.5445021253	69060.642422194	103667.21492545	18903.456028468	53181.902261502	33635.691818337
3	Luzern	130484	23976.384367898	35394.485734787	14949.851833641	32756.756112468	7982.7808642613	2788.8095307977	10789.107670153
4	Uri	12125	9005	*	2603	*	*	*	*
5	Schwyz	47514	7352.8401030998	9770.5861749319	7438.4693640623	18046.841892354	*	1636.891272711	1820.0176388865
6	Obwalden	15635	*	*	*	6739	*	*	*
7	Nidwalden	17820	6273	*	*	8060	*	*	3487
8	Glarus	8209	*	*	2016	*	*	5066	*
9	Zug	39057	7510.5508067683	9487.4760688822	2058.9851490948	11057.806336507	2652.0587900919	*	6000.3750194118
10	Freiburg	86317	11058.045588769	17493.820284117	23036.662485996	18515.055809732	3057.3304720477	1626.8515026301	4275.7605632068
11	Solothurn	88096	16218.25778152	15735.860307521	16121.122630404	21432.854678776	4381.3023246281	3843.9178420583	6602.0728789615
12	Basel-Stadt	55622	6846.0232522535	3630.819643361	16198.166545086	9190.5432412588	3240.3859222968	1240.8598184644	7474.6363022091
13	Basel-Landschaft	88615	10147.359526612	7305.7156997224	21660.969657313	23878.145450912	4431.8294062156	5629.0401470154	12051.22531638
14	Schaffhausen	29417	3616.3157707221	1537.9131808565	10167.304305126	11726.163735716	*	*	*
15	Appenzell Ausserrhoden	17414	8970	1840	*	5312	*	*	1114
16	Appenzell Innerrhoden	4083	*	3107	830	*	*	*	*
17	St. Gallen	143475	17595.307206378	29164.112063344	23932.633640914	45238.991794386	8567.6033348464	5436.0854619068	9164.7081140261
18	Graubünden	59726	7109.4652110752	9974.6972407943	9311.9662657447	14616.391219116	4918.5473760934	12203.799771873	1288.4655150117
19	Aargau	186934	21461.32563115	19801.431347372	33717.080083897	64965.158745554	10592.861890871	11486.34314142	13649.701884997
20	Thurgau	72852	8196.0511656228	10472.219543936	8803.0749263612	28172.534978621	3798.6134595239	3611.8649374803	5126.2963657565
21	Tessin	112070	27845.818784956	22372.49121509	18604.122187503	10879.750354201	*	*	7554.0144855719
22	Waadt	168336	27404.267396503	7789.0070017667	42328.393528359	38632.533980109	8587.3141754219	1399.183698368	19472.172583649
23	Wallis	122717	23087.325156431	48939.754958864	17958.370277097	24146.539089895	*	774.7382665414	6127.4910530001
24	Neuenburg	46043	12350.463706445	1606.848927635	11384.039279651	9850.4420291261	*	683.3288910578	5366.3586840767
25	Genf	100425	18730.786031211	9815.8165047111	19212.058410803	16092.538090327	3182.4554351904	*	14079.980781511
26	Jura	22102	2098.8757910402	7347.7820439681	6814.2654341827	3417.6264982004	*	*	2423.4502326086
