Region	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Schweiz	23677	21097	5217	11955	13837	22364	26392	33477	33579	56643	61440	40156	39512	30883	14458	-5807	-6834	1177	16149	20224	41843	48921	43027	40462	36180	39368	75459	98167	74587	64939	68118	71127	87106	76223
- Zürich	4092	3261	-914	1251	939	2220	3956	4582	4962	7541	9204	6513	4083	4521	2011	-251	-1836	603	4188	5648	9745	9768	7366	7804	7074	7398	19243	21925	16513	14231	15111	13641	13623	14228
>> Bezirk Affoltern	140	65	6	30	-18	17	183	123	143	236	203	223	86	165	157	-54	-31	-25	83	172	277	218	86	112	102	52	384	375	365	197	295	257	284	281
......0001 Aeugst am Albis	-2	-2	-1	14	3	-3	-2	11	6	9	8	-9	11	2	-12	-8	-2	6	-2	6	1	5	6	11	6	-2	21	14	13	3	19	10	-3	-4
......0002 Affoltern am Albis	51	29	-18	19	-4	28	81	59	51	77	89	85	-1	68	64	5	0	-19	43	66	68	45	32	24	45	15	88	117	106	68	109	153	128	163
......0003 Bonstetten	8	3	8	-4	3	-1	2	11	14	26	-8	32	20	23	11	-10	20	-22	-6	33	8	6	-4	-19	15	17	28	49	20	19	-7	13	20	15
......0004 Hausen am Albis	-5	4	-3	-6	-7	-15	22	23	12	30	-16	-4	8	17	8	-9	-13	-2	12	21	12	10	-3	13	6	6	27	7	-7	6	5	8	18	10
......0005 Hedingen	18	1	-12	-13	-6	-2	4	-26	22	9	18	64	25	4	7	-13	13	19	4	-10	17	13	19	12	-2	-7	13	37	20	7	30	24	6	-5
......0006 Kappel am Albis	-3	-2	2	2	-4	1	5	-3	-2	7	6	4	0	5	3	-1	1	-2	5	2	3	9	-3	-3	-16	5	6	4	-8	-2	10	-4	5	0
......0007 Knonau	8	10	0	-2	4	1	9	10	4	-3	10	7	22	9	22	0	-4	-7	2	8	-3	35	5	11	3	5	32	19	15	5	16	16	29	2
......0008 Maschwanden	2	1	4	-3	4	4	-1	1	7	4	1	0	-11	6	7	-5	0	1	-2	7	6	-4	1	-3	-1	-4	5	0	8	-4	11	1	-5	8
......0009 Mettmenstetten	18	-1	2	0	-16	5	18	-24	2	9	24	-2	7	9	17	4	-30	-1	6	10	7	19	6	11	19	14	47	19	29	29	34	6	6	48
......0010 Obfelden	-4	-6	-6	11	14	4	10	33	28	19	5	30	7	20	22	-14	-12	8	-5	-8	8	18	12	10	23	4	54	8	47	7	-1	19	13	29
......0011 Ottenbach	12	0	6	-5	-2	6	-5	11	1	9	22	11	-16	-10	-7	3	-2	10	-6	1	6	11	-2	7	4	9	22	20	12	-3	5	14	6	-1
......0012 Rifferswil	0	3	1	-1	3	-3	5	-1	7	3	1	0	7	3	-3	-10	3	6	-6	-3	3	3	4	1	3	0	4	10	-3	-8	3	-9	8	3
......0013 Stallikon	13	9	20	7	-9	-1	24	21	-14	10	22	3	-7	15	10	0	-2	-4	22	16	116	27	23	20	-12	4	28	18	45	39	27	20	15	-5
......0014 Wettswil am Albis	24	16	3	11	-1	-7	11	-3	5	27	21	2	14	-6	8	4	-3	-18	16	23	25	21	-10	17	9	-14	9	53	68	31	34	-14	38	18
>> Bezirk Andelfingen	47	30	23	-12	59	51	47	104	108	187	134	124	103	130	68	4	-17	37	102	61	99	135	83	125	69	99	240	245	171	181	152	158	221	145
......0021 Adlikon	3	3	0	2	-3	-3	1	1	3	4	-3	3	1	-2	1	3	-2	0	3	0	0	4	0	1	-3	6	4	6	0	2	-1	8	7	-3
......0022 Benken (ZH)	1	-2	1	-1	2	2	3	2	5	1	0	-2	1	4	1	4	0	7	-2	-9	4	8	3	2	3	4	1	9	4	2	1	-2	1	1
......0023 Berg am Irchel	-2	2	0	0	0	1	1	1	0	8	-7	9	2	2	6	-4	-2	2	-2	0	2	-6	12	6	7	-6	-1	9	4	-4	2	2	6	-4
......0024 Buch am Irchel	-3	0	8	6	1	2	-1	-2	-1	2	5	-2	-6	3	-2	-2	-5	-9	-1	4	-1	7	-2	-1	-2	4	8	3	6	28	-3	6	6	5
......0025 Dachsen	-8	3	3	1	1	3	-2	4	-9	4	7	2	6	9	-1	-3	-9	-2	-1	7	13	12	3	6	11	10	24	16	18	9	9	2	23	11
......0026 Dorf	6	-3	1	-2	0	5	5	4	7	-1	8	1	-1	8	-2	3	-2	2	1	0	-1	7	2	7	0	2	2	3	1	1	5	5	1	11
......0027 Feuerthalen	33	-25	-16	-2	-4	-18	18	22	22	34	26	-3	4	15	6	-12	-1	1	12	3	11	38	14	23	2	6	40	29	34	36	27	13	36	13
......0028 Flaach	1	6	-1	10	10	16	2	-2	10	15	6	25	-1	22	6	2	-5	0	14	0	3	1	8	-2	6	7	18	14	14	14	9	6	10	9
......0029 Flurlingen	-10	-10	-13	-21	1	1	1	7	7	13	0	4	6	5	-5	14	7	-1	8	-7	-5	6	4	8	6	-4	8	21	15	20	8	26	10	12
......0030 Andelfingen	9	16	-2	15	20	1	11	8	13	17	9	15	14	-8	4	0	8	4	3	22	6	4	7	7	7	4	17	33	4	6	22	18	17	6
......0031 Henggart	10	2	1	-4	2	-3	-7	9	5	13	4	1	19	12	1	-4	-4	5	4	6	19	20	-9	6	0	17	8	2	13	8	0	13	7	5
......0032 Humlikon	0	-2	-2	1	0	5	0	-1	3	1	1	-1	0	8	0	0	1	1	3	3	-2	1	-1	-1	-1	-3	-1	0	3	2	3	2	-5	-3
......0033 Kleinandelfingen	-1	11	-1	1	5	3	11	17	12	14	7	2	13	13	-5	-2	-9	1	1	5	1	0	10	-3	10	8	23	14	10	19	5	9	15	8
......0034 Laufen-Uhwiesen	0	-6	1	-3	1	-3	-1	6	0	0	-1	5	-1	13	0	1	-3	-3	5	-4	8	5	-2	6	2	8	25	12	5	7	8	0	18	17
