PLZ4	GDENR	KTKZ	GDENAMK
1000	5586	VD	Lausanne
1003	5586	VD	Lausanne
1004	5586	VD	Lausanne
1005	5586	VD	Lausanne
1006	5586	VD	Lausanne
1007	5586	VD	Lausanne
1008	5585	VD	Jouxtens-Mézery
1008	5589	VD	Prilly
1008	5591	VD	Renens (VD)
1009	5590	VD	Pully
1010	5586	VD	Lausanne
1011	5586	VD	Lausanne
1012	5586	VD	Lausanne
1015	5627	VD	Chavannes-près-Renens
1015	5635	VD	Ecublens (VD)
1015	5648	VD	Saint-Sulpice (VD)
1018	5586	VD	Lausanne
1020	5591	VD	Renens (VD)
1022	5627	VD	Chavannes-près-Renens
1023	5583	VD	Crissier
1023	5586	VD	Lausanne
1024	5635	VD	Ecublens (VD)
1024	5648	VD	Saint-Sulpice (VD)
1025	5648	VD	Saint-Sulpice (VD)
1026	5632	VD	Denges
1026	5633	VD	Echandens
1027	5633	VD	Echandens
1027	5638	VD	Lonay
1028	5643	VD	Préverenges
1029	5651	VD	Villars-Sainte-Croix
1030	5624	VD	Bussigny
1031	5489	VD	Mex (VD)
1032	5586	VD	Lausanne
1032	5592	VD	Romanel-sur-Lausanne
1033	5582	VD	Cheseaux-sur-Lausanne
1033	5583	VD	Crissier
1033	5586	VD	Lausanne
1034	5473	VD	Boussens
1035	5472	VD	Bournens
1036	5501	VD	Sullens
1037	5521	VD	Etagnières
1038	5512	VD	Bercher
1038	5661	VD	Boulens
1038	5693	VD	Montanaire
1040	5518	VD	Echallens
1040	5535	VD	Saint-Barthélemy (VD)
1040	5537	VD	Villars-le-Terroir
1041	5514	VD	Bottens
1041	5533	VD	Poliez-Pittet
1041	5540	VD	Montilliez
1041	5804	VD	Jorat-Menthue
1042	5471	VD	Bettens
1042	5511	VD	Assens
1042	5513	VD	Bioley-Orjulaz
1043	5540	VD	Montilliez
1044	5522	VD	Fey
1045	5680	VD	Ogens
1045	5903	VD	Bioley-Magnoux
1046	5534	VD	Rueyres
1047	5534	VD	Rueyres
1047	5923	VD	Oppens
1052	5586	VD	Lausanne
1052	5587	VD	Le Mont-sur-Lausanne
1053	5515	VD	Bretigny-sur-Morrens
1053	5516	VD	Cugy (VD)
1053	5586	VD	Lausanne
1054	5527	VD	Morrens (VD)
1055	5523	VD	Froideville
1058	5804	VD	Jorat-Menthue
1059	5673	VD	Hermenches
1059	5804	VD	Jorat-Menthue
1061	5804	VD	Jorat-Menthue
1062	5804	VD	Jorat-Menthue
1063	5661	VD	Boulens
1063	5693	VD	Montanaire
1063	5804	VD	Jorat-Menthue
1066	5584	VD	Epalinges
1066	5586	VD	Lausanne
1068	5590	VD	Pully
1070	5607	VD	Puidoux
1070	5613	VD	Bourg-en-Lavaux
1070	5882	VD	Chardonne
1071	5601	VD	Chexbres
1071	5607	VD	Puidoux
1071	5609	VD	Rivaz
1071	5610	VD	Saint-Saphorin (Lavaux)
1071	5882	VD	Chardonne
1072	5604	VD	Forel (Lavaux)
